candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/madagascar/morondava,Morondava,Morondava,see,Avenue of the Baobabs,-20.2514,44.4185,has coordinates; has description; high-value type,Eating Out,0.296,16.437,https://en.wikivoyage.org/wiki/Morondava
1.0,africa/madagascar/morondava,Morondava,Morondava,see,Tsingy de Bemaraha,-19.143319,44.812388,has coordinates; has description; high-value type,Eating Out,0.4,140.446,https://en.wikivoyage.org/wiki/Morondava
1.0,africa/mauritius/portlouis,Port Louis,Port Louis,see,Sir Seewoosagur Ramgoolam Botanical Garden,-20.107177,57.579256,has coordinates; has description; high-value type,Port Louis Central Market,0.328,9.968,https://en.wikivoyage.org/wiki/Port_Louis
1.0,africa/mauritius/portlouis,Port Louis,Port Louis,see,Sockalingum Meenatchee Ammen Kovil,-20.14979,57.51931,has coordinates; has description; high-value type,Place d'Armes,0.34,2.253,https://en.wikivoyage.org/wiki/Port_Louis
1.0,africa/morocco/essaouira,Essaouira,Essaouira,see,Mogador island,31.49594,-9.78681,has coordinates; has description; high-value type,The Medina,0.4,2.479,https://en.wikivoyage.org/wiki/Essaouira
1.0,africa/morocco/larache,Larache,Larache,see,Kasbah,35.1992325,-6.1526157,has coordinates; has description; high-value type,Port and Fish Market,0.377,0.623,https://en.wikivoyage.org/wiki/Larache
1.0,africa/morocco/larache,Larache,Larache,see,The ruins of Lixus,35.2,-6.1,has coordinates; has description; high-value type,Lixus,0.526,1.452,https://en.wikivoyage.org/wiki/Larache
1.0,africa/morocco/smara,Smara,Smara,see,Mosquée Cheikh Maelainin,26.742304,-11.680105,has coordinates; has description; high-value type,Ma El Ainin's Zawiya,0.341,1.026,https://en.wikivoyage.org/wiki/Smara
1.0,africa/nigeria/abeokuta,Abeokuta,Abeokuta,see,National Museum Abeokuta,7.1473,3.3679,has coordinates; has description; high-value type,Olumo Rock,0.353,2.608,https://en.wikivoyage.org/wiki/Abeokuta
1.0,africa/nigeria/abeokuta,Abeokuta,Abeokuta,see,Olusegun Obasanjo Presidential Library Abeokuta,7.12554,3.3638,has coordinates; has description; high-value type,Ogun Osun River Park,0.388,2.68,https://en.wikivoyage.org/wiki/Abeokuta
1.0,africa/nigeria/ibadan,Ibadan,Ibadan,see,Cathedral of St. Peters,7.3774,3.9164,has coordinates; has description; high-value type,Olakoyejo Cultural Centre,0.383,4.403,https://en.wikivoyage.org/wiki/Ibadan
1.0,africa/nigeria/ibadan,Ibadan,Ibadan,see,IITA,7.501472,3.890362,has coordinates; has description; high-value type,University of Ibadan,0.333,6.473,https://en.wikivoyage.org/wiki/Ibadan
1.0,africa/nigeria/oshogbo,Oshogbo,Osogbo,see,Busseyin Shrine,7.76197,4.56068,has coordinates; has description; high-value type,Osun-Osogbo Sacred Grove,0.308,1.172,https://en.wikivoyage.org/wiki/Osogbo
1.0,africa/nigeria/warri,Warri,Warri,see,Delta Ports,5.5785,5.8654,has coordinates; has description; high-value type,Delta Steel Complex,0.467,13.377,https://en.wikivoyage.org/wiki/Warri
1.0,africa/nigeria/warri,Warri,Warri,see,Falcorp Mangrove Park and Mini Zoo,5.5585,5.6942,has coordinates; has description; high-value type,Abraka and the Ethiope River,0.379,51.862,https://en.wikivoyage.org/wiki/Warri
1.0,africa/senegal/dakar,Dakar,Dakar,see,Hann Park and Zoo,14.727376,-17.433602,has coordinates; has description; high-value type,Marché Sandaga,0.4,5.497,https://en.wikivoyage.org/wiki/Dakar
1.0,africa/senegal/dakar,Dakar,Dakar,see,Loman Art Gallery,14.73299,-17.49764,has coordinates; has description; high-value type,Marché Kermel,0.414,9.89,https://en.wikivoyage.org/wiki/Dakar
1.0,africa/southafrica/durban,Durban,Durban,see,Durban Cultural and Document Centre,-29.84877,31.017252,has coordinates; has description; high-value type,KwaMuhle Museum,0.519,0.481,https://en.wikivoyage.org/wiki/Durban
1.0,africa/southafrica/durban,Durban,Durban,see,Hare Krishna Temple,-29.9093,30.88299,has coordinates; has description; high-value type,Britannia Hotel,0.471,11.818,https://en.wikivoyage.org/wiki/Durban
1.0,africa/swaziland/lobamba,Lobamba,Lobamba,see,Mantenga Nature Reserve,-26.4351,31.1571,has coordinates; has description; high-value type,Swaziland National Museum,0.375,5.118,https://en.wikivoyage.org/wiki/Lobamba
