world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/manitoba/brandon,Brandon,Brandon (Manitoba),4,26,do,Wheat King Hockey Games,0.59,candidate,has description; high-value type; has external URL,,,Assiniboine Riverwalk,northamerica/canada/manitoba/brandon/assiniboine_riverwalk,0.318,,,missing_coordinates; has_external_url,http://www.wheatkings.com,https://en.wikivoyage.org/wiki/Brandon_%28Manitoba%29
northamerica/unitedstates/california/highsierra/laketahoe,Lake Tahoe,Lake Tahoe,6,21,do,Homewood,0.59,candidate,has description; high-value type; has external URL,,,Emerald Bay,northamerica/unitedstates/california/highsierra/laketahoe/emerald_bay,0.316,,,missing_coordinates; has_external_url,https://skihomewood.com/,https://en.wikivoyage.org/wiki/Lake_Tahoe
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,The Garage,0.59,candidate,has description; high-value type; has external URL,,,Parc Tawe,europe/unitedkingdom/wales/swansea/parc_tawe,0.533,,,missing_coordinates; has_external_url,http://www.garagevenue.com/,https://en.wikivoyage.org/wiki/Swansea
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,Cambridge Bicycle,0.59,candidate,has description; high-value type; has external URL,,,Paradise Rock Club,northamerica/unitedstates/massachusetts/boston/paradise,0.457,,,missing_coordinates; has_external_url,http://cambridgebicycle.com/rentals/,https://en.wikivoyage.org/wiki/Boston
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,Bochum Kulinarisch,0.59,candidate,has description; high-value type; has external URL,,,VfL Bochum Ruhrstadion,europe/germany/northrhinewestphalia/bochum/vfl_bochum_ruhrstadion,0.45,,,missing_coordinates; has_external_url,http://www.bochum-kulinarisch.de,https://en.wikivoyage.org/wiki/Bochum
northamerica/unitedstates/ohio/cuyahoga_falls,Cuyahoga Falls,Cuyahoga Falls,5,32,do,Rockin On the River,0.59,candidate,has description; high-value type; has external URL,,,Cuyahoga River Rapids,northamerica/unitedstates/ohio/cuyahoga_falls/cuyahoga_river_rapids,0.444,,,missing_coordinates; has_external_url,http://www.rockinontheriver.com/,https://en.wikivoyage.org/wiki/Cuyahoga_Falls
europe/hungary/szeged,Szeged,Szeged,7,61,do,Thermal,0.59,candidate,has description; high-value type; has external URL,,,Votive Church,europe/hungary/szeged/votive_church,0.3,,,missing_coordinates; has_external_url,http://www.szegedifurdok.hu/furdok/index.php?option=content&task=view&id=51&Itemid=60,https://en.wikivoyage.org/wiki/Szeged
australiaandpacific/australia/queensland/cairns,Cairns,Cairns,10,45,see,Cathay Pacific,0.59,candidate,has description; high-value type; has external URL,,,Great Barrier Reef Day Trips,australiaandpacific/australia/queensland/cairns/great_barrier_reef_trips,0.286,,,missing_coordinates; has_external_url,https://www.cathaypacific.com/,https://en.wikivoyage.org/wiki/Cairns
northamerica/unitedstates/california/julian,Julian,Julian,6,57,do,Kenner Horse Ranch: Horseback Rides & Events,0.59,candidate,has description; high-value type; has external URL,,,Eagle and High Peak Mine,northamerica/unitedstates/california/julian/eagle_mine,0.29,,,missing_coordinates; has_external_url,http://www.kennerhorseranch.com/Trail%20Rides.html,https://en.wikivoyage.org/wiki/Julian
europe/belgium/antwerp,Antwerp,Antwerp,47,64,see,Jewish Quarter,0.59,candidate,has description; high-value type; has external URL,,,Ils Hermans,europe/belgium/antwerp/ils_hermans,0.4,,,missing_coordinates; has_external_url,http://www.shomre-hadas.be,https://en.wikivoyage.org/wiki/Antwerp
europe/italy/calabria/reggiocalabria,Reggio di Calabria,Reggio Calabria,5,20,see,Liberty Lines,0.59,candidate,has description; high-value type; has external URL,,,Castello Aragonese,europe/italy/calabria/reggiocalabria/castello_aragonese,0.323,,,missing_coordinates; has_external_url,http://eng.libertylines.it,https://en.wikivoyage.org/wiki/Reggio_Calabria
europe/germany/northrhinewestphalia/bonn,Bonn,Bonn,19,96,do,Pützchens Markt,0.59,candidate,has description; high-value type; has external URL,,,Altes Rathaus,europe/germany/northrhinewestphalia/bonn/altesrathaus,0.429,,,missing_coordinates; has_external_url,http://www.puetzchens-markt.de/,https://en.wikivoyage.org/wiki/Bonn
australiaandpacific/australia/queensland/cairns,Cairns,Cairns,10,45,see,Singapore Airlines,0.59,candidate,has description; high-value type; has external URL,,,Great Barrier Reef Day Trips,australiaandpacific/australia/queensland/cairns/great_barrier_reef_trips,0.348,,,missing_coordinates; has_external_url,http://www.singaporeair.com/,https://en.wikivoyage.org/wiki/Cairns
asia/taiwan/taipei,Taipei,Taipei,105,91,see,Mandarin Daily News Language Center,0.59,candidate,has description; high-value type; has external URL,,,National Taiwan University,asia/taiwan/taipei/ntu_campus,0.459,,,missing_coordinates; has_external_url,http://www.mdnkids.com/english_hp/language.asp,https://en.wikivoyage.org/wiki/Taipei
northamerica/unitedstates/michigan/traverse_city,Traverse City,Traverse City,26,76,do,Dewitt Marine Inc.,0.59,candidate,has description; high-value type; has external URL,,,Dennos Museum Center,northamerica/unitedstates/michigan/traverse_city/dennos_museum,0.378,,,missing_coordinates; has_external_url,http://www.dewittmarine.com/,https://en.wikivoyage.org/wiki/Traverse_City
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,do,Georgia-Carolina State Fair,0.59,candidate,has description; high-value type; has external URL,,,Lower Broad Street Bar Scene,northamerica/unitedstates/georgia/augusta/broad_street_bars,0.364,,,missing_coordinates; has_external_url,http://www.georgiacarolinastatefair.com/,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29
europe/austria/vienna,Vienna,Vienna,67,134,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Palmenhaus,europe/austria/vienna/palmenhaus,0.353,,,missing_coordinates; has_external_url,http://www.flixbus.at/,https://en.wikivoyage.org/wiki/Vienna
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Malaysia Airlines,0.59,candidate,has description; high-value type; has external URL,,,Sultan Abu Bakar Royal Museum,asia/malaysia/johorbahru/sultan_abu_bakar_museum,0.304,,,missing_coordinates; has_external_url,http://www.malaysiaairlines.com.my/my/en.html,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/unitedstates/georgia/helen,Helen,Helen,9,29,do,Fasching,0.59,candidate,has description; high-value type; has external URL,,,Nacoochee Indian Mound,northamerica/unitedstates/georgia/helen/nacoochee_mound,0.333,,,missing_coordinates; has_external_url,https://www.facebook.com/FVHelen/,https://en.wikivoyage.org/wiki/Helen
europe/hungary/budapest,Budapest,Budapest,57,94,see,Norway,0.59,candidate,has description; high-value type; has external URL,,,New York Cafe,europe/hungary/budapest/new_york_cafe,0.421,,,missing_coordinates; has_external_url,http://www.norvegia.hu/,https://en.wikivoyage.org/wiki/Budapest
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,Taliesin,0.59,candidate,has description; high-value type; has external URL,,,Plantasia,europe/unitedkingdom/wales/swansea/plantasia,0.471,,,missing_coordinates; has_external_url,http://www.taliesinartscentre.co.uk/,https://en.wikivoyage.org/wiki/Swansea
