world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/frenchpolynesia/tahiti/papeete,Papeete,Papeete,11,11,see,Assembly of French Polynesia,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cathedral of Notre-Dame,australiaandpacific/frenchpolynesia/tahiti/papeete/papeete_cathedral,0.431,,,missing_coordinates; has_external_url,http://www.assemblee.pf,https://en.wikivoyage.org/wiki/Papeete
northamerica/unitedstates/tennessee/gatlinburg,Gatlinburg,Gatlinburg,15,26,see,Cooter's Place,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ole Smoky Pancake Cellar,northamerica/unitedstates/tennessee/gatlinburg/ole_smoky_pancake_cellar,0.474,,,missing_coordinates; has_external_url,http://www.cootersplace.com/,https://en.wikivoyage.org/wiki/Gatlinburg
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Chinese Garden,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Haus Weitmar,europe/germany/northrhinewestphalia/bochum/haus_weitmar,0.385,,,missing_coordinates; has_external_url,http://www.ruhr-uni-bochum.de/cgev/index.html,https://en.wikivoyage.org/wiki/Bochum
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,do,Festival of the Bluegrass,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Distillery District,northamerica/unitedstates/kentucky/lexington/distillery_district,0.4,,,missing_coordinates; has_external_url,http://festivalofthebluegrass.com,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
northamerica/canada/britishcolumbia/nanaimo,Nanaimo,Nanaimo,6,35,see,BC Transit (Regional District of Nanaimo Transit System),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Bastion,northamerica/canada/britishcolumbia/nanaimo/the_bastion,0.471,,,missing_coordinates; has_external_url,https://bctransit.com/nanaimo/home,https://en.wikivoyage.org/wiki/Nanaimo
northamerica/mexico/cozumel,Cozumel,Cozumel,15,49,do,Bottom Time Divers,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Columbia Reef,northamerica/mexico/cozumel/columbia_reef,0.323,,,missing_coordinates; has_external_url,http://www.bottomtimedivers.net/,https://en.wikivoyage.org/wiki/Cozumel
europe/croatia/karlovac,Karlovac,Karlovac,13,14,see,Aquatika,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Aquatika Freshwater Aquarium,europe/croatia/karlovac/aquatika_aquarium,0.444,,,missing_coordinates; has_external_url,https://www.aquariumkarlovac.com/en/homepage/,https://en.wikivoyage.org/wiki/Karlovac
northamerica/unitedstates/california/highsierra/mammothlakes,Mammoth Lakes,Mammoth Lakes,8,18,see,Yosemite Area Regional Transit System,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hot Creek Geological Site,northamerica/unitedstates/california/highsierra/mammothlakes/hot_creek,0.484,,,missing_coordinates; has_external_url,http://yarts.com/,https://en.wikivoyage.org/wiki/Mammoth_Lakes
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,see,Stockley Street Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Silver Lake,northamerica/unitedstates/delaware/rehobothbeach/silver_lake,0.452,,,missing_coordinates; has_external_url,https://www.cityofrehoboth.com/visitors/parks-and-recreation,https://en.wikivoyage.org/wiki/Rehoboth_Beach
europe/italy/umbria/gubbio,Gubbio,Gubbio,15,9,see,Museo Civico,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Duomo di Gubbio,europe/italy/umbria/gubbio/duomo,0.444,,,missing_coordinates; has_external_url,http://www.regione.umbria.it/cultura/musei/GUBBIO/PCONSOLI/index.htm,https://en.wikivoyage.org/wiki/Gubbio
