world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/hainanisland/sanya,Sanya,Sanya,22,19,see,Dongtian Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.30344989143062,109.15401740399611,Dadonghai Beach,asia/china/hainanisland/sanya/dadonghai_beach,0.5,40.263,37.307,has_external_url; day_trip_review,https://www.visitsanya.com/destination/dongtian-park,https://en.wikivoyage.org/wiki/Sanya
northamerica/unitedstates/florida/gainesville,Gainesville,Gainesville (Florida),8,43,do,River Ranch Water Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.8522,-82.5895,Devil's Millhopper Geological State Park,northamerica/unitedstates/florida/gainesville/devils_millhopper,0.452,24.898,33.876,has_external_url; day_trip_review,http://www.campkulaqua.com/camp-kulaqua/river-ranch-water-park/,https://en.wikivoyage.org/wiki/Gainesville_%28Florida%29
northamerica/canada/britishcolumbia/hope,Hope,Hope (British Columbia),8,22,do,Skagit Valley Provincial Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.0755,-121.1101,Hope Slide Viewpoint,northamerica/canada/britishcolumbia/hope/hope-slide-viewpoint,0.367,29.627,41.544,has_external_url; day_trip_review,https://bcparks.ca/skagit-valley-park/,https://en.wikivoyage.org/wiki/Hope_%28British_Columbia%29
northamerica/unitedstates/california/berkeley,Berkeley,Berkeley,13,87,see,César Chávez Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.522068,-122.19991,Indian Rock Park,northamerica/unitedstates/california/berkeley/indian_rock_park,0.485,41.016,39.315,has_external_url; day_trip_review,https://berkeleyca.gov/community-recreation/parks-recreation/parks/cesar-chavez-park,https://en.wikivoyage.org/wiki/Berkeley
northamerica/unitedstates/pennsylvania/johnstown,Johnstown,Johnstown,11,23,see,Flight 93 Memorial,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.056111,-78.907222,Johnstown Flood National Memorial,northamerica/unitedstates/pennsylvania/johnstown/johnstown_flood_national_memorial,0.471,39.345,30.119,has_external_url; day_trip_review,http://www.nps.gov/flni/,https://en.wikivoyage.org/wiki/Johnstown
europe/germany/bremen,Bremen,Bremen,15,32,do,Bruchhausen-Vilsen–Asendorf Museum Railway,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.804305,9.141631,Bunker Valentin Memorial,europe/germany/bremen/bunker_valentin,0.485,51.435,37.601,has_external_url; day_trip_review,http://www.museumseisenbahn.de/index.php/en/get-here.html,https://en.wikivoyage.org/wiki/Bremen
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Ban Thum Phueng,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,8.854556,98.869477,Night Markets and Southern Thai Food,asia/thailand/surat_thani/night_markets_and_local_food,0.235,,68.29,has_external_url; day_trip_review,http://uppersouthcbt.sru.ac.th/show_community.php?list=1,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/shanxiprovince/pingyao,Pingyao,Pingyao,7,20,see,Chang Family Compound,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.542831,112.631681,Shuanglin Temple,asia/china/shanxiprovince/pingyao/shuanglin_temple,0.432,60.966,56.682,has_external_url; day_trip_review,http://www.cnchang.com/a/English/,https://en.wikivoyage.org/wiki/Pingyao
australiaandpacific/newzealand/chathamislands,Chatham Islands,Chatham Islands,6,37,do,Norman Kirk Memorial Reserve,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-43.9541,-176.5467,Awatotara Conservation Covenant,australiaandpacific/newzealand/chathamislands/awatotara_reserve,0.473,0.527,29.063,has_external_url; day_trip_review,https://www.geocaching.com/geocache/GC70NXY_norman-kirk-memorial-reserve-chatham-islands?guid=2c5461fc-90ee-418e-a97e-641debce0d7e,https://en.wikivoyage.org/wiki/Chatham_Islands
southamerica/chile/iquique,Iquique,Iquique,13,16,see,Oficina Humberstone,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-20.2085809,-69.7954741,Humberstone Nitrate Works,southamerica/chile/iquique/humberstone,0.5,0.614,37.256,has_external_url; day_trip_review,http://www.museodelsalitre.cl,https://en.wikivoyage.org/wiki/Iquique
asia/india/kerala/munnar,Munnar,Munnar,5,54,see,Thattekkad Bird Sanctuary,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.13455,76.68586,Mattupetty Dam and Lake,asia/india/kerala/munnar/mattupetty_dam,0.417,48.052,41.306,has_external_url; day_trip_review,http://www.forest.kerala.gov.in/index.php/ernakulam/thattekkad-bird-sanctuary,https://en.wikivoyage.org/wiki/Munnar
northamerica/unitedstates/california/centralvalley/merced,Merced,Merced,4,16,see,Merced's Applegate Park Zoo,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.31278,-120.48724,Castle Air Museum,northamerica/unitedstates/california/centralvalley/merced/castle_air_museum,0.364,10.336,29.837,has_external_url; day_trip_review,https://www.cityofmerced.org/departments/parks-community-services/applegate-park-zoo,https://en.wikivoyage.org/wiki/Merced
europe/france/nord/arras,Arras,Arras,9,19,see,Historial of the Great War Péronne,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.92915,2.932596,Arras Cathedral and Abbey of Saint-Vaast,europe/france/nord/arras/arras_cathedral,0.314,42.002,41.734,has_external_url; day_trip_review,https://www.historial.fr/en/,https://en.wikivoyage.org/wiki/Arras
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Iglesia de Santo Tomé,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.5014,-5.7428,Iglesia de la Magdalena,europe/spain/centralspain/zamora/iglesia_de_la_magdalena,0.529,26.904,26.374,has_external_url; day_trip_review,https://catedraldezamora.wordpress.com/historia/museo-diocesano/,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29
europe/hungary/pecs,Pécs,Pécs,9,63,see,Szigetvár,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.0481,17.8048,Pécs TV Tower,europe/hungary/pecs/pecs_tv_tower,0.455,32.534,32.757,has_external_url; day_trip_review,http://www.szigetvar.hu,https://en.wikivoyage.org/wiki/P%C3%A9cs
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,see,Lewis and Clark State Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.1156,-103.243,James Memorial Arts Center,northamerica/unitedstates/northdakota/williston/james_memorial_arts_center,0.423,,28.323,has_external_url; day_trip_review,https://www.parkrec.nd.gov/lewis-clark-state-park,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
