world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/bulgaria/blagoevgrad,Blagoevgrad,Blagoevgrad,13,12,do,Rafting.bg,0.59,candidate,has description; high-value type; has external URL,,,American University in Bulgaria (AUBG),europe/bulgaria/blagoevgrad/aubg,0.341,,,missing_coordinates; has_external_url,https://rafting.bg/en/rafting-on-struma-river/,https://en.wikivoyage.org/wiki/Blagoevgrad
northamerica/unitedstates/california/highsierra/laketahoe,Lake Tahoe,Lake Tahoe,6,21,do,Mount Rose,0.59,candidate,has description; high-value type; has external URL,,,Sugar Pine Point State Park,northamerica/unitedstates/california/highsierra/laketahoe/sugar_pine_point,0.324,,,missing_coordinates; has_external_url,https://skirose.com/,https://en.wikivoyage.org/wiki/Lake_Tahoe
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,Pulpung Changchub Dargyeling,0.59,candidate,has description; high-value type; has external URL,,,Glynn Vivian Art Gallery,europe/unitedkingdom/wales/swansea/glynn_vivian,0.346,,,missing_coordinates; has_external_url,http://www.palpung.org/,https://en.wikivoyage.org/wiki/Swansea
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,see,BC Transit,0.59,candidate,has description; high-value type; has external URL,,,Columbia Wetlands,northamerica/canada/britishcolumbia/golden/columbia_wetlands,0.444,,,missing_coordinates; has_external_url,https://bctransit.com/cranbrook/schedules-and-maps/health-connections/golden-cranbrook,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
asia/unitedarabemirates/abudhabi,Abu Dhabi,Abu Dhabi,53,106,see,Jordan,0.59,candidate,has description; high-value type; has external URL,,,The Corniche,asia/unitedarabemirates/abudhabi/corniche,0.429,,,missing_coordinates; has_external_url,http://www.jordanembassy.ae,https://en.wikivoyage.org/wiki/Abu_Dhabi
northamerica/jamaica/montegobay,Montego Bay,Montego Bay,13,22,do,KiteBoarding Jamaica,0.59,candidate,has description; high-value type; has external URL,,,St James Parish Church,northamerica/jamaica/montegobay/st_james_parish_church,0.381,,,missing_coordinates; has_external_url,https://www.facebook.com/KiteboardingJamaica/,https://en.wikivoyage.org/wiki/Montego_Bay
europe/spain/northernspain/santiagodecompostela,Santiago de Compostela,Santiago de Compostela,0,32,see,Contemporary Art Centre of Galicia,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,https://cgac.xunta.gal/,https://en.wikivoyage.org/wiki/Santiago_de_Compostela
northamerica/unitedstates/texas/houston,Houston,Houston,7,75,see,VFS Global,0.59,candidate,has description; high-value type; has external URL,,,Menil Collection,northamerica/unitedstates/texas/houston/menil_collection,0.231,,,missing_coordinates; has_external_url,https://visa.vfsglobal.com/usa/en/ind/,https://en.wikivoyage.org/wiki/Houston
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Saxonia International Balloon Fiesta,0.59,candidate,has description; high-value type; has external URL,,,Museum der bildenden Künste,europe/germany/saxony/leipzig/museum_der_bildenden_kuenste,0.349,,,missing_coordinates; has_external_url,http://www.balloonfiesta.de/index.php?L=2,https://en.wikivoyage.org/wiki/Leipzig
northamerica/unitedstates/california/longbeach,Long Beach,Long Beach,10,97,do,Gay Pride Festival,0.59,candidate,has description; high-value type; has external URL,,,The Pike Outlets,northamerica/unitedstates/california/longbeach/pike_outlets,0.4,,,missing_coordinates; has_external_url,http://www.longbeachpride.com,https://en.wikivoyage.org/wiki/Long_Beach
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,Urban Zen,0.59,candidate,has description; high-value type; has external URL,,,Swansea Arena,europe/unitedkingdom/wales/swansea/swansea_arena,0.455,,,missing_coordinates; has_external_url,http://urbanzenyogacafe.com/,https://en.wikivoyage.org/wiki/Swansea
europe/iceland/hofn,Höfn,Höfn,9,19,do,Glacierjeeps,0.59,candidate,has description; high-value type; has external URL,,,Glacier Hikes on Vatnajökull,europe/iceland/hofn/vatnajokull_glacier_hikes,0.45,,,missing_coordinates; has_external_url,http://www.glacierjeeps.is/?s=home,https://en.wikivoyage.org/wiki/H%C3%B6fn
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,do,Sukon - Thai Art Of Massage,0.59,candidate,has description; high-value type; has external URL,,,Kolumba Art Museum,europe/germany/northrhinewestphalia/cologne/kolumba,0.512,,,missing_coordinates; has_external_url,http://www.sukon.de/index_e.htm,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/maine/eastport,Eastport,Eastport (Maine),5,10,do,Salmon & Seafood Festival,0.59,candidate,has description; high-value type; has external URL,,,Tides Institute and Museum of Art,northamerica/unitedstates/maine/eastport/tides_institute,0.4,,,missing_coordinates; has_external_url,https://eastportchamber.net/eastportsalmonfest,https://en.wikivoyage.org/wiki/Eastport_%28Maine%29
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Highway 17 Express (Santa Cruz Metro Rt #17),0.59,candidate,has description; high-value type; has external URL,,,Clyde Arbuckle's History of San Jose,northamerica/unitedstates/california/sanjose/clyde_arbuckles_h,0.259,,,missing_coordinates; has_external_url,https://www.scmtd.com/en/routes/20202/17/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
asia/japan/honshu/kamakura,Kamakura,Kamakura,27,27,see,Suenosato,0.59,candidate,has description; high-value type; has external URL,,,Enoshima Island,asia/japan/honshu/kamakura/enosima,0.417,,,missing_coordinates; has_external_url,https://www.suenosato-studio.com/,https://en.wikivoyage.org/wiki/Kamakura
europe/italy/lombardia/milan,Milan,Milan,55,18,do,Milano Pride,0.59,candidate,has description; high-value type; has external URL,,,BASE Milano,europe/italy/lombardia/milan/base_milano,0.522,,,missing_coordinates; has_external_url,http://www.milanopride.it/,https://en.wikivoyage.org/wiki/Milan
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,do,East Fork Quinault River,0.59,candidate,has description; high-value type; has external URL,,,Quinault Rain Forest,northamerica/unitedstates/washington/olympicnationalpark/quinault_rain_forest,0.545,,,missing_coordinates; has_external_url,https://www.nps.gov/olym/planyourvisit/east-fork-quinault-river-trail.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,see,Omalink,0.59,candidate,has description; high-value type; has external URL,,,Old Market,northamerica/unitedstates/nebraska/omaha/old_market,0.471,,,missing_coordinates; has_external_url,http://www.omalink.com/,https://en.wikivoyage.org/wiki/Omaha
