world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,do,Theatre Harrisburg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.30045,-76.89669,Broad Street Market,northamerica/unitedstates/pennsylvania/harrisburg/broad_street_market,0.378,3.487,3.901,has_external_url,https://theatreharrisburg.com/,https://en.wikivoyage.org/wiki/Harrisburg
europe/unitedkingdom/england/south_east/crawley,Crawley,Crawley,5,25,do,Buchan County Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.0975,-0.2209,Tilgate Park,europe/unitedkingdom/england/south_east/crawley/tilgate_park,0.4,2.529,3.186,has_external_url,https://www.westsussex.gov.uk/leisure-recreation-and-community/places-to-visit-and-explore/buchan-country-park/,https://en.wikivoyage.org/wiki/Crawley
asia/srilanka/colombo,Colombo,Colombo,25,116,see,The Natural History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.91115,79.86115,National Museum of Colombo,asia/srilanka/colombo/national_museum,0.5,1.002,1.774,has_external_url,http://www.museum.gov.lk/,https://en.wikivoyage.org/wiki/Colombo
asia/india/maharashtra/nagpur,Nagpur,Nagpur,8,31,do,Gorewada Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.1928,79.0093,Deekshabhoomi,asia/india/maharashtra/nagpur/deekshabhoomi,0.32,9.23,8.931,has_external_url,http://www.wildgorewada.com/,https://en.wikivoyage.org/wiki/Nagpur
europe/bosniaandherzegovina/sarajevo,Sarajevo,Sarajevo,42,173,do,Spring of the Bosna River,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.8185,18.269972,Vrelo Bosne (Source of the Bosna),europe/bosniaandherzegovina/sarajevo/vrelo_bosne,0.5,2.682,12.225,has_external_url,http://www.sarajevo-tourism.com/vrelo-bosne-,https://en.wikivoyage.org/wiki/Sarajevo
northamerica/unitedstates/missouri/branson,Branson,Branson,10,28,do,College of the Ozarks,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.6181,-93.2405,Shepherd of the Hills,northamerica/unitedstates/missouri/branson/shepherd_of_the_hills,0.412,8.924,4.624,has_external_url,https://www.cofo.edu/,https://en.wikivoyage.org/wiki/Branson
europe/unitedkingdom/england/birmingham_and_west_midlands/ledbury,Ledbury,Ledbury,9,9,see,St John the Baptist's Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.032799,-2.392981,Eastnor Castle,europe/unitedkingdom/england/birmingham_and_west_midlands/ledbury/eastnor_castle,0.501,0.499,2.471,has_external_url,http://www.eastnorchurch.com/,https://en.wikivoyage.org/wiki/Ledbury
europe/unitedkingdom/england/eastern_england/norwich,Norwich,Norwich,16,60,see,The Cathedral of St John the Baptist,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.6292,1.284,The Forum,europe/unitedkingdom/england/eastern_england/norwich/the_forum,0.516,0.484,0.571,has_external_url,http://www.sjbcathedral.org.uk,https://en.wikivoyage.org/wiki/Norwich
northamerica/unitedstates/kansas/lawrence,Lawrence,Lawrence (Kansas),8,39,do,Clinton Lake State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.9358,-95.3683,Granada Theater,northamerica/unitedstates/kansas/lawrence/granada_theater,0.368,11.917,12.129,has_external_url,http://kdwpt.state.ks.us/news/State-Parks/Locations/Clinton/,https://en.wikivoyage.org/wiki/Lawrence_%28Kansas%29
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,see,Memorial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.4063189,-82.4629194,Camden Park,northamerica/unitedstates/westvirginia/huntington/camden_park,0.5,2.433,2.113,has_external_url,https://www.ghprd.org/index.php/memorial-park,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29
