world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/somaliland/hargeisa,Hargeisa,Hargeisa,7,10,see,Saryan Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,9.563581,44.0491461,Somaliland National Museum,africa/somaliland/hargeisa/national_museum,0.564,1.403,1.403,has_external_url,https://saryanmuseum.org/,https://en.wikivoyage.org/wiki/Hargeisa
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Schokoladenmuseum Köln,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.9322,6.96427,Chocolate Museum (Schokoladenmuseum),europe/germany/northrhinewestphalia/cologne/schokoladenmuseum,0.697,0.303,0.748,has_external_url,http://www.schokoladenmuseum.de,https://en.wikivoyage.org/wiki/Cologne
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Mooloolah River National Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.721667,153.080833,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.708,37.637,7.579,has_external_url,http://www.nprsr.qld.gov.au/parks/mooloolah-river,https://en.wikivoyage.org/wiki/Sunshine_Coast
asia/iraq/basra,Basra,Basra,6,29,see,Saint Thomas Chaldean Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.5012,47.8133,Ashar Bazaar,asia/iraq/basra/ashar_bazaar,0.657,0.343,0.776,has_external_url,https://basrachaldean.org/en/,https://en.wikivoyage.org/wiki/Basra
northamerica/unitedstates/missouri/springfield,Springfield,Springfield (Missouri),8,48,see,Route 66 Car Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.20777,-93.31339,Springfield Art Museum,northamerica/unitedstates/missouri/springfield/springfield_art_museum,0.585,,1.584,has_external_url,http://www.66carmuseum.com/,https://en.wikivoyage.org/wiki/Springfield_%28Missouri%29
europe/germany/rhinelandpalatinate/trier,Trier,Trier,13,37,see,Barbara Baths,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.750038,6.629704,Roman Bridge,europe/germany/rhinelandpalatinate/trier/roman_bridge,0.69,0.31,1.489,has_external_url,http://www.trier-info.de/english/barbara-baths-info,https://en.wikivoyage.org/wiki/Trier
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Castello di San Giorgio,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.1608623,10.7999629,Palazzo Ducale,europe/italy/lombardia/mantua/palazzo_ducale,0.575,0.425,10.166,has_external_url,http://www.mantovaducale.beniculturali.it/,https://en.wikivoyage.org/wiki/Mantua
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Heritage Rose Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.343887,-121.907457,Municipal Rose Garden,northamerica/unitedstates/california/san_jose/municipal_rose_garden,0.683,1.257,1.721,has_external_url,http://www.heritageroses.us/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,see,Zhengzhou Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.7998768094,113.5631454711,Henan Provincial Museum,asia/china/henan_province/zhengzhou/henan_museum,0.558,9.257,7.777,has_external_url,http://www.zzmsg.cn/,https://en.wikivoyage.org/wiki/Zhengzhou
europe/germany/saxonyanhalt/magdeburg,Magdeburg,Magdeburg,8,24,see,St. John's Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.130777,11.641287,Magdeburger Reiter,europe/germany/saxonyanhalt/magdeburg/magdeburger_reiter,0.646,0.354,0.113,has_external_url,http://www.mvgm-online.de/johanniskirche/,https://en.wikivoyage.org/wiki/Magdeburg
europe/finland/vaasa,Vaasa,Vaasa,12,80,do,Zip Adventure Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,63.0942935,21.582491,Centre Bars,europe/finland/vaasa/pub_old_town,0.552,1.647,1.684,has_external_url,https://www.zipadventurepark.com/,https://en.wikivoyage.org/wiki/Vaasa
