world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/northrhinewestphalia/bonn,Bonn,Bonn,19,96,see,Deutsches Museum Bonn,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.69895,7.15113,Kunstmuseum Bonn,europe/germany/northrhinewestphalia/bonn/kunstmuseumbonn,0.703,2.799,5.671,has_external_url,https://www.deutsches-museum.de/en/bonn,https://en.wikivoyage.org/wiki/Bonn
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,see,National Museum of American Illustration,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.4696,-71.3069,Cliff Walk,northamerica/unitedstates/rhodeisland/newport/cliff_walk,0.555,0.445,1.657,has_external_url,http://www.americanillustration.org/,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
asia/indonesia/sumatra/padang,Padang,Padang,6,22,see,Museum Adityawarman,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-0.9561448,100.3547667,Adityawarman Museum,asia/indonesia/sumatra/padang/adityawarman_museum,0.632,2.299,3.612,has_external_url,http://www.museumadityawarman.org,https://en.wikivoyage.org/wiki/Padang
europe/azerbaijan/naxcivan/shusha,Shusha,Shusha,10,17,see,Shushi History Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.75656,46.75354,Mausoleum of Molla Panah Vagif,europe/azerbaijan/naxcivan/shusha/bust_of_molla_panah_vagif,0.643,0.357,0.772,has_external_url,http://historyofshushi.wix.com/museum,https://en.wikivoyage.org/wiki/Shusha
europe/hungary/debrecen,Debrecen,Debrecen,17,130,do,Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.5524,21.6349,Nagyerdő (Great Forest),europe/hungary/debrecen/nagyerdo_park,0.589,0.411,2.429,has_external_url,http://www.zoodebrecen.hu/,https://en.wikivoyage.org/wiki/Debrecen
europe/hungary/sopron,Sopron,Sopron,9,234,see,City Hall,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68652,16.59083,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.562,0.438,0.891,has_external_url,http://www.sopron.hu,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,see,Old Medical College of Georgia,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.470231,-81.963182,Augusta Museum of History,northamerica/unitedstates/georgia/augusta/augusta_museum_of_history,0.559,0.441,1.085,has_external_url,http://www.nps.gov/nr/travel/augusta/oldmedicalcollega.html,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29
europe/hungary/pecs,Pécs,Pécs,9,63,do,Croatian Theatre in Pécs,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.07879,18.23121,Mosque of Pasha Qasim,europe/hungary/pecs/mosque_of_pasha_qasim,0.683,0.317,0.319,has_external_url,http://www.horvatszinhaz.hu,https://en.wikivoyage.org/wiki/P%C3%A9cs
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Museum Schloss Wilhelmshöhe,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.315,9.416111,Bergpark Wilhelmshöhe,europe/germany/hessen/kassel/bergpark_wilhelmshohe,0.583,1.685,5.681,has_external_url,http://www.museum-kassel.de/en/museums-parks-palaces/unesco-world-heritage-site-of-bergpark-wilhelmshoehe/wilhelmshoehe-palace,https://en.wikivoyage.org/wiki/Kassel
northamerica/unitedstates/tennessee/knoxville,Knoxville,Knoxville,23,55,do,Minor League Baseball,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.97231,-83.91456,Old Gray Cemetery,northamerica/unitedstates/tennessee/knoxville/old_gray_cemetery,0.575,0.425,1.414,has_external_url,http://www.milb.com/knoxville,https://en.wikivoyage.org/wiki/Knoxville
