world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/samos,Samos,Samos,17,56,do,Sailing Heaven,0.59,candidate,has description; high-value type; has external URL,,,Psili Ammos,europe/greece/samos/psili_ammos,0.48,,,missing_coordinates; has_external_url,http://sailingheaven.com,https://en.wikivoyage.org/wiki/Samos
northamerica/unitedstates/hawaii/hilo,Hilo,Hilo,13,59,do,Paradise Copters,0.59,candidate,has description; high-value type; has external URL,,,Palace Theater,northamerica/unitedstates/hawaii/hilo/palace_theater,0.533,,,missing_coordinates; has_external_url,https://paradisecopters.com/,https://en.wikivoyage.org/wiki/Hilo
northamerica/unitedstates/washington/seattle,Seattle,Seattle,19,70,see,Swedish Medical Center Ballard,0.59,candidate,has description; high-value type; has external URL,,,Shanghai Garden,northamerica/unitedstates/washington/seattle/shanghai_garden,0.356,,,missing_coordinates; has_external_url,https://www.swedish.org/locations/ballard-campus,https://en.wikivoyage.org/wiki/Seattle
northamerica/mexico/ciudad_obregn,Ciudad Obregón,Ciudad Obregón,3,19,see,Dr. Oscar Russo Vogel Theater,0.59,candidate,has description; high-value type; has external URL,,,Museo de los Yaquis,northamerica/mexico/ciudad_obregn/museo_yaqui,0.25,,,missing_coordinates; has_external_url,http://www.visitobregon.com/See-And-Do/Interests/Music-Theatre-Dr-Oscar-Russo-Vogel-Obregon.html,https://en.wikivoyage.org/wiki/Ciudad_Obreg%C3%B3n
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,"Real, Wild and Woody Beer Festival",0.59,candidate,has description; high-value type; has external URL,,,Echo Canyon Trail,northamerica/unitedstates/arizona/phoenix/echo_canyon_trail,0.36,,,missing_coordinates; has_external_url,http://realwildandwoody.com/,https://en.wikivoyage.org/wiki/Phoenix
europe/germany/schleswigholstein/lubeck,Lübeck,Lübeck,32,58,do,Lübeck Nordic Film Days,0.59,candidate,has description; high-value type; has external URL,,,Lübeck Cathedral,europe/germany/schleswigholstein/lubeck/cathedral,0.462,,,missing_coordinates; has_external_url,https://www.nordische-filmtage.de,https://en.wikivoyage.org/wiki/L%C3%BCbeck
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,do,Red Rocks and Sycamore Canyon Loop Scenic Drive,0.59,candidate,has description; high-value type; has external URL,,,Tlaquepaque Arts and Shopping Village,northamerica/unitedstates/arizona/sedona/tlaquepaque,0.381,,,missing_coordinates; has_external_url,http://www.fs.usda.gov/recarea/coconino/recreation/scenicdrivinginfo/recarea/?recid=74381&actid=105,https://en.wikivoyage.org/wiki/Sedona
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,do,Great Lakes Popcorn Co.,0.59,candidate,has description; high-value type; has external URL,,,Lake Erie Walleye Fishing,northamerica/unitedstates/ohio/port_clinton/walleye_fishing,0.298,,,missing_coordinates; has_external_url,https://greatlakespopcorn.com/,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29
asia/philippines/coron,Coron,Coron,16,24,do,Calamian Planet Online,0.59,candidate,has description; high-value type; has external URL,,,Kayangan Lake,asia/philippines/coron/kayangan_lake,0.457,,,missing_coordinates; has_external_url,http://corongaleri.com.ph,https://en.wikivoyage.org/wiki/Coron
northamerica/unitedstates/alaska/petersburg,Petersburg,Petersburg (Alaska),6,21,do,Blind River Rapids,0.59,candidate,has description; high-value type; has external URL,,,LeConte Glacier,northamerica/unitedstates/alaska/petersburg/leconte_glacier,0.364,,,missing_coordinates; has_external_url,http://www.fs.usda.gov/recarea/tongass/recreation/ohv/recarea/?recid=78995&actid=50,https://en.wikivoyage.org/wiki/Petersburg_%28Alaska%29
asia/unitedarabemirates/sharjah,Sharjah,Sharjah,8,32,see,Al-Qasba Waterfront and Eye of the Emirates,0.59,candidate,has description; high-value type; has external URL,,,Sharjah Museum of Islamic Civilization,asia/unitedarabemirates/sharjah/sharjah_museum_of_islamic_civilization,0.364,,,missing_coordinates; has_external_url,http://www.qaq.ae,https://en.wikivoyage.org/wiki/Sharjah
