world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Liangzhu Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.37971,120.02304,Zhejiang Provincial Museum,asia/china/zhejiang/hangzhou/zhejiang_provincial_museum,0.537,17.888,22.743,has_external_url,https://www.lzmuseum.cn,https://en.wikivoyage.org/wiki/Hangzhou
northamerica/unitedstates/montana/great_falls,Great Falls,Great Falls (Montana),10,35,see,Ryan Dam,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.5694,-111.125,Great Falls of the Missouri,northamerica/unitedstates/montana/great_falls/great_falls_of_the_missouri,0.323,3.434,14.437,has_external_url,https://www.visitmt.com/listings/general/recreation-area/ryan-island-park-picnic-area,https://en.wikivoyage.org/wiki/Great_Falls_%28Montana%29
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,do,Seegrubenbahn,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.28604,11.39903,Golden Roof,europe/austria/innsbruck/goldenroof,0.25,1.998,2.343,has_external_url,https://nordkette.com/en/,https://en.wikivoyage.org/wiki/Innsbruck
europe/germany/bavaria/fuerth,Fürth,Fürth,5,33,do,Kofferfabrik,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.46823,11.00749,Stadtpark,europe/germany/bavaria/fuerth/stadtpark,0.286,2.176,4.187,has_external_url,http://www.kofferfabrik.cc/,https://en.wikivoyage.org/wiki/F%C3%BCrth
europe/unitedkingdom/england/south_east/chichester,Chichester,Chichester,13,27,see,Tangmere Military Aviation Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.8464,-0.7154,The Novium Museum,europe/unitedkingdom/england/south_east/chichester/the_novium,0.435,4.734,4.612,has_external_url,http://www.tangmere-museum.org.uk/,https://en.wikivoyage.org/wiki/Chichester
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,do,Idėjų Parkas Bunkeris,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.8084,24.4312,City Cafes and Bars,europe/lithuania/panevezys/city_cafes,0.41,,9.413,has_external_url,https://idejuparkasbunkeris.lt/,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Garden City Helicopters,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-43.49268,172.54777,Cardboard Cathedral,australiaandpacific/newzealand/canterbury/christchurch/cardboard_cathedral,0.429,8.981,8.371,has_external_url,http://www.helicopters.net.nz/,https://en.wikivoyage.org/wiki/Christchurch
europe/hungary/sopron,Sopron,Sopron,9,234,see,St. James Chapel and the old cemetery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68861,16.596384,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.311,2.717,0.935,has_external_url,http://www.sopronikirandulas.hu/sopron/szent_jakab-kapolna_es_a_regi_temeto.html,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/arizona/prescott,Prescott,Prescott,12,23,do,Watson Lake Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.592331,-112.420452,Whiskey Row,northamerica/unitedstates/arizona/prescott/whiskey_row,0.444,7.326,7.314,has_external_url,https://www.prescott-az.gov/recreation-area/watson-lake-park/,https://en.wikivoyage.org/wiki/Prescott
northamerica/unitedstates/louisiana/morgan_city,“Morgan City”,Morgan City (Louisiana),8,8,do,Lake End Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.7219,-91.1883,Louisiana Shrimp and Petroleum Festival,northamerica/unitedstates/louisiana/morgan_city/shrimp_and_petroleum_festival,0.308,3.074,3.075,has_external_url,https://lakeendpark.net/,https://en.wikivoyage.org/wiki/Morgan_City_%28Louisiana%29
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,see,Runkelstein Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.517543,11.358997,Renon Plateau and Cable Car,europe/italy/trentinoaltoadige/bolzano/renon_plateau,0.489,12.049,18.267,has_external_url,http://www.comune.bolzano.it/roncolo/,https://en.wikivoyage.org/wiki/Bolzano
europe/poland/lublin,Lublin,Lublin,10,68,do,UMCS Botanic Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.26283,22.51521,Lithuanian Square,europe/poland/lublin/lithuanian_square,0.444,3.477,4.056,has_external_url,http://www.garden.umcs.lublin.pl,https://en.wikivoyage.org/wiki/Lublin
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,do,Barrel House Distilling,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.056377,-84.519098,Woodford Reserve Distillery,northamerica/unitedstates/kentucky/lexington/woodford_reserve,0.52,23.308,2.227,has_external_url,http://barrelhousedistillery.com/,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Graves Park and Animal Farm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.3359,-1.4702,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.25,5.963,4.982,has_external_url,https://www.facebook.com/pg/gravesparkanimalfarm/about/,https://en.wikivoyage.org/wiki/Sheffield
europe/poland/szczecin,Szczecin,Szczecin,9,62,see,Emerald Lake,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.3713,14.6246,Castle of the Pomeranian Dukes,europe/poland/szczecin/castle_of_the_pomeranian_dukes,0.421,8.038,8.167,has_external_url,https://visitszczecin.eu/en/others/65-szmaragdowe-lake,https://en.wikivoyage.org/wiki/Szczecin
northamerica/canada/britishcolumbia/kamploops,Kamloops,Kamloops,13,31,do,Lac Du Bois Grasslands Protected Area,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.787,-120.462,Kamloops Museum and Archives,northamerica/canada/britishcolumbia/kamploops/kamloops_museum,0.387,15.3,15.672,has_external_url,https://bcparks.ca/lac-du-bois-grasslands-protected-area/,https://en.wikivoyage.org/wiki/Kamloops
asia/turkey/bursa,Bursa,Bursa,13,44,see,Museum of Textile Industry,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.2,29.052,Bursa Cable Car (Teleferik),asia/turkey/bursa/bursa_cable_car,0.341,2.369,2.343,has_external_url,https://tekstilmuzesi.bursa.bel.tr/,https://en.wikivoyage.org/wiki/Bursa
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Dundas Museum & Archives,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.268275,-79.959445,Royal Botanical Gardens,northamerica/canada/ontario/hamilton/royal_botanical,0.367,6.447,7.141,has_external_url,https://dundasmuseum.ca/,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
northamerica/unitedstates/california/centralcoast/monterey/bigsur,Big Sur,Big Sur,3,22,see,Julia Pfeiffer Burns State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.1708,-121.6731,Big Sur,northamerica/unitedstates/california/centralcoast/monterey/bigsur/big_sur,0.211,,10.196,has_external_url,http://www.parks.ca.gov/?page_id=578,https://en.wikivoyage.org/wiki/Big_Sur
