world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/scotland/jedburgh,Jedburgh,Jedburgh,7,20,see,Monteath Mausoleum,0.77,candidate,has coordinates; high-value type,55.5336,-2.6152,Jedburgh Castle Jail,europe/unitedkingdom/scotland/jedburgh/jedburgh_castle_jail,0.368,7.281,7.274,needs_external_source,,https://en.wikivoyage.org/wiki/Jedburgh
asia/china/sichuanprovince/xichang,Xichang,Xichang,6,23,see,Qionghai 17 degrees,0.77,candidate,has coordinates; high-value type,27.872845,102.284647,Qionghai Lake and Wetland Park,asia/china/sichuanprovince/xichang/qionghai_lake,0.449,3.69,3.083,needs_external_source,,https://en.wikivoyage.org/wiki/Xichang
europe/unitedkingdom/scotland/orkneys/kirkwall,Kirkwall,Kirkwall,6,16,see,Wideford Hill Cairn,0.77,candidate,has coordinates; high-value type,58.992,-3.03,Highland Park Distillery,europe/unitedkingdom/scotland/orkneys/kirkwall/highland_park_distillery,0.326,5.006,4.169,needs_external_source,,https://en.wikivoyage.org/wiki/Kirkwall
europe/ireland/mullingar,Mullingar,Mullingar,5,16,see,Multyfarnham Abbey,0.77,candidate,has coordinates; high-value type,53.628,-7.392,Tullynally Castle and Gardens,europe/ireland/mullingar/tullynally_castle,0.34,7.451,12.08,needs_external_source,,https://en.wikivoyage.org/wiki/Mullingar
southamerica/bolivia/tupiza,Tupiza,Tupiza,10,17,see,Cerro Elefante,0.77,candidate,has coordinates; high-value type,-21.4263,-65.6924,Cerro Corazón de Jesús,southamerica/bolivia/tupiza/cerro_corazon,0.545,2.897,3.527,needs_external_source,,https://en.wikivoyage.org/wiki/Tupiza
europe/romania/tirgujiu,Târgu Jiu,Târgu Jiu,5,9,see,Cula Cartianu,0.77,candidate,has coordinates; high-value type,45.118553,23.314281,Church of the Holy Archangels,europe/romania/tirgujiu/church_of_the_holy_archangels,0.368,9.232,9.083,needs_external_source,,https://en.wikivoyage.org/wiki/T%C3%A2rgu_Jiu
australiaandpacific/australia/westernaustralia/kalbarri,Kalbarri,Kalbarri,5,13,see,Meanarra Hill,0.77,candidate,has coordinates; high-value type,-27.697,114.217,Kalbarri Skywalk,australiaandpacific/australia/westernaustralia/kalbarri/kalbarri_skywalk,0.414,32.671,5.462,needs_external_source,,https://en.wikivoyage.org/wiki/Kalbarri
europe/unitedkingdom/scotland/lochinver,Lochinver,Lochinver,5,16,see,Bone Caves,0.77,candidate,has coordinates; high-value type,58.1087,-4.9407,Loch Culag,europe/unitedkingdom/scotland/lochinver/loch_culag,0.4,17.59,18.264,needs_external_source,,https://en.wikivoyage.org/wiki/Lochinver
europe/unitedkingdom/northernireland/ballymena,Ballymena,Ballymena,7,11,see,Gracehill,0.77,candidate,has coordinates; high-value type,54.85,-6.333,Gracehill Moravian Village,europe/unitedkingdom/northernireland/ballymena/gracehill_moravian_village,0.514,,4.074,needs_external_source,,https://en.wikivoyage.org/wiki/Ballymena
europe/spain/cantabria/santillana_del_mar,Santillana del Mar,Santillana del Mar,6,17,see,La Virgen de las Nieves,0.77,candidate,has coordinates; high-value type,43.382,-4.0879,Torre de Don Borja,europe/spain/cantabria/santillana_del_mar/torre_don_borja,0.286,1.896,1.871,needs_external_source,,https://en.wikivoyage.org/wiki/Santillana_del_Mar
asia/turkey/demre,Demre (Myra),Demre,2,9,see,Teimiussa,0.77,candidate,has coordinates; high-value type,36.1971,29.8502,Church of St Nicholas,asia/turkey/demre/st_nicholas_church,0.2,13.264,12.926,needs_external_source,,https://en.wikivoyage.org/wiki/Demre
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,do,Huayu Fitness,0.77,candidate,has coordinates; high-value type,38.28326,116.84549,Cangzhou Iron Lion,asia/china/hebei/cangzhou/cangzhou_iron_lion,0.323,4.611,4.611,needs_external_source,,https://en.wikivoyage.org/wiki/Cangzhou
europe/spain/spanishcostas/altea,Altea,Altea,8,28,do,Platja de la Roda,0.77,candidate,has coordinates; high-value type,38.59448,-0.05184,Altea Tuesday Market,europe/spain/spanishcostas/altea/altea_market,0.473,0.527,0.586,needs_external_source,,https://en.wikivoyage.org/wiki/Altea
europe/hungary/zalakaros,Zalakaros,Zalakaros,2,56,see,Erdész Observation Tower,0.77,candidate,has coordinates; high-value type,46.55842,17.10927,Kis-Balaton (Little Balaton),europe/hungary/zalakaros/kis_balaton,0.4,10.885,1.023,needs_external_source,,https://en.wikivoyage.org/wiki/Zalakaros
europe/ireland/westport,Westport,Westport (Ireland),5,18,see,Louisburgh,0.77,candidate,has coordinates; high-value type,53.762,-9.809,Westport House,europe/ireland/westport/westport_house,0.25,18.424,19.44,needs_external_source,,https://en.wikivoyage.org/wiki/Westport_%28Ireland%29
europe/spain/andalucia/jerezdelafrontera,Jerez de la Frontera,Jerez de la Frontera,6,74,see,Santo Domingo Convent,0.77,candidate,has coordinates; high-value type,36.68648,-6.13688,Centro Andaluz del Flamenco,europe/spain/andalucia/jerezdelafrontera/centro_andaluz_flamenco,0.535,0.465,0.538,needs_external_source,,https://en.wikivoyage.org/wiki/Jerez_de_la_Frontera
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,see,Russia,0.77,candidate,has coordinates; high-value type,-7.269948,112.749534,House of Sampoerna,asia/indonesia/java/surabaya/house_of_sampoerna,0.333,4.67,2.931,needs_external_source,,https://en.wikivoyage.org/wiki/Surabaya
europe/unitedkingdom/northernireland/bushmills,Bushmills,Bushmills,4,11,see,Dundarave House,0.77,candidate,has coordinates; high-value type,55.211,-6.511,Dunluce Castle,europe/unitedkingdom/northernireland/bushmills/dunluce_castle,0.483,4.325,0.965,needs_external_source,,https://en.wikivoyage.org/wiki/Bushmills
europe/austria/hallstatt,Hallstatt,Hallstatt,12,23,see,P4,0.77,candidate,has coordinates; high-value type,47.54614,13.66351,Marktplatz,europe/austria/hallstatt/market_square,0.167,2.067,2.102,needs_external_source,,https://en.wikivoyage.org/wiki/Hallstatt
europe/spain/galicia/ponferrada,Ponferrada,Ponferrada,8,14,see,Santa María de Vizbayo,0.77,candidate,has coordinates; high-value type,42.5374,-6.5945,Restaurante La Bóveda,europe/spain/galicia/ponferrada/restaurante_la_boveda,0.457,1.216,0.891,needs_external_source,,https://en.wikivoyage.org/wiki/Ponferrada
