world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,see,Aquarium of Boise,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.605545,-116.27331,The Basque Block,northamerica/unitedstates/idaho/boise/basque_block,0.414,5.831,5.958,needs_external_source,,https://en.wikivoyage.org/wiki/Boise
europe/italy/liguria/italianriviera/finaleligure,Finale Ligure,Finale Ligure,7,21,see,Palazzo Ricci,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.175927,8.326821,Finalborgo,europe/italy/liguria/italianriviera/finaleligure/finalborgo,0.348,1.18,1.556,needs_external_source,,https://en.wikivoyage.org/wiki/Finale_Ligure
asia/india/uttarpradesh/varanasi,Varanasi,Varanasi,13,65,see,Nepali Hindu Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.31765,82.97391,Kashi Vishwanath Temple,asia/india/uttarpradesh/varanasi/kashi_vishwanath_temple,0.524,3.768,3.936,needs_external_source,,https://en.wikivoyage.org/wiki/Varanasi
asia/china/hainanisland/lingshui,Lingshui,Lingshui,4,11,do,Mytikas Water Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.447718992423056,110.04304728381913,Lingshui Railway Station,asia/china/hainanisland/lingshui/lingshui_railway_station,0.333,10.165,11.396,needs_external_source,,https://en.wikivoyage.org/wiki/Lingshui
europe/estonia/tallinn,Tallinn,Tallinn,57,163,do,Pikakari Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,59.47334,24.72515,Pirita,europe/estonia/tallinn/pirita,0.5,6.109,4.405,needs_external_source,,https://en.wikivoyage.org/wiki/Tallinn
europe/estonia/rakvere,Rakvere,Rakvere,7,41,see,Mõdriku Manor,0.89,candidate,has coordinates; has description; high-value type; strong travel term,59.3047,26.45684,Pikk Street,europe/estonia/rakvere/pikk_street,0.333,7.56,7.247,needs_external_source,,https://en.wikivoyage.org/wiki/Rakvere
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,do,Sun Island International Snow Sculpture Art Fair,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.7886,126.5907,Harbin Ice and Snow World,asia/china/heilongjiang/harbin/ice_and_snow_world,0.356,3.934,4.332,needs_external_source,,https://en.wikivoyage.org/wiki/Harbin
europe/estonia/otep,Otepää,Otepää,5,21,see,Monument of the visit of Dalai-Lama,0.89,candidate,has coordinates; has description; high-value type; strong travel term,58.04436,26.46669,Pühajärv,europe/estonia/otep/puhajarv,0.32,0.68,2.336,needs_external_source,,https://en.wikivoyage.org/wiki/Otep%C3%A4%C3%A4
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Vietnam,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.9185,106.9343,Naadam Festival,asia/mongolia/ulaanbaatar/naadam_festival,0.273,2.263,1.237,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
northamerica/unitedstates/massachusetts/salem,Salem,Salem (Massachusetts),11,81,see,Dead Horse Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.53381,-70.87377,Salem Willows,northamerica/unitedstates/massachusetts/salem/salem_willows,0.458,0.542,2.016,needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28Massachusetts%29
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,see,Jama Masjid,0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.5248,70.47,Junagadh Museum,asia/india/gujarat/junagadh/junagadh_museum,0.462,1.287,1.046,needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh
asia/kazakhstan/shimkent,Shymkent,Shymkent,12,32,see,Museum of Turkestan Region,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.38298774,69.6280131,Regional Museum of Local Lore,asia/kazakhstan/shimkent/regional_museum,0.509,7.794,8.265,needs_external_source,,https://en.wikivoyage.org/wiki/Shymkent
asia/india/maharashtra/konkan/dapoli,Dapoli,Dapoli,4,22,see,Kelshi,0.89,candidate,has coordinates; has description; high-value type; strong travel term,17.9224,73.06119,Karde Beach,asia/india/maharashtra/konkan/dapoli/karde_beach,0.353,24.207,22.719,needs_external_source,,https://en.wikivoyage.org/wiki/Dapoli
asia/myanmar/yangon,Yangon,Yangon,21,140,see,People's Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.796944,96.142778,Bogyoke Market,asia/myanmar/yangon/bogyoke_market,0.444,1.686,1.939,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
northamerica/honduras/trujillo,Trujillo,Trujillo (Honduras),7,10,see,Punta Castilla or Caxinas,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.00534,-85.98037,Playa de Trujillo,northamerica/honduras/trujillo/playa_de_trujillo,0.41,10.807,10.045,needs_external_source,,https://en.wikivoyage.org/wiki/Trujillo_%28Honduras%29
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,do,Beach #3 (City Beach),0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.05123,120.35141,No. 1 Bathing Beach,asia/china/shandong_province/qingdao/no1_bathing_beach,0.4,1.334,2.904,needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Michael the Archangel Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.3337,104.21531,130th Quarter,europe/russia/irkutsk/130th_quarter,0.324,7.363,6.619,needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk
europe/germany/schleswigholstein/sylt,Sylt,Sylt,16,29,see,Uwe Düne,0.89,candidate,has coordinates; has description; high-value type; strong travel term,54.954278,8.330639,Kampen,europe/germany/schleswigholstein/sylt/kampen,0.495,0.505,5.74,needs_external_source,,https://en.wikivoyage.org/wiki/Sylt
asia/srilanka/jaffna,Jaffna,Jaffna,9,20,see,Fish Market,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.65401,80.01431,Cosy Restaurant,asia/srilanka/jaffna/cosy_restaurant,0.385,0.967,1.483,needs_external_source,,https://en.wikivoyage.org/wiki/Jaffna
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,Heilig-Kreuz-Kirche,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.503,7.4542,Kreuzviertel,europe/germany/northrhinewestphalia/dortmund/kreuzviertel,0.53,0.47,1.465,needs_external_source,,https://en.wikivoyage.org/wiki/Dortmund
europe/belgium/nieuwpoort,Nieuwpoort,Nieuwpoort,6,27,see,Saint-Laurenstower,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.1305,2.757,Ganzepoot Locks,europe/belgium/nieuwpoort/ganzepoot_locks,0.504,0.496,0.391,needs_external_source,,https://en.wikivoyage.org/wiki/Nieuwpoort
europe/austria/linz,Linz,Linz,11,63,see,Skulpturenpark Artpark,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.29194,14.30417,Stadtpfarrkirche (City Parish Church),europe/austria/linz/stadtpfarrkirche,0.421,1.986,2.148,needs_external_source,,https://en.wikivoyage.org/wiki/Linz
europe/italy/sicily/trapani,Trapani,Trapani,7,70,do,Lido Paradiso,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.02196,12.51967,Saline di Trapani e Paceco (Salt Pans),europe/italy/sicily/trapani/saline_di_trapani,0.359,3.731,1.103,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
europe/finland/jyvaskyla,Jyväskylä,Jyväskylä,10,66,do,Kolmisoppinen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,62.2075,25.6653,Craft Museum of Finland,europe/finland/jyvaskyla/craft_museum_of_finland,0.333,5.686,5.688,needs_external_source,,https://en.wikivoyage.org/wiki/Jyv%C3%A4skyl%C3%A4
northamerica/costarica/liberia,Liberia,Liberia (Costa Rica),2,27,see,Museo de Sabanero,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.62719,-85.43594,Sights in Liberia,northamerica/costarica/liberia/sights,0.323,,0.704,needs_external_source,,https://en.wikivoyage.org/wiki/Liberia_%28Costa_Rica%29
europe/portugal/lagos,Lagos,Lagos (Portugal),0,22,see,Mercado de Escravos,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.1008,-8.6713,,,0.0,,0.293,needs_external_source,,https://en.wikivoyage.org/wiki/Lagos_%28Portugal%29
asia/china/jiangsu_province/nantong,Nantong,Nantong,5,9,see,Nantong Forest Safari Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.10272,120.82193,Nantong Abacus Museum,asia/china/jiangsu_province/nantong/nantong_abacus_museum,0.468,15.079,15.181,needs_external_source,,https://en.wikivoyage.org/wiki/Nantong
asia/china/fujianprovince/putian,Putian,Putian,5,25,do,East Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.4482,119.0592,Southern Shaolin Monastery,asia/china/fujianprovince/putian/southern_shaolin_monastery,0.278,9.688,5.007,needs_external_source,,https://en.wikivoyage.org/wiki/Putian
africa/morocco/tangier,Tangier,Tangier,31,50,do,Mnar Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.8084,-5.7435,Cafe de Paris,africa/morocco/tangier/cafe_de_paris,0.526,7.07,9.802,needs_external_source,,https://en.wikivoyage.org/wiki/Tangier
australiaandpacific/newzealand/nelson,Nelson,Nelson (New Zealand),18,40,see,Miyazu Japanese Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-41.258822,173.299619,Nelson Market,australiaandpacific/newzealand/nelson/nelson_market,0.4,1.843,1.907,needs_external_source,,https://en.wikivoyage.org/wiki/Nelson_%28New_Zealand%29
europe/spain/andalucia/tarifa,Tarifa,Tarifa,9,21,see,Cueva del Moro,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.100564,-5.793335,Puerta de Jerez,europe/spain/andalucia/tarifa/puerta_de_jerez,0.455,19.363,19.534,needs_external_source,,https://en.wikivoyage.org/wiki/Tarifa
