world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/alberta/sylvan_lake,Sylvan Lake,Sylvan Lake,4,11,do,Sylvan Lake Marina,0.7,candidate,has coordinates; has description; high-value type,52.310786,-114.103638,Sylvan Lake Park and Beach,northamerica/canada/alberta/sylvan_lake/sylvan_lake_park,0.682,0.888,0.428,needs_external_source,,https://en.wikivoyage.org/wiki/Sylvan_Lake
europe/france/midi/provence/menton,Menton,Menton,10,11,see,Cimetière du Vieux Chateau,0.7,candidate,has coordinates; has description; high-value type,43.77812,7.50567,Old Town (Vieille Ville),europe/france/midi/provence/menton/old_town,0.646,0.354,0.379,needs_external_source,,https://en.wikivoyage.org/wiki/Menton
africa/morocco/chaouen,Chefchaouen,Chefchaouen,7,33,do,Grand Cascade D'Akchour,0.7,candidate,has coordinates; has description; high-value type,35.21832,-5.13842,Grand Mosque of Chefchaouen,africa/morocco/chaouen/grand_mosque,0.56,12.551,12.647,needs_external_source,,https://en.wikivoyage.org/wiki/Chefchaouen
asia/india/rajasthan/jodhpur,Jodhpur,Jodhpur,23,34,see,Mandore,0.7,candidate,has coordinates; has description; high-value type,26.34149,73.04634,Mandore Gardens,asia/india/rajasthan/jodhpur/mandore_gardens,0.636,0.939,11.617,needs_external_source,,https://en.wikivoyage.org/wiki/Jodhpur
northamerica/unitedstates/georgia/savannah,Savannah,Savannah,12,86,see,LaFayette Square,0.7,candidate,has coordinates; has description; high-value type,32.073056,-81.091389,Mrs. Wilkes' Dining Room,northamerica/unitedstates/georgia/savannah/mrs_wilkes_dining_room,0.58,0.42,0.665,needs_external_source,,https://en.wikivoyage.org/wiki/Savannah
europe/portugal/coimbra,Coimbra,Coimbra,9,40,see,Estádio Cidade de Coimbra,0.7,candidate,has coordinates; has description; high-value type,40.203333,-8.407778,Museu da Ciência da Universidade de Coimbra,europe/portugal/coimbra/science_museum,0.581,1.553,2.042,needs_external_source,,https://en.wikivoyage.org/wiki/Coimbra
europe/greece/kalambaka,Kalambaka,Kalambaka,12,14,see,St. Nikolaos Anapafsas,0.7,candidate,has coordinates; has description; high-value type,39.723725,21.624802,Monastery of Saint Nicholas Anapafsas,europe/greece/kalambaka/monastery_of_nikolaos_anapafsas,0.655,1.463,2.303,needs_external_source,,https://en.wikivoyage.org/wiki/Kalambaka
asia/cyprus/nicosia,Nicosia,Nicosia,18,68,see,Famagusta Gate,0.7,candidate,has coordinates; has description; high-value type,35.17427,33.37121,Liberty Monument,asia/cyprus/nicosia/libertymonument,0.686,0.314,0.668,needs_external_source,,https://en.wikivoyage.org/wiki/Nicosia
asia/china/xinjiangprovince/burqin,Burqin,Burqin,8,15,see,Sino-Russian old wharf style street scenic spot,0.7,candidate,has coordinates; has description; high-value type,47.701013,86.860512,Russian-style Street,asia/china/xinjiangprovince/burqin/russian_style_street,0.597,1.296,1.166,needs_external_source,,https://en.wikivoyage.org/wiki/Burqin
asia/india/rajasthan/jaipur,Jaipur,Jaipur,39,85,see,Statue Circle,0.7,candidate,has coordinates; has description; high-value type,26.9075,75.8056,C-Scheme & Moti Dungri Area,asia/india/rajasthan/jaipur/moti_dungri_neighbourhood,0.66,0.34,1.593,needs_external_source,,https://en.wikivoyage.org/wiki/Jaipur
northamerica/nicaragua/jinotega,Jinotega,Jinotega,5,18,see,Peña de la Cruz,0.7,candidate,has coordinates; has description; high-value type,13.09235,-86.01312,Coffee Finca Tours,northamerica/nicaragua/jinotega/coffee_finca_tours,0.573,0.427,1.519,needs_external_source,,https://en.wikivoyage.org/wiki/Jinotega
northamerica/unitedstates/oklahoma/grove,Grove,Grove (Oklahoma),6,7,do,Grand Lake Casino,0.7,candidate,has coordinates; has description; high-value type,36.65455,-94.70726,Grand Lake o' the Cherokees,northamerica/unitedstates/oklahoma/grove/grand_lake,0.615,12.883,8.7,needs_external_source,,https://en.wikivoyage.org/wiki/Grove_%28Oklahoma%29
africa/ethiopia/addisababa,Addis Ababa,Addis Ababa,29,99,see,Lion of Judah of Haile Selassie,0.7,candidate,has coordinates; has description; high-value type,9.0166,38.7524,Lion of Judah Monument,africa/ethiopia/addisababa/lion_of_judah_monument,0.604,1.241,2.135,needs_external_source,,https://en.wikivoyage.org/wiki/Addis_Ababa
europe/italy/lombardia/brescia,Brescia,Brescia,11,30,see,Mercato dei Grani,0.7,candidate,has coordinates; has description; high-value type,45.536058,10.230095,Teatro Grande,europe/italy/lombardia/brescia/teatro_grande,0.6,0.729,0.861,needs_external_source,,https://en.wikivoyage.org/wiki/Brescia
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,see,Dujiangyan old city,0.7,candidate,has coordinates; has description; high-value type,31.00006,103.61914,Dujiangyan Irrigation System,asia/china/sichuanprovince/dujiangyan/dujiangyan_irrigation_system,0.637,0.363,0.608,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
asia/mongolia/darkhan,Darkhan,Darkhan,3,33,see,Buddha's Statue of Northern,0.7,candidate,has coordinates; has description; high-value type,49.474167,105.943986,Morin Khuur Complex,asia/mongolia/darkhan/morin_khuur_complex,0.697,0.303,2.088,needs_external_source,,https://en.wikivoyage.org/wiki/Darkhan
europe/serbia/kosovoprovince/prizren,Prizren,Prizren,7,50,see,Shadervan,0.7,candidate,has coordinates; has description; high-value type,42.20904,20.74052,Restaurant Oxha,europe/serbia/kosovoprovince/prizren/restaurant_oxha,0.558,0.442,0.692,needs_external_source,,https://en.wikivoyage.org/wiki/Prizren
northamerica/unitedstates/california/shastacascade/oroville,Oroville,Oroville (California),5,21,do,Table Mountain,0.7,candidate,has coordinates; has description; high-value type,39.59494,-121.55162,Table Mountain wildflower hikes,northamerica/unitedstates/california/shastacascade/oroville/table_mountain,0.622,,9.034,needs_external_source,,https://en.wikivoyage.org/wiki/Oroville_%28California%29
