world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Nanjing Museum of Paleontology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.06165,118.790001,Nanjing Museum,asia/china/jiangsu_province/nanjing/nanjing_museum,0.636,6.054,2.243,has_external_url,http://www.nmp.ac.cn/,https://en.wikivoyage.org/wiki/Nanjing
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,do,Foy's Lake Concord,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.365901,91.796943,Foy's Lake,asia/bangladesh/chittagong/foys_lake,0.714,0.699,5.256,has_external_url,https://foyslake.com/,https://en.wikivoyage.org/wiki/Chittagong
europe/sweden/ume,Umeå,Umeå,9,52,see,Umedalen Skulptur,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,63.837732,20.159912,Listen Sculpture,europe/sweden/ume/listen_sculpture,0.667,5.246,5.234,has_external_url,http://www.umedalenskulptur.se,https://en.wikivoyage.org/wiki/Ume%C3%A5
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Geology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.454853,26.085411,Village Museum,europe/romania/bucharest/village_museum,0.643,2.178,2.496,has_external_url,http://www.geology.ro/,https://en.wikivoyage.org/wiki/Bucharest
northamerica/unitedstates/texas/sanantonio,San Antonio,San Antonio,26,86,do,SeaWorld San Antonio,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.458353,-98.700196,San Antonio Zoo,northamerica/unitedstates/texas/sanantonio/san_antonio_zoo,0.629,21.527,20.212,has_external_url,https://seaworld.com/san-antonio/,https://en.wikivoyage.org/wiki/San_Antonio
southamerica/argentina/salta,Salta,Salta,14,31,see,Pajcha,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-24.779312,-65.412866,Tren a las Nubes,southamerica/argentina/salta/tren_a_las_nubes,0.694,0.306,0.744,has_external_url,http://www.museopajchasalta.com.ar/,https://en.wikivoyage.org/wiki/Salta
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Archaeological Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.94115,11.57662,Kunstmuseum Bayreuth,europe/germany/bavaria/bayreuth/kunstmuseum_bayreuth,0.655,0.345,0.415,has_external_url,http://www.hvo.franken.org/archaeologisches_museum_3.html,https://en.wikivoyage.org/wiki/Bayreuth
asia/japan/honshu/nara,Nara,Nara,11,48,see,Yakushi-ji,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.668647,135.784567,Toshodai-ji,asia/japan/honshu/nara/toshodai_ji,0.571,0.773,2.615,has_external_url,http://www.nara-yakushiji.com/,https://en.wikivoyage.org/wiki/Nara
northamerica/honduras/tegucigalpa,Tegucigalpa,Tegucigalpa,6,30,see,Museo para la Identidad Nacional,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.106753,-87.208082,Parque Central,northamerica/honduras/tegucigalpa/parque_central,0.589,0.411,2.778,has_external_url,http://www.min.hn/,https://en.wikivoyage.org/wiki/Tegucigalpa
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,see,Princess of Wales Own Regiment,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.234,-76.4856,Chez Piggy,northamerica/canada/ontario/kingston/chez_piggy,0.556,0.444,0.313,has_external_url,http://pwor.ca/museum/,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29
