world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/turkey/bursa,Bursa,Bursa,13,44,see,Beyazid I Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.188,29.082,Grand Mosque (Ulu Cami),asia/turkey/bursa/grand_mosque,0.643,1.875,1.371,needs_external_source,,https://en.wikivoyage.org/wiki/Bursa
europe/france/midi/cotedazur/toulon,Toulon,Toulon,6,27,see,Place de la Liberté,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.1260455,5.9306002,Napoleon's Toulon: The Battle of 1793,europe/france/midi/cotedazur/toulon/napoleon_artillery,0.688,0.312,0.036,needs_external_source,,https://en.wikivoyage.org/wiki/Toulon
europe/spain/canaryislands/grancanaria/maspalomas/playa_del_ingles,Playa del Ingles,Playa del Inglés,11,25,see,Paseo Costa Canaria,0.74,candidate,has coordinates; has description; high-value type; strong travel term,27.7607,-15.56398,Ristorante Rimini,europe/spain/canaryislands/grancanaria/maspalomas/playa_del_ingles/ristorante_rimini,0.582,0.418,1.004,needs_external_source,,https://en.wikivoyage.org/wiki/Playa_del_Ingl%C3%A9s
asia/china/fujianprovince/zhangzhou,Zhangzhou,Zhangzhou,4,13,see,Yundongyan Scenic Area,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.5141941377,117.7600090078,Dongshan Peninsula,asia/china/fujianprovince/zhangzhou/dongshan_peninsula,0.55,91.403,11.133,needs_external_source,,https://en.wikivoyage.org/wiki/Zhangzhou
europe/italy/campania/benevento,Benevento,Benevento,6,7,see,Church of Santa Sofia,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.130539,14.781122,Santa Sofia,europe/italy/campania/benevento/santa_sofia,0.688,0.367,14.469,needs_external_source,,https://en.wikivoyage.org/wiki/Benevento
asia/indonesia/sumatra/bukittinggi,Bukittinggi,Bukittinggi,12,9,see,Sianok Canyon (Ngarai Sianok) and the Japanese Caves (Lubang Jepang),0.74,candidate,has coordinates; has description; high-value type; strong travel term,-0.30799,100.36586,Panorama Park,asia/indonesia/sumatra/bukittinggi/panorama_park,0.688,0.312,0.51,needs_external_source,,https://en.wikivoyage.org/wiki/Bukittinggi
asia/pakistan/karachi,Karachi,Karachi,50,197,see,Jehangir Kothari Parade,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.8136,67.0258,Bagh Ibne Qasim,asia/pakistan/karachi/bagh_ibne_qasim,0.557,0.443,4.597,needs_external_source,,https://en.wikivoyage.org/wiki/Karachi
northamerica/mexico/puertoescondido,Puerto Escondido,Puerto Escondido,11,40,do,Playa Principal,0.74,candidate,has coordinates; has description; high-value type; strong travel term,15.8597,-97.061,Playa Zicatela,northamerica/mexico/puertoescondido/playa_zicatela,0.69,0.993,1.637,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Escondido
asia/japan/kyushu/fukuoka_city,Fukuoka,Fukuoka,10,85,see,Nishi Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.598374,130.374915,Ohori Park,asia/japan/kyushu/fukuoka_city/ohori_park,0.7,1.397,3.047,needs_external_source,,https://en.wikivoyage.org/wiki/Fukuoka
europe/macedonia/strumica,Strumica,Strumica,6,34,see,Angelci monastery complex,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.476389,22.610833,Veljusa Monastery,europe/macedonia/strumica/veljusa_monastery,0.571,2.729,4.71,needs_external_source,,https://en.wikivoyage.org/wiki/Strumica
europe/macedonia/strumica,Strumica,Strumica,6,34,see,Orta Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.435699,22.634764,Goce Delčev Square,europe/macedonia/strumica/goce_delcev_square,0.567,0.433,0.428,needs_external_source,,https://en.wikivoyage.org/wiki/Strumica
