world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/estonia/rakvere,Rakvere,Rakvere,7,41,see,Rodewal Manor,0.7,candidate,has coordinates; has description; high-value type,59.34824,26.36176,Holy Trinity Church,europe/estonia/rakvere/holy_trinity_church,0.663,0.337,0.006,needs_external_source,,https://en.wikivoyage.org/wiki/Rakvere
asia/india/uttarpradesh/varanasi,Varanasi,Varanasi,13,65,see,Narad Ghat,0.7,candidate,has coordinates; has description; high-value type,25.30219,83.00781,Manikarnika Ghat,asia/india/uttarpradesh/varanasi/manikarnika_ghat,0.692,1.116,3.721,needs_external_source,,https://en.wikivoyage.org/wiki/Varanasi
asia/china/guangdong/kaiping,Kaiping,Kaiping,4,17,see,Sanmenli village,0.7,candidate,has coordinates; has description; high-value type,22.3583,112.614,Liyuan Village,asia/china/guangdong/kaiping/liyuan_village,0.667,6.751,7.838,needs_external_source,,https://en.wikivoyage.org/wiki/Kaiping
northamerica/mexico/magdalena_de_kino,Magdalena de Kino,Magdalena de Kino,5,7,see,Crypt of Padre Eusebio Kino,0.7,candidate,has coordinates; has description; high-value type,30.630986114409957,-110.97246989582823,Cripta del Padre Kino,northamerica/mexico/magdalena_de_kino/cripta_padre_kino,0.682,1.294,1.144,needs_external_source,,https://en.wikivoyage.org/wiki/Magdalena_de_Kino
africa/egypt/aswan,Aswan,Aswan,15,35,see,Fatimid Cemetery,0.7,candidate,has coordinates; has description; high-value type,24.080539,32.891972,Nubian Museum,africa/egypt/aswan/nubianmuseum,0.696,0.304,1.293,needs_external_source,,https://en.wikivoyage.org/wiki/Aswan
europe/hungary/eger,Eger,Eger,12,49,see,Szépasszony Valley,0.7,candidate,has coordinates; has description; high-value type,47.89041,20.35928,Egri Bikavér Wine,europe/hungary/eger/bikaver_wine,0.574,0.426,1.475,needs_external_source,,https://en.wikivoyage.org/wiki/Eger
europe/spain/canaryislands/lagomera/vallegranrey,Valle Gran Rey,Valle Gran Rey,4,13,see,Hautacuperche,0.7,candidate,has coordinates; has description; high-value type,28.088575,-17.339316,La Playa,europe/spain/canaryislands/lagomera/vallegranrey/la_playa_beach,0.662,0.338,0.745,needs_external_source,,https://en.wikivoyage.org/wiki/Valle_Gran_Rey
europe/armenia/yerevan,Yerevan,Yerevan,53,133,do,Yerevan Circus,0.7,candidate,has coordinates; has description; high-value type,40.17195,44.50923,Yerevan History Museum,europe/armenia/yerevan/yerevan_history_museum,0.667,0.515,0.702,needs_external_source,,https://en.wikivoyage.org/wiki/Yerevan
europe/armenia/vayots_dzor_marz/yeghegnadzor,Yeghegnadzor,Yeghegnadzor,5,23,see,Tsakhats Kar Monastery,0.7,candidate,has coordinates; has description; high-value type,39.895,45.356944,Noravank Monastery,europe/armenia/vayots_dzor_marz/yeghegnadzor/noravank_monastery,0.55,25.837,15.173,needs_external_source,,https://en.wikivoyage.org/wiki/Yeghegnadzor
europe/estonia/tartu,Tartu,Tartu,16,89,see,Tartu Tammik,0.7,candidate,has coordinates; has description; high-value type,58.36,26.7644,Tartu Art Museum,europe/estonia/tartu/tartu_art_museum,0.643,3.293,2.872,needs_external_source,,https://en.wikivoyage.org/wiki/Tartu
