world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,see,Lakeside Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.203998,-79.265591,Montebello Park,northamerica/canada/ontario/stcatharines/montebello_park,0.5,5.071,5.405,has_external_url,https://www.stcatharines.ca/en/facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=lakeside&ScrollMap=true&CloseMap=false&id=745b16a7-ea16-440e-98ce-bbcfc703649e#,https://en.wikivoyage.org/wiki/St._Catharines
europe/switzerland/zug,Zug,Zug,4,18,see,Brickworks museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.1963,8.4257,Katastrophenbucht,europe/switzerland/zug/katastrophenbucht,0.235,7.237,11.049,has_external_url,http://www.ziegelei-museum.ch/,https://en.wikivoyage.org/wiki/Zug
europe/unitedkingdom/scotland/oban,Oban,Oban,6,25,see,Arduaine Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.2348,-5.561,Dunstaffnage Castle,europe/unitedkingdom/scotland/oban/dunstaffnage_castle,0.412,25.748,20.449,has_external_url,https://www.nts.org.uk/visit/places/arduaine-garden,https://en.wikivoyage.org/wiki/Oban
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,see,Big Dam Bridge,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.7939,-92.3581,Clinton Presidential Center,northamerica/unitedstates/arkansas/littlerock/clinton_presidential_center,0.293,10.096,8.179,has_external_url,https://www.littlerock.com/directory/big-dam-bridge/,https://en.wikivoyage.org/wiki/Little_Rock
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,Temple Shomer Emunim,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.68876,-83.69797,Toledo Museum of Art,northamerica/unitedstates/ohio/toledo/toledo_museum_of_art,0.4,12.058,13.887,has_external_url,https://www.templese.com/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
asia/turkey/kayseri,Kayseri,Kayseri,5,10,see,St Gregory the Illuminator Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.7117,35.4841,Hunat Hatun Complex,asia/turkey/kayseri/hunat_hatun_complex,0.25,1.128,1.168,has_external_url,http://www.kayserikilisesi.org,https://en.wikivoyage.org/wiki/Kayseri
europe/germany/badenwrttemberg/schonwald_im_schwarzwald,Schonwald im Schwarzwald,Schönwald im Schwarzwald,3,7,see,Reinertonishof,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.1205,8.1963,Blindensee,europe/germany/badenwrttemberg/schonwald_im_schwarzwald/blindensee,0.417,1.733,1.64,has_external_url,https://www.reinertonishof.de/,https://en.wikivoyage.org/wiki/Sch%C3%B6nwald_im_Schwarzwald
asia/philippines/makati,Makati,Makati,9,59,see,Ninoy Aquino Monument,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.55679,121.02116,Poblacion Bar Scene,asia/philippines/makati/poblacion_bar_scene,0.35,,0.007,has_external_url,https://www.ayalatriangle.com/attractions/ninoy-aquino-monument%20,https://en.wikivoyage.org/wiki/Makati
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Figure Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,1.472472,103.765222,Sultan Abu Bakar Royal Museum,asia/malaysia/johorbahru/sultan_abu_bakar_museum,0.429,2.176,1.587,has_external_url,https://www.facebook.com/muziumtokohjohor,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Jingshan Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.9998772932,120.6197994263,Jiangxin Island,asia/china/zhejiang/wenzhou/jiangxin_island,0.429,6.019,7.427,has_external_url,http://www.wzjsgy.cn/,https://en.wikivoyage.org/wiki/Wenzhou
northamerica/canada/britishcolumbia/vernon,Vernon,Vernon (British Columbia),10,21,see,Historic O'Keefe Ranch,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.3638,-119.2825,Historic Downtown Vernon,northamerica/canada/britishcolumbia/vernon/historic_downtown,0.478,10.722,10.789,has_external_url,https://okeeferanch.ca/,https://en.wikivoyage.org/wiki/Vernon_%28British_Columbia%29
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Happy Hollow Park and Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3257,-121.862,Henry's Hi-Life,northamerica/unitedstates/california/sanjose/henrys_hilife,0.25,3.379,2.783,has_external_url,https://happyhollow.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
asia/turkey/kusadasi,Kuşadası,Kuşadası,9,15,see,Olive Oil Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.7595,27.286,Kale Mosque (Öküz Mehmet Pasha Mosque),asia/turkey/kusadasi/kale_mosque,0.444,11.549,11.418,has_external_url,https://www.oleatrium.com/,https://en.wikivoyage.org/wiki/Ku%C5%9Fadas%C4%B1
northamerica/unitedstates/utah/kanab,Kanab,Kanab,7,30,do,Little Hollywood Movie Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.04767,-112.53445,Kanab Heritage House Museum,northamerica/unitedstates/utah/kanab/kanab_heritage_house,0.5,0.685,0.531,has_external_url,https://www.littlehollywoodmuseum.org/,https://en.wikivoyage.org/wiki/Kanab
europe/netherlands/zandvoort,Zandvoort,Zandvoort,8,15,see,Juttersmu-Zee-um,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.37672,4.52702,Holland Casino Zandvoort,europe/netherlands/zandvoort/holland_casino,0.385,0.615,1.988,has_external_url,https://juttersmuseum.com/home-4,https://en.wikivoyage.org/wiki/Zandvoort
europe/italy/campania/sorrento,Sorrento,Sorrento,8,30,see,puntacampanella,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.56921,14.32468,Via del Capo,europe/italy/campania/sorrento/via_del_capo,0.348,6.906,7.503,has_external_url,http://www.puntacampanella.org,https://en.wikivoyage.org/wiki/Sorrento
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,see,Honanki Heritage Site,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.937918,-111.927211,Airport Mesa,northamerica/unitedstates/arizona/sedona/airport_mesa,0.364,16.234,16.956,has_external_url,http://www.fs.usda.gov/recarea/coconino/recarea/?recid=55318,https://en.wikivoyage.org/wiki/Sedona
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,do,Mundomar Benidorm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.541,-0.0936,Balcón del Mediterráneo,europe/spain/spanishcostas/benidorm/balcon_del_mediterraneo,0.278,3.149,3.087,has_external_url,http://www.mundomar.es/en/,https://en.wikivoyage.org/wiki/Benidorm
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,do,NRH2O Family Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.8509,-97.1931,Fort Worth Water Gardens,northamerica/unitedstates/texas/fort_worth/fort_worth_water_gardens,0.426,16.999,16.978,has_external_url,http://www.nrh2o.com/,https://en.wikivoyage.org/wiki/Fort_Worth
northamerica/unitedstates/oregon/salem,Salem,Salem (Oregon),6,36,do,Salem Riverfront Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.942,-123.043,Wild Pear,northamerica/unitedstates/oregon/salem/wild_pear,0.452,0.548,0.839,has_external_url,https://www.cityofsalem.net/Home/Components/FacilityDirectory/FacilityDirectory/110/599,https://en.wikivoyage.org/wiki/Salem_%28Oregon%29
