world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/latvia/ventspils,Ventspils,Ventspils,12,26,do,Ghetto Games Festival,0.59,candidate,has description; high-value type; has external URL,,,Melnais Sivēns,europe/latvia/ventspils/melnais_sivens,0.4,,,missing_coordinates; has_external_url,https://www.facebook.com/ggfest,https://en.wikivoyage.org/wiki/Ventspils
northamerica/unitedstates/oregon/florence,Florence,Florence (Oregon),9,12,do,Rhododendron Festival,0.59,candidate,has description; high-value type; has external URL,,,Oregon Dunes National Recreation Area,northamerica/unitedstates/oregon/florence/oregon_dunes_nra,0.379,,,missing_coordinates; has_external_url,https://florencechamber.com/rhododendron-festival/,https://en.wikivoyage.org/wiki/Florence_%28Oregon%29
northamerica/unitedstates/wisconsin/spring_green,Spring Green,Spring Green,8,19,see,Spring Green Art Fair,0.59,candidate,has description; high-value type; has external URL,,,State Bank of Spring Green,northamerica/unitedstates/wisconsin/spring_green/state_bank,0.511,,,missing_coordinates; has_external_url,http://www.springgreenartfair.com/,https://en.wikivoyage.org/wiki/Spring_Green
asia/bangladesh/dhaka,Dhaka,Dhaka,20,27,see,Shohagh,0.59,candidate,has description; high-value type; has external URL,,,Shaheed Minar,asia/bangladesh/dhaka/shaheed_minar,0.4,,,missing_coordinates; has_external_url,http://shohagh.biz,https://en.wikivoyage.org/wiki/Dhaka
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,do,Stattreisen e.V.,0.59,candidate,has description; high-value type; has external URL,,,Nature Rambles,europe/germany/northrhinewestphalia/cologne/naturerambles,0.414,,,missing_coordinates; has_external_url,http://www.stattreisen-koeln.de/,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Jims Steakout,northamerica/unitedstates/newyorkstate/buffalo/jims_steakout,0.421,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Buffalo
northamerica/unitedstates/california/orangecounty/san_juan_capistrano,San Juan Capistrano,San Juan Capistrano,3,18,do,Second Saturday Art Fair,0.59,candidate,has description; high-value type; has external URL,,,Mission San Juan Capistrano,northamerica/unitedstates/california/orangecounty/san_juan_capistrano/mission_san_juan_capistrano,0.471,,,missing_coordinates; has_external_url,http://www.sjcartfair.org/,https://en.wikivoyage.org/wiki/San_Juan_Capistrano
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,do,Sándor Petőfi Cultural Center,0.59,candidate,has description; high-value type; has external URL,,,Máriabesnyő Pilgrimage Church,europe/hungary/godollo/mariabesnyő,0.351,,,missing_coordinates; has_external_url,http://www.muvelodesikozpont.hu,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91
asia/indonesia/bali/nusapenida,Nusa Penida,Nusa Penida,5,31,do,Freedive Nusa,0.59,candidate,has description; high-value type; has external URL,,,Broken Beach,asia/indonesia/bali/nusapenida/broken_beach,0.32,,,missing_coordinates; has_external_url,http://www.freedivenusa.com,https://en.wikivoyage.org/wiki/Nusa_Penida
northamerica/unitedstates/florida/gainesville,Gainesville,Gainesville (Florida),8,43,do,Ocala Jai-alai and Poker,0.59,candidate,has description; high-value type; has external URL,,,Florida Museum of Natural History,northamerica/unitedstates/florida/gainesville/florida_museum_of_natural_history,0.316,,,missing_coordinates; has_external_url,http://www.ocalapoker.com/index.php,https://en.wikivoyage.org/wiki/Gainesville_%28Florida%29
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,do,Craft Axe Throwing,0.59,candidate,has description; high-value type; has external URL,,,Boys Town,northamerica/unitedstates/nebraska/omaha/boys_town,0.37,,,missing_coordinates; has_external_url,https://craftaxethrowing.com/us/ne/omaha,https://en.wikivoyage.org/wiki/Omaha
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,see,J&L Shuttle,0.59,candidate,has description; high-value type; has external URL,,,Arlo's,northamerica/canada/alberta/calgary/arlos,0.381,,,missing_coordinates; has_external_url,https://www.jandlshuttle.com/,https://en.wikivoyage.org/wiki/Calgary
europe/austria/vienna,Vienna,Vienna,67,134,see,Ecolines,0.59,candidate,has description; high-value type; has external URL,,,Plague Column,europe/austria/vienna/plague_column,0.476,,,missing_coordinates; has_external_url,http://www.ecolines.net/,https://en.wikivoyage.org/wiki/Vienna
africa/mozambique/vilanculos,Vilanculos,Vilanculos,5,11,do,African Impact Community Project,0.59,candidate,has description; high-value type; has external URL,,,Pamudzi's Restaurant,africa/mozambique/vilanculos/pamudzis_restaurant,0.346,,,missing_coordinates; has_external_url,http://www.facebook.com/pages/African-Impact-Mozambique/229660393716953,https://en.wikivoyage.org/wiki/Vilanculos
northamerica/thecaribbean/puertorico/bayamon,Bayamón,Bayamón,11,40,see,Bayamón City Hall,0.59,candidate,has description; high-value type; has external URL,,,Bayamón Museum of Art,northamerica/thecaribbean/puertorico/bayamon/bayamon_museum_of_art,0.526,,,missing_coordinates; has_external_url,https://www.municipiodebayamon.com/,https://en.wikivoyage.org/wiki/Bayam%C3%B3n
northamerica/unitedstates/california/sanfrancisco,San Francisco,San Francisco,93,62,see,Kazakhstan,0.59,candidate,has description; high-value type; has external URL,,,Maharani,northamerica/unitedstates/california/sanfrancisco/maharani,0.444,,,missing_coordinates; has_external_url,https://kazakhembus.com/about-the-embassy/consulates-general/consulate-general-in-san-francisco,https://en.wikivoyage.org/wiki/San_Francisco
europe/georgia/tbilisi,Tbilisi,Tbilisi,60,147,do,Paragliding around Tbilisi,0.59,candidate,has description; high-value type; has external URL,,,Great Synagogue of Tbilisi,europe/georgia/tbilisi/great_synagogue,0.5,,,missing_coordinates; has_external_url,https://flyzone.ge/,https://en.wikivoyage.org/wiki/Tbilisi
