world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/sopron,Sopron,Sopron,9,234,see,Old Synagogue,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68501,16.59048,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.645,0.355,0.788,has_external_url,http://portal.sopron.hu/Sopron/portal/english_show?contentId=2137,https://en.wikivoyage.org/wiki/Sopron
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,do,Terra Natura,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5694,-0.1424,Terra Mitica,europe/spain/spanishcostas/benidorm/terra_mitica,0.667,1.745,3.402,has_external_url,http://benidorm.terranatura.com/en/index.html,https://en.wikivoyage.org/wiki/Benidorm
asia/china/hebei/baoding,Baoding,Baoding,5,23,see,Baoding Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.852658,115.482208,Baoding Balls,asia/china/hebei/baoding/baoding_balls,0.667,0.352,0.352,has_external_url,http://www.bdzoo.cn,https://en.wikivoyage.org/wiki/Baoding
europe/italy/campania/salerno,Salerno,Salerno,10,11,see,Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.6833,14.7667,Salerno Cathedral,europe/italy/campania/salerno/salerno_cathedral,0.692,0.653,0.155,has_external_url,http://www.cattedraledisalerno.it/,https://en.wikivoyage.org/wiki/Salerno
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,see,Clark Reservation State Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.992954,-76.094734,Green Lakes State Park,northamerica/unitedstates/newyorkstate/syracuse/green_lakes,0.6,11.752,7.482,has_external_url,https://parks.ny.gov/parks/126/details.aspx,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
northamerica/unitedstates/florida/indialantic,Indialantic,Indialantic,2,14,do,Indialantic Boardwalk and Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.0918,-80.5658,Indialantic Beach,northamerica/unitedstates/florida/indialantic/indialantic_beach,0.596,0.555,0.225,has_external_url,https://www.visitspacecoast.com/indialantic/things-to-do/indialantic-boardwalk-and-park,https://en.wikivoyage.org/wiki/Indialantic
asia/israel/haifa,Haifa,Haifa,31,47,see,National Museum of Science - MadaTech,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.810144,34.996272,Wadi Salib,asia/israel/haifa/wadi_salib,0.636,0.364,1.018,has_external_url,http://www.madatech.org.il,https://en.wikivoyage.org/wiki/Haifa
asia/japan/honshu/niigata,Niigata,Niigata,7,24,see,Northern Culture Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.829617,139.152147,Niigata Rice Cracker Museum (Senbei Okoku),asia/japan/honshu/niigata/niigata_rice_cracker_museum,0.56,13.888,13.928,has_external_url,http://hoppou-bunka.com/,https://en.wikivoyage.org/wiki/Niigata
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,see,Henan Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.788889,113.666111,Henan Provincial Museum,asia/china/henan_province/zhengzhou/henan_museum,0.686,2.899,6.298,has_external_url,http://english.chnmus.net/,https://en.wikivoyage.org/wiki/Zhengzhou
southamerica/colombia/pereira,Pereira,Pereira,15,19,do,Parque Consotá,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,4.7964,-75.8073,Parque Nacional Los Nevados,southamerica/colombia/pereira/parque_los_nevados,0.611,52.304,12.464,has_external_url,https://www.facebook.com/parqueconsota/,https://en.wikivoyage.org/wiki/Pereira
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,do,The Giant Screen,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.48325,-1.88564,Curzon Street Station,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/curzon_street_station,0.675,0.325,1.221,has_external_url,http://www.giantscreencinema.co.uk/,https://en.wikivoyage.org/wiki/Birmingham
asia/china/shanxiprovince/datong,Datong,Datong,5,31,see,Memorial Hall of the Former Residence of Zhang Aitang,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.08626,113.297614,Shanhua Temple,asia/china/shanxiprovince/datong/shanhua_temple,0.64,0.36,0.703,has_external_url,https://www.datongmuseum.com/#/home/Exhibition/museum/15,https://en.wikivoyage.org/wiki/Datong
