world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/crete/agios_nikolaos,Agios Nikolaos,Agios Nikolaos,7,10,see,Barbarossa's Cave,0.59,candidate,has description; high-value type; strong travel term,,,Almyros Beach,europe/greece/crete/agios_nikolaos/almyros_beach,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Agios_Nikolaos
europe/portugal/coimbra,Coimbra,Coimbra,9,40,see,New Cathedral of Coimbra de Coimbra,0.59,candidate,has description; high-value type; strong travel term,,,Coimbra Fado,europe/portugal/coimbra/coimbra_fado,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Coimbra
europe/slovakia/nitra,Nitra,Nitra,6,21,see,Svorad's cave,0.59,candidate,has description; high-value type; strong travel term,,,Nitra Castle,europe/slovakia/nitra/nitra_castle,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nitra
europe/albania/gjirokaster,Gjirokaster,Gjirokastër,9,28,see,Korce,0.59,candidate,has description; high-value type; strong travel term,,,Old Bazaar,europe/albania/gjirokaster/old_bazaar,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gjirokast%C3%ABr
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Sierra de Juarez,0.59,candidate,has description; high-value type; strong travel term,,,Museo Universitario,northamerica/mexico/mexicali/museo_universitario,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexicali
europe/montenegro/budva,Budva,Budva,17,36,see,Dancing Girl Statue,0.59,candidate,has description; high-value type; strong travel term,,,Galija Restaurant,europe/montenegro/budva/restaurant_stari_grad_2,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Budva
europe/italy/basilicata/matera,Matera,Matera,10,14,do,Park of the Rupestrian Churches of Matera,0.59,candidate,has description; high-value type; strong travel term,,,MUSMA — Museum of Contemporary Sculpture Matera,europe/italy/basilicata/matera/musma,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Matera
asia/pakistan/islamabad,Islamabad,Islamabad,51,67,see,Chattar bag,0.59,candidate,has description; high-value type; strong travel term,,,Chaaye Khana,asia/pakistan/islamabad/chaaye_khana,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Islamabad
europe/italy/umbria/orvieto,Orvieto,Orvieto,11,21,see,San Francesco Church,0.59,candidate,has description; high-value type; strong travel term,,,Sant'Andrea,europe/italy/umbria/orvieto/sant_andrea,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Orvieto
europe/romania/deva,Deva,Deva,8,33,see,Statues and monuments of the city,0.59,candidate,has description; high-value type; strong travel term,,,Museum of Dacian and Roman Civilisation,europe/romania/deva/museum_dacian_roman,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deva
northamerica/mexico/playadelcarmen,Playa del Carmen,Playa del Carmen,9,56,do,Sian Ka'an Biosphere Reserve,0.59,candidate,has coordinates; high-value type; strong travel term,20.0560239,-87.5445171,Playa del Carmen Beach,northamerica/mexico/playadelcarmen/playa_del_carmen_beach,0.326,80.194,81.513,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Playa_del_Carmen
europe/germany/bavaria/oberammergau,Oberammergau,Oberammergau,12,6,see,Kreuzigungsgruppe,0.59,candidate,has description; high-value type; strong travel term,,,Zur Rose,europe/germany/bavaria/oberammergau/zur_rose,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oberammergau
northamerica/unitedstates/texas/kerrville,Kerrville,Kerrville,10,42,see,Louise Hays Park,0.59,candidate,has description; high-value type; strong travel term,,,Kerrville-Schreiner Park,northamerica/unitedstates/texas/kerrville/kerrville_schreiner_park,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kerrville
europe/belgium/aalst,Aalst,Aalst,11,33,do,Winter Fair,0.59,candidate,has description; high-value type; strong travel term,,,Grote Markt,europe/belgium/aalst/grote_markt,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aalst
asia/china/hunan/changde,Changde,Changde,4,17,do,Bin Lake Park,0.59,candidate,has description; high-value type; strong travel term,,,Liuye Lake,asia/china/hunan/changde/liuye_lake,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Changde
northamerica/unitedstates/virginia/alexandria,Alexandria,Alexandria (Virginia),7,64,do,Annual Alexandria Holiday Boat Parade of Lights,0.59,candidate,has description; high-value type; strong travel term,,,Alexandria Black History Museum,northamerica/unitedstates/virginia/alexandria/alexandria_black_history_museum,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Alexandria_%28Virginia%29
asia/india/rajasthan/mount_abu,Mount Abu,Mount Abu,11,15,see,Brahma Kumari's Meditation Centre,0.59,candidate,has description; high-value type; strong travel term,,,Brahma Kumaris World Headquarters,asia/india/rajasthan/mount_abu/brahma_kumaris,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Abu
asia/thailand/kohphangan,Koh Phangan,Ko Pha-ngan,8,10,do,Full Moon Party,0.59,candidate,has description; high-value type; strong travel term,,,Than Sadet Waterfall & National Park,asia/thailand/kohphangan/than_sadet_waterfall,0.377,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Pha-ngan
