world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/florida/kissimmee,Kissimmee,Kissimmee,4,18,do,Art In Motion LLC Custom Motorcycles,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.29568,-81.40464,Monument of States,northamerica/unitedstates/florida/kissimmee/monument_of_states,0.557,0.443,0.51,has_external_url,https://artinmotionllc.net/,https://en.wikivoyage.org/wiki/Kissimmee
northamerica/unitedstates/colorado/denver,Denver,Denver,71,146,do,Oriental Theater,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.7769,-105.0437,Ogden Theatre,northamerica/unitedstates/colorado/denver/ogden_theatre,0.69,7.403,6.545,has_external_url,http://www.theorientaltheater.com,https://en.wikivoyage.org/wiki/Denver
asia/cambodia/siemreap,Siem Reap,Siem Reap,56,78,do,Wake Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.3513,103.826,Neak Pean,asia/cambodia/siemreap/neak_pean,0.556,14.504,3.758,has_external_url,https://wakeparkcambodia.com/,https://en.wikivoyage.org/wiki/Siem_Reap
asia/china/shandong_province/dongying,Dongying,Dongying,5,7,see,Yellow River Delta Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.419347,118.594754,Yellow River Delta Nature Reserve,asia/china/shandong_province/dongying/yellow_river_delta_nature_reserve,0.691,63.486,11.835,has_external_url,http://www.dyzoo.com.cn/,https://en.wikivoyage.org/wiki/Dongying
northamerica/unitedstates/massachusetts/plymouth,Plymouth,Plymouth (Massachusetts),6,68,see,Plimoth Grist Mill Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.95384,-70.66555,Plymouth Waterfront,northamerica/unitedstates/massachusetts/plymouth/plymouth_waterfront,0.556,0.444,0.527,has_external_url,http://www.plimoth.org/what-see-do/plimoth-grist-mill,https://en.wikivoyage.org/wiki/Plymouth_%28Massachusetts%29
northamerica/unitedstates/utah/st_george,St. George,St. George (Utah),5,47,see,St. George Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.1118,-113.5821,St. George Utah Temple,northamerica/unitedstates/utah/st_george/st_george_temple,0.634,0.366,0.235,has_external_url,http://sgcity.org/artmuseum/,https://en.wikivoyage.org/wiki/St._George_%28Utah%29
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,see,National Botanical Research Institute,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.855578,80.952414,State Museum,asia/india/uttarpradesh/lucknow/state_museum,0.696,0.304,2.627,has_external_url,http://www.nbri.res.in/,https://en.wikivoyage.org/wiki/Lucknow
northamerica/unitedstates/kansas/topeka,Topeka,Topeka,14,36,see,Topeka Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.05578,-95.72685,Topeka High School,northamerica/unitedstates/kansas/topeka/topeka_high_school,0.643,3.647,4.323,has_external_url,http://topekazoo.org/,https://en.wikivoyage.org/wiki/Topeka
europe/spain/canaryislands/tenerife/puertodelacruz,Puerto de la Cruz,Puerto de la Cruz,8,31,see,Jardín de Orquideas Sitio Litre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.41365,-16.54458,Plaza del Charco,europe/spain/canaryislands/tenerife/puertodelacruz/plaza_del_charco,0.567,0.433,0.889,has_external_url,http://www.jardindeorquideas.com/,https://en.wikivoyage.org/wiki/Puerto_de_la_Cruz
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,see,Water Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.988741,5.901369,Dutch Open Air Museum,europe/netherlands/arnhem/dutch_open_air_museum,0.606,1.835,0.444,has_external_url,http://www.watermuseum.nl/index.php,https://en.wikivoyage.org/wiki/Arnhem
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby,Derby,Derby,16,69,see,Pickford's House,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.924237,-1.485929,Whitehurst & Son Sundial,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby/whitehurst_sundial,0.557,0.443,0.637,has_external_url,http://www.derbymuseums.org/pickfords-house/,https://en.wikivoyage.org/wiki/Derby
northamerica/canada/ontario/burlington,Burlington,Burlington (Ontario),16,45,see,LaSalle Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.302807,-79.846506,LaSalle Park & Marina,northamerica/canada/ontario/burlington/lasalle_marina,0.686,0.745,4.719,has_external_url,https://www.burlington.ca/en/modules/facilities/Detail.aspx?CategoryIds=2&FacilityTypeIds=&Keywords=&ScrollMap=true&id=e592e334-83d8-40e8-881a-b7929ddae9d2,https://en.wikivoyage.org/wiki/Burlington_%28Ontario%29
europe/finland/vaasa,Vaasa,Vaasa,12,80,see,Vaasa Maritime museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,63.1069,21.5852,Vaasa Market Hall,europe/finland/vaasa/vaasa_market_hall,0.579,2.122,1.973,has_external_url,http://www.museiportalosterbotten.fi/museum-a-o-en/museum/86-maritime-museum-of-vaasa,https://en.wikivoyage.org/wiki/Vaasa
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,do,Hainan Center for the Performing Arts,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.01708385059865,110.37076671798779,Hainan Duty-Free Shopping,asia/china/hainanisland/haikou/duty_free_shopping,0.552,22.655,18.579,has_external_url,http://www.hndjy.org/,https://en.wikivoyage.org/wiki/Haikou
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/keighley,Keighley,Keighley,4,7,see,Keighley Bus Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.8676,-1.8945,Keighley and Worth Valley Railway,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/keighley/kwvr,0.566,0.434,0.503,has_external_url,http://www.kbmt.org.uk/,https://en.wikivoyage.org/wiki/Keighley
europe/poland/zabrze,Zabrze,Zabrze,3,19,see,Guido Mine,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2895,18.7916,Guido Mine and Coal Mining Museum,europe/poland/zabrze/guido_mine,0.68,0.32,2.158,has_external_url,https://www.kopalniaguido.pl,https://en.wikivoyage.org/wiki/Zabrze
asia/indonesia/java/borobudur,Borobudur,Borobudur,5,10,see,Samudraraksa Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.604765,110.203367,Borobudur Temple,asia/indonesia/java/borobudur/borobudur_temple,0.634,0.366,0.363,has_external_url,http://www.borobudurpark.co.id/en/borobudur-temple-menu/the-cinnamon-route.html,https://en.wikivoyage.org/wiki/Borobudur
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,see,Museu d'Història de València,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.47271,-0.40824,Museu de Belles Arts de València,europe/spain/spanishcostas/valencia/museu_belles_arts,0.706,3.272,2.762,has_external_url,https://mhv.valencia.es/,https://en.wikivoyage.org/wiki/Valencia
