world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/uttarpradesh/jhansi,Jhansi,Jhansi,9,8,see,Chirgaon,0.85,candidate,has coordinates; has description; high-value type,25.56927,78.80995,Rani Mahal (State Museum),asia/india/uttarpradesh/jhansi/rani_mahal,0.333,26.316,16.362,needs_external_source,,https://en.wikivoyage.org/wiki/Jhansi
northamerica/unitedstates/massachusetts/beverly,Beverly,Beverly (Massachusetts),7,16,see,Cummings Center,0.85,candidate,has coordinates; has description; high-value type,42.55652235420771,-70.88676341488932,John Balch House,northamerica/unitedstates/massachusetts/beverly/john_balch_house,0.337,0.663,1.094,needs_external_source,,https://en.wikivoyage.org/wiki/Beverly_%28Massachusetts%29
europe/slovakia/kosice,Košice,Košice,7,153,see,Poliklinika Terasa,0.85,candidate,has coordinates; has description; high-value type,48.71361,21.23111,St. Urban Tower,europe/slovakia/kosice/urban_tower,0.312,2.127,2.083,needs_external_source,,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Scala Prinos,0.85,candidate,has coordinates; has description; high-value type,40.75886,24.57684,Local Honey and Wine,europe/greece/thassos_island/thassos_honey_wine,0.375,13.029,10.38,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
europe/lithuania/vilnius,Vilnius,Vilnius,53,134,see,New City Centre,0.85,candidate,has coordinates; has description; high-value type,54.696,25.28,Contemporary Art Centre (CAC),europe/lithuania/vilnius/contemporary_art_centre,0.526,1.669,0.979,needs_external_source,,https://en.wikivoyage.org/wiki/Vilnius
southamerica/bolivia/tupiza,Tupiza,Tupiza,10,17,see,El Angosto,0.85,candidate,has coordinates; has description; high-value type,-21.50878,-65.70193,San Vicente,southamerica/bolivia/tupiza/san_vicente,0.333,84.955,7.489,needs_external_source,,https://en.wikivoyage.org/wiki/Tupiza
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Kamoi Sugiyama Shrine,0.85,candidate,has coordinates; has description; high-value type,35.507984,139.566578,Yamashita Park and the Waterfront,asia/japan/honshu/yokohama/yamashita_park,0.36,,8.88,needs_external_source,,https://en.wikivoyage.org/wiki/Yokohama
asia/india/madhyapradesh/indore,Indore,Indore,7,60,see,Geeta Bhawan,0.85,candidate,has coordinates; has description; high-value type,22.71871,75.88827,Sarafa Bazaar,asia/india/madhyapradesh/indore/sarafa_bazaar,0.4,3.312,2.067,needs_external_source,,https://en.wikivoyage.org/wiki/Indore
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,do,Yuxin Bookstore,0.85,candidate,has coordinates; has description; high-value type,27.8003,113.1169,Zhuzhou Television Tower,asia/china/hunan/zhuzhou/zhuzhou_television_tower,0.359,2.369,5.374,needs_external_source,,https://en.wikivoyage.org/wiki/Zhuzhou
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Kanagawa Budokan,0.85,candidate,has coordinates; has description; high-value type,35.4956,139.6175,Sankeien Garden,asia/japan/honshu/yokohama/sankeien_garden,0.387,,5.264,needs_external_source,,https://en.wikivoyage.org/wiki/Yokohama
australiaandpacific/australia/australiancapitalterritory/canberra,Canberra,Canberra,42,34,see,Red Hill,0.85,candidate,has coordinates; has description; high-value type,-35.3282,149.1167,Reconciliation Place,australiaandpacific/australia/australiancapitalterritory/canberra/king_edward_terrace,0.357,3.409,3.68,needs_external_source,,https://en.wikivoyage.org/wiki/Canberra
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,see,Samneunggol,0.85,candidate,has coordinates; has description; high-value type,35.7953,129.2203,Hwangnidan-gil,asia/southkorea/gyeongju/hwangnidan_gil,0.4,4.789,6.783,needs_external_source,,https://en.wikivoyage.org/wiki/Gyeongju
asia/india/himachalpradesh/manali,Manali,Manali,10,47,see,Jana Falls,0.85,candidate,has coordinates; has description; high-value type,32.05471,77.17258,Solang Valley,asia/india/himachalpradesh/manali/solang_valley,0.522,28.57,21.26,needs_external_source,,https://en.wikivoyage.org/wiki/Manali
southamerica/brazil/curitiba,Curitiba,Curitiba,10,62,see,24 Horas Street,0.85,candidate,has coordinates; has description; high-value type,-25.43516,-49.27686,Ópera de Arame,southamerica/brazil/curitiba/opera_de_arame,0.4,5.215,0.833,needs_external_source,,https://en.wikivoyage.org/wiki/Curitiba
southamerica/venezuela/cumana,Cumaná,Cumaná,9,18,see,Monumento De Los 500 Años,0.85,candidate,has coordinates; has description; high-value type,10.47964,-64.17553,Iglesia de Santa Inés,southamerica/venezuela/cumana/iglesia_santa_ines,0.353,1.73,3.862,needs_external_source,,https://en.wikivoyage.org/wiki/Cuman%C3%A1
asia/vietnam/hue,Hue,Hue,18,43,see,Tomb of Thieu Tri,0.85,candidate,has coordinates; has description; high-value type,16.4166,107.5718,Sunset Boat Tour,asia/vietnam/hue/aroundhue/tamgianglagoon/sunset_boat_tour,0.424,17.016,5.482,needs_external_source,,https://en.wikivoyage.org/wiki/Hue
asia/india/jammuandkashmir/ladakh/leh,Leh,Leh,11,31,see,Magnetic Hill,0.85,candidate,has coordinates; has description; high-value type,34.1709853,77.3524824,Manali - Leh,asia/india/jammuandkashmir/ladakh/leh/manali__leh,0.435,209.65,21.387,needs_external_source,,https://en.wikivoyage.org/wiki/Leh
europe/finland/jyvaskyla,Jyväskylä,Jyväskylä,10,66,do,Hiihtomaa,0.85,candidate,has coordinates; has description; high-value type,62.253561,25.816013,Harju Park,europe/finland/jyvaskyla/harju_park,0.316,4.131,3.796,needs_external_source,,https://en.wikivoyage.org/wiki/Jyv%C3%A4skyl%C3%A4
asia/philippines/vigan,Vigan,Vigan,7,42,see,Quema House,0.85,candidate,has coordinates; has description; high-value type,17.570187,120.389622,Syquia Mansion,asia/philippines/vigan/syquia_mansion,0.4,,0.64,needs_external_source,,https://en.wikivoyage.org/wiki/Vigan
europe/unitedkingdom/england/birmingham_and_west_midlands/west_bromwich,West Bromwich,West Bromwich,6,22,see,Farley Clock Tower,0.85,candidate,has coordinates; has description; high-value type,52.524492,-2.004835,Sandwell Valley Country Park,europe/unitedkingdom/england/birmingham_and_west_midlands/west_bromwich/sandwell_valley,0.391,2.198,1.065,needs_external_source,,https://en.wikivoyage.org/wiki/West_Bromwich
europe/russia/samara,Samara,Samara,7,48,see,Dacha Golovkin,0.85,candidate,has coordinates; has description; high-value type,53.247239,50.173539,Stalin's Bunker,europe/russia/samara/stalins_bunker,0.276,7.537,7.48,needs_external_source,,https://en.wikivoyage.org/wiki/Samara
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Scala Maries,0.85,candidate,has coordinates; has description; high-value type,40.6424,24.5173,Alyki Ancient Marble Quarries,europe/greece/thassos_island/alyki_quarries,0.488,20.119,12.224,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Klinger Lake,0.85,candidate,has coordinates; has description; high-value type,51.7919,14.5397,Branitz Palace,europe/germany/brandenburg/cottbus/branitz_palace,0.385,12.986,14.568,needs_external_source,,https://en.wikivoyage.org/wiki/Cottbus
asia/indonesia/maluku/ambon,Ambon,Ambon,5,38,do,Hatuasa Hot Spring,0.85,candidate,has coordinates; has description; high-value type,-3.593063,128.308688,Laha Muck Diving,asia/indonesia/maluku/ambon/laha_muck_diving,0.412,22.401,18.403,needs_external_source,,https://en.wikivoyage.org/wiki/Ambon
europe/netherlands/deefteling,De Efteling,Efteling,0,7,do,Villa Volta,0.85,candidate,has coordinates; has description; high-value type,51.653189,5.047408,,,0.0,,0.591,needs_external_source,,https://en.wikivoyage.org/wiki/Efteling
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,do,Beautiful Benzerade,0.85,candidate,has coordinates; has description; high-value type,50.865726,5.976977,Schelmentoren,europe/netherlands/heerlen/schelmentoren,0.375,2.493,1.35,needs_external_source,,https://en.wikivoyage.org/wiki/Heerlen
asia/india/andhrapradesh/ananthapur,Anantapur,Anantapur,3,19,see,Arts college,0.85,candidate,has coordinates; has description; high-value type,14.683363,77.595921,Puttaparthi Ashram (Prashanti Nilayam),asia/india/andhrapradesh/ananthapur/puttaparthi,0.267,62.016,0.529,needs_external_source,,https://en.wikivoyage.org/wiki/Anantapur
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Grenoside to Whitley walk,0.85,candidate,has coordinates; has description; high-value type,53.44391,-1.50365,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.154,10.212,7.37,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,see,Drassanes del Grau,0.85,candidate,has coordinates; has description; high-value type,39.46132,-0.33357,Casa La Estrecha,europe/spain/spanishcostas/valencia/la_estrecha_house,0.519,3.96,3.785,needs_external_source,,https://en.wikivoyage.org/wiki/Valencia
europe/bosniaandherzegovina/jajce,Jajce,Jajce,0,7,see,Franciscan monastery,0.85,candidate,has coordinates; has description; high-value type,44.3412,17.2738,,,0.0,,0.296,needs_external_source,,https://en.wikivoyage.org/wiki/Jajce
