world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,see,Bell Island Community Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6463268,-52.9496727,Quidi Vidi Lake and Village,northamerica/canada/newfoundland/stjohns/quidi_vidi_lake,0.291,20.64,20.122,has_external_url,http://bellislandminetour.weebly.com,https://en.wikivoyage.org/wiki/St._John%27s
europe/andorra/andorralavella,Andorra la Vella,Andorra la Vella,4,44,see,The Carmen Thyssen Andorra Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.508499,1.537526,Molí dels Fanals,europe/andorra/moli_dels_fanals,0.364,3.344,1.312,has_external_url,https://museucarmenthyssenandorra.ad,https://en.wikivoyage.org/wiki/Andorra_la_Vella
northamerica/unitedstates/northcarolina/raleigh,Raleigh,Raleigh,14,77,see,Joel Lane Museum House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.77904,-78.65079,Marbles Kids Museum,northamerica/unitedstates/northcarolina/raleigh/marbles_kids_museum,0.439,1.408,1.065,has_external_url,http://www.joellane.org,https://en.wikivoyage.org/wiki/Raleigh
asia/turkey/izmir,Izmir,Izmir,58,34,see,Izmir Bird Paradise,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5332,26.8981,İzmir Archaeological Museum,asia/turkey/izmir/izmirmuseum,0.511,24.018,23.721,has_external_url,https://izmirkuscenneti.gov.tr/,https://en.wikivoyage.org/wiki/Izmir
northamerica/unitedstates/ohio/sandusky,Sandusky,Sandusky,15,38,see,Cooke-Dorn House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.443889,-82.705,Erie County Courthouse,northamerica/unitedstates/ohio/sandusky/erie_county_courthouse,0.526,1.234,0.607,has_external_url,https://www.ohiohistory.org/visit/museum-and-site-locator/cooke-dorn-house,https://en.wikivoyage.org/wiki/Sandusky
europe/switzerland/montreux,Montreux,Montreux,5,27,see,Swiss Museum of Games,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.452683,6.854719,Freddie Mercury Statue,europe/switzerland/montreux/freddie_mercury_statue,0.326,5.07,5.07,has_external_url,https://museedujeu.ch/en/,https://en.wikivoyage.org/wiki/Montreux
asia/srilanka/unawatuna,Unawatuna,Unawatuna,8,14,see,Turtle Hatchery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,5.9928,80.312,Jungle Beach,asia/srilanka/unawatuna/jungle_beach,0.519,6.46,7.756,has_external_url,http://www.seaturtlefarm.org,https://en.wikivoyage.org/wiki/Unawatuna
northamerica/unitedstates/california/santaclarita,Santa Clarita,Santa Clarita,11,10,do,The Gentle Barn,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.46384,-118.411801,Beale's Cut,northamerica/unitedstates/california/santaclarita/beales_cut,0.364,14.143,14.201,has_external_url,https://www.gentlebarn.org/,https://en.wikivoyage.org/wiki/Santa_Clarita
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,“Dimitrie Leonida” Technology Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.41769,26.09617,Village Museum,europe/romania/bucharest/village_museum,0.458,6.387,2.112,has_external_url,http://www.mnt-leonida.ro/_start0.html,https://en.wikivoyage.org/wiki/Bucharest
europe/belarus/minsk,Minsk,Minsk,27,78,see,Ozertso - Open Air Museum of Rural Architecture and Life,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.8345,27.3742,Museum of Stones,europe/belarus/minsk/museum_of_stones,0.371,19.591,14.438,has_external_url,http://www.etna.by/,https://en.wikivoyage.org/wiki/Minsk
