world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/florianopolis,Florianópolis,Florianopolis,7,57,see,Praia Brava,0.52,candidate,has coordinates; high-value type,-27.399,-48.413,Praia da Joaquina,southamerica/brazil/florianopolis/praia_da_joaquina,0.571,27.131,25.841,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Florianopolis
northamerica/mexico/monterrey,Monterrey,Monterrey,13,31,do,Bioparque Estrella,0.52,candidate,has coordinates; high-value type,25.1232841,-99.916757,Chipinque Mesa,northamerica/mexico/monterrey/chipinque_mesa,0.562,70.365,73.739,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Monterrey
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,Skydive Santa Barbara,0.52,candidate,has coordinates; high-value type,34.6667,-120.4586,Old Mission Santa Barbara,northamerica/unitedstates/california/santa_barbara/old_mission,0.696,72.804,74.383,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Santa_Barbara
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Phu Rin Waterfall,0.52,candidate,has coordinates; has description; high-value type; strong travel term,8.983439,99.656972,Tapee River Waterfront,asia/thailand/surat_thani/tapee_river_waterfront,0.564,,105.519,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Surat_Thani
europe/georgia/kakheti,Kakheti,Kakheti,13,28,see,Ninotsminda Monastery,0.52,candidate,has coordinates; high-value type,41.736751,45.297811,Bodbe Monastery,europe/georgia/kakheti/bodbe_monastery,0.667,54.321,31.063,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kakheti
asia/india/jammuandkashmir/jammu,Jammu,Jammu,7,14,see,Martand Sun Temple,0.52,candidate,has coordinates; has description; high-value type; strong travel term,33.7454,75.21999,Raghunath Temple,asia/india/jammuandkashmir/jammu/raghunath_temple,0.647,117.663,119.037,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Jammu
europe/ireland/bantry,Bantry,Bantry,15,15,see,Sheep's Head lighthouse,0.52,candidate,has coordinates; high-value type,51.5429,-9.8484,Sheep's Head Way,europe/ireland/bantry/sheeps_head_way,0.667,4.406,31.297,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Bantry
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Puente de Piedra,0.52,candidate,has coordinates; high-value type,41.4995,-5.7482,Puente Romano (Medieval Bridge),europe/spain/centralspain/zamora/puente_romano,0.692,26.538,26.26,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29
northamerica/unitedstates/california/centralvalley/visalia,Visalia,Visalia,5,16,see,Kaweah Lake,0.52,candidate,has coordinates; high-value type,36.403784,-118.976248,Kaweah Oaks Preserve,northamerica/unitedstates/california/centralvalley/visalia/kaweah_oaks_preserve,0.645,20.012,29.441,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Visalia
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,do,Laguna de Chapala,0.52,candidate,has coordinates; high-value type,20.2811878,-103.1935038,Plaza Tapatía,northamerica/mexico/guadalajara/plaza_tapatia,0.56,46.293,45.121,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Guadalajara
europe/russia/vladivostok,Vladivostok,Vladivostok,14,56,see,C-56 Submarine,0.52,candidate,has coordinates; has description; high-value type; strong travel term,70.78,28.450833,Soviet Submarine S-56,europe/russia/vladivostok/s56_submarine,0.571,5991.072,5990.719,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Vladivostok
asia/china/shandong_province/dezhou,Dezhou,Dezhou,3,33,do,Qing hao island jin mountain temple,0.52,candidate,has coordinates; has description; high-value type; strong travel term,37.811995,117.381395,Haidao Jinshan Temple,asia/china/shandong_province/dezhou/haidao_jinshan_temple,0.607,49.817,102.532,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Dezhou
asia/iran/kerman,Kerman,Kerman,13,15,see,Rayen Castle,0.52,candidate,has coordinates; has description; high-value type; strong travel term,29.593268,57.438261,Ardeshir Castle,asia/iran/kerman/ardeshir_castle,0.667,83.894,84.063,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Kerman
asia/indonesia/rajaampat,Raja Ampat,Raja Ampat,5,15,do,Cap Kri,0.52,candidate,has coordinates; high-value type,-0.56,130.68915,Cape Kri Dive Site,asia/indonesia/rajaampat/cape_kri,0.56,12.41,41.543,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Raja_Ampat
asia/vietnam/haiphong,Haiphong,Haiphong,15,19,see,Con Son Pagoda,0.52,candidate,has coordinates; high-value type,21.151567,106.380167,Du Hang Pagoda,asia/vietnam/haiphong/du_hang_pagoda,0.64,46.06,44.751,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Haiphong
asia/kazakhstan/astana,Astana,Astana,26,82,see,Burabay National Park,0.52,candidate,has coordinates; has description; high-value type; strong travel term,53.0883,70.2967,Astana Central Park,asia/kazakhstan/astana/central_park,0.6,227.084,231.296,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Astana
australiaandpacific/australia/westernaustralia/kalbarri,Kalbarri,Kalbarri,5,13,see,Z-Bend,0.52,candidate,has coordinates; high-value type,-27.649,114.455,Z Bend Gorge,australiaandpacific/australia/westernaustralia/kalbarri/z_bend_gorge,0.667,1.158,29.49,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kalbarri
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,see,Ireland,0.51,candidate,high-value type; has external URL,,,Buckhead,northamerica/unitedstates/georgia/atlanta/buckhead,0.4,,,missing_coordinates; has_external_url,https://www.dfa.ie/irish-consulate/atlanta/,https://en.wikivoyage.org/wiki/Atlanta
asia/iran/tehran,Tehran,Tehran,44,119,see,Qatar,0.51,candidate,high-value type; has external URL,,,Tajrish,asia/iran/tehran/tajrish,0.5,,,missing_coordinates; has_external_url,https://www.norway.no/en/iran,https://en.wikivoyage.org/wiki/Tehran
northamerica/canada/britishcolumbia/princegeorge,Prince George,Prince George,5,41,see,Uride,0.51,candidate,high-value type; has external URL,,,Two Rivers Gallery,northamerica/canada/britishcolumbia/princegeorge/two_rivers_gallery,0.261,,,missing_coordinates; has_external_url,https://www.uridetech.com/,https://en.wikivoyage.org/wiki/Prince_George
northamerica/unitedstates/florida/miami,Miami,Miami,57,70,see,Jamaica,0.51,candidate,high-value type; has external URL,,,Zoo Miami,northamerica/unitedstates/florida/miami/zoo_miami,0.375,,,missing_coordinates; has_external_url,http://www.jamaicacgmiami.org/,https://en.wikivoyage.org/wiki/Miami
asia/turkey/istanbul,Istanbul,Istanbul,55,47,see,Sweden,0.51,candidate,high-value type; has external URL,,,Depo,asia/turkey/istanbul/depo,0.4,,,missing_coordinates; has_external_url,http://swedenabroad.com/Start____9208.aspx,https://en.wikivoyage.org/wiki/Istanbul
northamerica/unitedstates/florida/fortlauderdale,Fort Lauderdale,Fort Lauderdale,17,67,see,Czech Republic (Honorary),0.51,candidate,high-value type; has external URL,,,John U. Lloyd Beach State Park,northamerica/unitedstates/florida/fortlauderdale/john_u_lloyd_beach_state_park,0.279,,,missing_coordinates; has_external_url,http://www.mzv.cz/washington/en/about_us/honorary_consulates_in_jurisdiction_of/honorary_fort_lauderdale.html,https://en.wikivoyage.org/wiki/Fort_Lauderdale
southamerica/argentina/buenosaires,Buenos Aires,Buenos Aires,51,22,see,United Kingdom of Great Britain and Northern Ireland,0.51,candidate,high-value type; has external URL,,,Tigre and the Paraná Delta,southamerica/argentina/buenosaires/tigre_and_delta,0.384,,,missing_coordinates; has_external_url,http://ukinargentina.fco.gov.uk/en/,https://en.wikivoyage.org/wiki/Buenos_Aires
