world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/playadelcarmen,Playa del Carmen,Playa del Carmen,9,56,do,Tulum Archeological Site,0.67,candidate,has coordinates; high-value type,20.215086,-87.429257,Chichén Itzá,northamerica/mexico/playadelcarmen/chichen_itza,0.4,129.588,60.14,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Playa_del_Carmen
asia/vietnam/vinh,Vinh,Vinh,4,9,see,Pù Mát national park,0.67,candidate,has coordinates; has description; high-value type; strong travel term,19.06457,104.7465,Soviet Nghe Tinh Museum,asia/vietnam/vinh/nghe_tinh_soviet_museum,0.333,107.408,105.833,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Vinh
southamerica/brazil/florianopolis,Florianópolis,Florianopolis,7,57,see,Praia de Naufragados,0.67,candidate,has coordinates; high-value type,-27.83391,-48.563,Praia dos Ingleses,southamerica/brazil/florianopolis/praia_dos_ingleses,0.514,47.674,26.343,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Florianopolis
northamerica/mexico/merida,Mérida,Mérida (Mexico),23,119,do,Oxkintok and the Calcehtok Caves,0.67,candidate,has coordinates; high-value type,20.5596487,-89.9427379,Café along Calle 60,northamerica/mexico/merida/cafe_peon_contreras,0.391,56.449,56.197,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28Mexico%29
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,do,Tequila,0.67,candidate,has coordinates; high-value type,20.8830754,-103.8343469,Tropigala,northamerica/mexico/guadalajara/tropigala,0.5,53.914,56.186,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Guadalajara
northamerica/unitedstates/apalachiantrail,Appalachian Trail,Appalachian Trail,0,57,see,McAfee Knob,0.67,candidate,has coordinates; high-value type,37.392485811,-80.036305904,,,0.0,,63.945,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Appalachian_Trail
asia/cyprus/northerncyprus/famagustagazimaguza,Famagusta (Gazimağusa),Famagusta,5,29,see,Franciscan Church,0.67,candidate,has coordinates; has description; high-value type; strong travel term,33.12483,33.94088,Venetian Walls of Famagusta,asia/cyprus/northerncyprus/famagustagazimaguza/venetian_walls,0.273,222.754,222.409,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Famagusta
northamerica/mexico/monterrey,Monterrey,Monterrey,13,31,do,Matacanes,0.67,candidate,has coordinates; high-value type,25.2650281,-100.1660449,Museo de Historia Mexicana,northamerica/mexico/monterrey/museo_de_historia_mexicana,0.375,47.204,48.536,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Monterrey
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,see,Kruger Tablets,0.67,candidate,has coordinates; has description; high-value type; strong travel term,-24.8719411,31.7746114,Lower Sabie Camp,africa/southafrica/krugernationalpark/lower_sabie_camp,0.4,31.076,100.736,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Kruger_National_Park
asia/china/shandong_province/dezhou,Dezhou,Dezhou,3,33,do,Quancheng Oleburg Dream World,0.67,candidate,has coordinates; has description; high-value type; strong travel term,36.748691,116.844608,Dezhou Braised Chicken,asia/china/shandong_province/dezhou/dezhou_braised_chicken,0.235,91.359,91.359,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Dezhou
