world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/vietnam/hoian,Hoi An,Hoi An,36,62,do,Hoi An Silk Village,0.89,candidate,has coordinates; has description; high-value type; has external URL,15.8875,108.3192,Hainan Assembly Hall,asia/vietnam/hoian/hainan_assembly_hall,0.444,1.565,2.173,has_external_url,http://www.hoiansilkvillage.com,https://en.wikivoyage.org/wiki/Hoi_An
europe/portugal/batalha,Batalha,Batalha,4,7,see,Grutas da Moeda,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.6242,-8.7048,Batalha Monastery,europe/portugal/batalha/batalha_monastery,0.438,11.092,11.02,has_external_url,https://www.grutasmoeda.com/,https://en.wikivoyage.org/wiki/Batalha
africa/congobrazzaville/brazzaville,Brazzaville,Brazzaville,7,24,do,Corniche,0.89,candidate,has coordinates; has description; high-value type; has external URL,-4.28207,15.27224,Tour Nabemba,africa/congobrazzaville/brazzaville/nabemba_tower,0.4,2.104,3.859,has_external_url,http://www.brazzaville.cg/,https://en.wikivoyage.org/wiki/Brazzaville
europe/hungary/nyiregyhaza,Nyíregyháza,Nyíregyháza,7,35,see,Water Supply Historical Collection of the Upper-Tiszanian Region,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.94096,21.71235,Jósa András Museum,europe/hungary/nyiregyhaza/josa_andras_museum,0.205,1.672,1.681,has_external_url,http://www.museum.hu/search/museum_en.asp?ID=597,https://en.wikivoyage.org/wiki/Ny%C3%ADregyh%C3%A1za
europe/unitedkingdom/manisleof/douglas,Douglas,Douglas (Isle of Man),10,30,see,Home of Rest for Old Horses,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.1424,-4.5352,Tower of Refuge,europe/unitedkingdom/manisleof/douglas/tower_of_refuge,0.476,4.421,3.679,has_external_url,https://www.iomhorseshome.im/,https://en.wikivoyage.org/wiki/Douglas_%28Isle_of_Man%29
europe/slovakia/kosice,Košice,Košice,7,153,do,Ryba Anička,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.7434,21.25171,St. Urban Tower,europe/slovakia/kosice/urban_tower,0.4,2.578,2.523,has_external_url,http://www.ryba-anicka.sk/,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
europe/germany/lowersaxony/hildesheim,Hildesheim,Hildesheim,5,19,do,hi climb - DAV Kletterzentrum Hildesheim,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.1728,9.947,Historic Market Square,europe/germany/lowersaxony/hildesheim/market_square,0.367,2.247,2.259,has_external_url,http://dav-hildesheim.de/kletterzentrum/willkommen/,https://en.wikivoyage.org/wiki/Hildesheim
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,do,Room Escape PerplexxX,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.275803,11.4391468,Ambras Castle,europe/austria/innsbruck/ambrascastle,0.353,2.156,3.683,has_external_url,https://perplexxx.at/en/das-spiel/,https://en.wikivoyage.org/wiki/Innsbruck
europe/sweden/gotska_sandn,Gotska Sandön,Gotska Sandön,0,5,see,The Chapel,0.89,candidate,has coordinates; has description; high-value type; has external URL,58.388685,19.1965,,,0.0,,4.267,has_external_url,https://www.svenskakyrkan.se/norragotland/gotska-sandons-kapell,https://en.wikivoyage.org/wiki/Gotska_Sand%C3%B6n
northamerica/unitedstates/florida/orlando,Orlando,Orlando,24,96,see,The Orlando Science Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,28.5723,-81.3684,Kennedy Space Center,northamerica/unitedstates/florida/orlando/kennedy_space_center,0.524,67.266,3.513,has_external_url,http://www.osc.org/,https://en.wikivoyage.org/wiki/Orlando
asia/india/gujarat/kutch/gandidam,Gandhidham,Gandhidham,6,8,see,Kandla Port,0.89,candidate,has coordinates; has description; high-value type; has external URL,23.03,70.22,Adipur,asia/india/gujarat/kutch/gandidam/adipur,0.471,14.095,10.162,has_external_url,https://www.deendayalport.gov.in/Default.aspx,https://en.wikivoyage.org/wiki/Gandhidham
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,do,Jay Lively Activity Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.214341,-111.638272,Wupatki National Monument,northamerica/unitedstates/arizona/flagstaff/wupatki_national_monument,0.392,44.031,2.126,has_external_url,http://www.flagstaff.az.gov/index.aspx?NID=63,https://en.wikivoyage.org/wiki/Flagstaff
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,see,Houtzaagmolen De Ster,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.0897,5.1006,Dom Tower,europe/netherlands/utrecht/dom_tower,0.444,1.427,1.437,has_external_url,https://www.molendester.nu/guided-tours/,https://en.wikivoyage.org/wiki/Utrecht
asia/thailand/pattaya,Pattaya,Pattaya,9,124,see,Fascino pharmacy,0.89,candidate,has coordinates; has description; high-value type; has external URL,12.9502,100.89428,Mini Siam,asia/thailand/pattaya/mini_siam,0.4,1.738,1.722,has_external_url,http://www.fascino.co.th/,https://en.wikivoyage.org/wiki/Pattaya
southamerica/peru/iquitos,Iquitos,Iquitos,8,28,see,Fundo Pedrito alligator farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,-3.6385,-73.2131,Pacaya-Samiria National Reserve,southamerica/peru/iquitos/pacaya_samiria,0.305,260.998,12.808,has_external_url,https://iquitosperu.net/lugares-turisticos/fundo-pedrito/,https://en.wikivoyage.org/wiki/Iquitos
europe/belgium/ghent,Ghent,Ghent,18,77,see,Begijnhof Sint-Amandsberg,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.05694,3.74778,Belfry of Ghent,europe/belgium/ghent/belfry,0.35,1.607,1.629,has_external_url,http://www.grootbegijnhof.be,https://en.wikivoyage.org/wiki/Ghent
northamerica/unitedstates/wyoming/casper,Casper,Casper,11,20,do,Hogadon Basin Ski Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.745,-106.339,Wonder Bar,northamerica/unitedstates/wyoming/casper/wonder_bar,0.375,11.607,11.742,has_external_url,http://hogadon.net/,https://en.wikivoyage.org/wiki/Casper
