world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,do,Remote Area Dive,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Reef HQ Aquarium,australiaandpacific/australia/queensland/townsville/reef_hq_aquarium,0.438,,,missing_coordinates; has_external_url,http://www.remoteareadive.com.au,https://en.wikivoyage.org/wiki/Townsville
northamerica/unitedstates/indiana/bloomington,Bloomington,Bloomington (Indiana),13,70,see,Theatre of the People,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lake Monroe,northamerica/unitedstates/indiana/bloomington/lake_monroe,0.429,,,missing_coordinates; has_external_url,http://theatreofthepeople.com/,https://en.wikivoyage.org/wiki/Bloomington_%28Indiana%29
northamerica/unitedstates/oregon/portland,Portland,Portland (Oregon),58,54,see,Tillamook Transportation District,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hawthorne District,northamerica/unitedstates/oregon/portland/hawthorne_district,0.549,,,missing_coordinates; has_external_url,https://nwconnector.org/routes/coastliner-tillamook-portland/,https://en.wikivoyage.org/wiki/Portland_%28Oregon%29
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,do,Isle of Eight Flags Shrimp Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Black Sheep Restaurant,northamerica/unitedstates/florida/northeastflorida/jacksonville/black_sheep,0.386,,,missing_coordinates; has_external_url,http://www.shrimpfestival.com/,https://en.wikivoyage.org/wiki/Jacksonville
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,do,Utah Symphony/Utah Opera collaborative,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Utah State Capitol,northamerica/unitedstates/utah/saltlakecity/utah_state_capitol,0.464,,,missing_coordinates; has_external_url,http://www.usuo.org/,https://en.wikivoyage.org/wiki/Salt_Lake_City
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Christmas Market,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.333,,,missing_coordinates; has_external_url,http://www.sheffieldchristmasmarkets.co.uk/,https://en.wikivoyage.org/wiki/Sheffield
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Genesee Valley Greenway,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Genesee Brew House,northamerica/unitedstates/newyorkstate/rochester/genesee_brew_house,0.537,,,missing_coordinates; has_external_url,http://www.fogvg.org,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Redgrave Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Red Lodge Museum,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/red_lodge_museum,0.438,,,missing_coordinates; has_external_url,http://www.cliftoncollegeuk.com/ccsl/redgrave/,https://en.wikivoyage.org/wiki/Bristol
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough,Scarborough,Scarborough,7,25,see,St Mary's Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Marine Drive,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough/marine_drive,0.357,,,missing_coordinates; has_external_url,https://www.stmaryswithholyapostles.com/,https://en.wikivoyage.org/wiki/Scarborough
asia/thailand/bangkok,Bangkok,Bangkok,108,116,do,Grasshopper Adventures,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ratchadamnoen Avenue,asia/thailand/bangkok/ratchadamnoen_avenue,0.476,,,missing_coordinates; has_external_url,http://www.grasshopperadventures.com/,https://en.wikivoyage.org/wiki/Bangkok
