world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Mavrovo National Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.683333,20.7,Kičevo Monastery,europe/macedonia/kicevo/kicevo_monastery,0.378,32.662,28.953,has_external_url; day_trip_review,http://www.npmavrovo.org.mk/,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,do,Chestnut Mountain Ski Resort,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.3181,-90.3981,Dubuque Museum of Art,northamerica/unitedstates/iowa/dubuque/dubuque_museum_of_art,0.367,30.002,29.854,has_external_url; day_trip_review,https://www.chestnutmtn.com/,https://en.wikivoyage.org/wiki/Dubuque
northamerica/canada/britishcolumbia/nelson,Nelson,Nelson (British Columbia),13,43,do,Kokanee Glacier Provincial Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.7833,-117.167,Lakeside Park,northamerica/canada/britishcolumbia/nelson/lakeside_park,0.409,34.561,33.269,has_external_url; day_trip_review,https://bcparks.ca/kokanee-glacier-park/,https://en.wikivoyage.org/wiki/Nelson_%28British_Columbia%29
europe/norway/rros,Røros,Røros,6,7,do,Forollhogna national park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.633333,10.666667,The Wooden Town,europe/norway/rros/wooden_town,0.389,37.353,51.341,has_external_url; day_trip_review,https://ut.no/utforsker/omrade/1274/orkelsjvidda-budal-og-forollhogna/turforslag,https://en.wikivoyage.org/wiki/R%C3%B8ros
australiaandpacific/newzealand/chathamislands,Chatham Islands,Chatham Islands,6,37,see,"German Mission House, aka Stone Cottage",0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-43.7645,-176.77822,Ohira Bay Basalt Columns,australiaandpacific/newzealand/chathamislands/ohira_bay,0.29,34.394,50.357,has_external_url; day_trip_review,http://discoverthechathamislands.co.nz/directory/maunganui-stone-cottage/,https://en.wikivoyage.org/wiki/Chatham_Islands
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Schwaben-Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.903293,9.654937,Rosenau,europe/germany/badenwrttemberg/stuttgart/rosenau,0.4,38.564,37.426,has_external_url; day_trip_review,http://www.schwabenpark.de/,https://en.wikivoyage.org/wiki/Stuttgart
europe/finland/kuopio,Kuopio,Kuopio,6,104,do,Tahko,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,63.291,28.025,Kuopio Museum,europe/finland/kuopio/kuopio_museum,0.222,47.496,47.625,has_external_url; day_trip_review,http://www.tahko.com/en,https://en.wikivoyage.org/wiki/Kuopio
europe/norway/bodo,Bodø,Bodø,17,26,do,Svarthammarhola,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,67.2314,15.5114,Saltstraumen Maelstrom,europe/norway/bodo/saltstraumen,0.432,38.647,48.913,has_external_url; day_trip_review,https://en.nordlandturselskap.no/experience/caving-in-northern-norway/,https://en.wikivoyage.org/wiki/Bod%C3%B8
asia/china/guangdong/zhuhai,Zhuhai,Zhuhai,6,68,see,Doumen District Museum,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.2074009886,113.2979871766,Gongbei Border District,asia/china/guangdong/zhuhai/gongbei_border,0.489,24.774,26.715,has_external_url; day_trip_review,http://www.dmqbwg.com/,https://en.wikivoyage.org/wiki/Zhuhai
europe/norway/kirkenes,Kirkenes,Kirkenes,16,12,see,Ä´vv Skolt Sámi museum,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,69.6996,29.3778,Reindeer Sledding and Sami Culture,europe/norway/kirkenes/reindeer_sledding,0.37,25.9,25.9,has_external_url; day_trip_review,http://www.skoltesamiskmuseum.no/,https://en.wikivoyage.org/wiki/Kirkenes
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Brown County,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.2,-86.23,Garfield Park and Conservatory,northamerica/unitedstates/indiana/indianapolis/garfield_park_conservatory,0.381,59.578,63.49,has_external_url; day_trip_review,http://www.browncounty.com,https://en.wikivoyage.org/wiki/Indianapolis
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,see,Liling Ceramic Museum,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.685845,113.451938,Xiangjiang River Scenic Belt,asia/china/hunan/zhuzhou/xiangjiang_scenic_belt,0.449,35.56,34.603,has_external_url; day_trip_review,https://www.llsbwg.org.cn/,https://en.wikivoyage.org/wiki/Zhuzhou
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Hainan Tropical Wildlife Park and Botanical Garden,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.7722487977,110.2417359076,Hainan Duty-Free Shopping,asia/china/hainanisland/haikou/duty_free_shopping,0.373,32.28,30.844,has_external_url; day_trip_review,http://www.hntwzoo.com/,https://en.wikivoyage.org/wiki/Haikou
europe/germany/brandenburg/spreewald,Spreewald,Spreewald,7,19,do,Tropical Islands Resort,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.038002,13.74698,Lübbenau Market and Old Town,europe/germany/brandenburg/spreewald/lubbenau_market,0.314,24.5,25.058,has_external_url; day_trip_review,https://www.tropical-islands.de/,https://en.wikivoyage.org/wiki/Spreewald
asia/china/shaanxi/xian,Xi'an,Xi'an,27,73,see,Qinling National Botanical Garden,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.058446,108.35181,Qianling Mausoleum,asia/china/shaanxi/xian/qianling_mausoleum,0.471,58.747,60.021,has_external_url; day_trip_review,http://www.qinlingbg.com/,https://en.wikivoyage.org/wiki/Xi%27an
africa/ghana/accra,Accra,Accra,35,73,see,Shai Hills Resource Reserve,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,5.8828,0.0457,Ghana Armed Forces Museum,africa/ghana/accra/ghana_armed_forces_museum,0.462,46.012,40.323,has_external_url; day_trip_review,https://visitghana.com/attractions/shai-hills-reserve/,https://en.wikivoyage.org/wiki/Accra
asia/iran/yazd,Yazd,Yazd,9,25,see,Museum of Zoroastrians History and Culture,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.881757,54.367003,Dolat Abad Garden and Windcatcher,asia/iran/yazd/dolat_abad_garden,0.347,19.517,33.259,has_external_url; day_trip_review,http://markarmuseum.com,https://en.wikivoyage.org/wiki/Yazd
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,National Farm Toy Museum,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.471,-91.11,National Mississippi River Museum and Aquarium,northamerica/unitedstates/iowa/dubuque/national_mississippi_river_museum,0.514,36.932,36.655,has_external_url; day_trip_review,https://www.nationalfarmtoymuseum.com,https://en.wikivoyage.org/wiki/Dubuque
europe/finland/jyvaskyla,Jyväskylä,Jyväskylä,10,66,see,Oravivuori Arc Point,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.926667,25.533611,Taulumäki Church,europe/finland/jyvaskyla/taulamaki_church,0.333,38.029,36.725,has_external_url; day_trip_review,https://visitjyvaskyla.fi/en/attractions/struve-geodetic-arc-oravivuori-arc-point/,https://en.wikivoyage.org/wiki/Jyv%C3%A4skyl%C3%A4
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,do,Salmonier Nature Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.2646244,-53.2850755,Water Street,northamerica/canada/newfoundland/stjohns/water_street,0.424,54.584,54.271,has_external_url; day_trip_review,http://www.flr.gov.nl.ca/wildlife/snp/index.html,https://en.wikivoyage.org/wiki/St._John%27s
europe/spain/aragon/teruel,Teruel,Teruel,8,13,see,Museo de Arte Sacro,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.34417,-1.10742,San Martín Tower,europe/spain/aragon/teruel/torre_san_martin,0.438,32.662,32.496,has_external_url; day_trip_review,http://www.diocesisdeteruel.org/museoartesacro.html,https://en.wikivoyage.org/wiki/Teruel
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Conner Prairie Interactive History Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.984306,-86.031333,Conner Prairie,northamerica/unitedstates/indiana/indianapolis/conner_prairie,0.528,2.618,26.353,has_external_url; day_trip_review,http://www.connerprairie.org/,https://en.wikivoyage.org/wiki/Indianapolis
europe/greece/kavala,Kavala,Kavala,14,95,see,Cave of Alistrati,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.0257,24.0111,Kafeneions of Panagia,europe/greece/kavala/kafeneion_panagia,0.474,35.589,35.096,has_external_url; day_trip_review,http://www.alistraticave.gr/,https://en.wikivoyage.org/wiki/Kavala
