world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/missouri/joplin,Joplin,Joplin,5,13,see,George Washington Carver National Monument,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.986361,-94.354191,Joplin Tornado Memorial,northamerica/unitedstates/missouri/joplin/joplin_tornado_memorial,0.369,17.217,17.829,has_external_url,http://www.nps.gov/gwca/,https://en.wikivoyage.org/wiki/Joplin
northamerica/canada/britishcolumbia/courtenay,Courtenay,Courtenay,5,30,see,Cumberland Museum & Archives,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.61902,-125.03163,Courtenay and District Museum,northamerica/canada/britishcolumbia/courtenay/courtenay_museum,0.441,8.251,8.248,has_external_url,https://cumberlandmuseum.ca/,https://en.wikivoyage.org/wiki/Courtenay
europe/hungary/gyor,Győr,Győr,13,201,see,Calvary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6741,17.6293,Carmelite Monastery and Church,europe/hungary/gyor/karmelita_kolostor,0.324,1.265,1.11,has_external_url,http://muemlekem.hu/muemlek?id=4254,https://en.wikivoyage.org/wiki/Gy%C5%91r
northamerica/canada/ontario/aylmer,Aylmer,Aylmer,4,11,see,Clovermead Apiaries,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.8017,-80.9814,Aylmer and District Museum,northamerica/canada/ontario/aylmer/aylmer_and_district_museum,0.4,3.217,3.175,has_external_url,https://clovermead.com,https://en.wikivoyage.org/wiki/Aylmer
northamerica/unitedstates/westvirginia/morgantown,Morgantown,Morgantown,10,63,see,Cook-Hayman Pharmacy Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.655159,-79.95823,WVU Football at Milan Puskar Stadium,northamerica/unitedstates/westvirginia/morgantown/wvu_football,0.381,0.674,2.838,has_external_url,https://www.visitmountaineercountry.com/business/cook-hayman-pharmacy-museum/,https://en.wikivoyage.org/wiki/Morgantown
asia/india/madhyapradesh/bhopal,Bhopal,Bhopal,7,24,see,Van Vihar National Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,23.22948,77.36977,Bharat Bhavan,asia/india/madhyapradesh/bhopal/bharat_bhavan,0.389,3.016,4.609,has_external_url,https://vanviharnationalpark.org/,https://en.wikivoyage.org/wiki/Bhopal
northamerica/unitedstates/indiana/richmond,Richmond,Richmond (Indiana),7,14,do,Veterans Memorial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.8319,-84.89999,Madonna of the Trail,northamerica/unitedstates/indiana/richmond/madonna_of_the_trail,0.54,0.46,0.9,has_external_url,https://www.veteransmemorialpark.org/,https://en.wikivoyage.org/wiki/Richmond_%28Indiana%29
europe/denmark/kolding,Kolding,Kolding,5,12,see,Christiansfeld,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.356667,9.483056,Akseltorv,europe/denmark/kolding/akseltorv,0.348,14.809,14.773,has_external_url,http://www.christiansfeldcentret.dk/,https://en.wikivoyage.org/wiki/Kolding
asia/philippines/daraga,Daraga,Daraga,5,11,see,National Museum of the Philippines - Bicol,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.164535,123.701745,Lignon Hill,asia/philippines/daraga/lignon_hill,0.34,3.021,2.154,has_external_url,https://www.nationalmuseum.gov.ph/our-museums/regional-area-and-site-museums/bicol/,https://en.wikivoyage.org/wiki/Daraga
southamerica/uruguay/montevideo,Montevideo,Montevideo,26,137,see,Museum of Zoology,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-34.90329,-56.1236,Museo Torres García,southamerica/uruguay/montevideo/museo_torres_garcia,0.471,7.104,6.181,has_external_url,http://www.montevideo.gub.uy/ciudad-y-cultura/museos-salas-y-planetario/museo-zoologico-damaso-antonio-larranaga,https://en.wikivoyage.org/wiki/Montevideo
asia/indonesia/lombok/giliislands/gili_meno,Gili Meno,Gili Meno,2,11,see,Gili Meno Turtle Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-8.3563,116.0615,Gili T Dive Sites,asia/indonesia/lombok/giliislands/gili_trawangan_dive,0.465,2.786,0.355,has_external_url,http://www.gili-paradise.com/features/gili-nightlife/additional/turtles/,https://en.wikivoyage.org/wiki/Gili_Meno
northamerica/unitedstates/minnesota/bloomington,Bloomington,Bloomington (Minnesota),7,22,do,Normandale Japanese Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.830948,-93.33131,Hyland Lake Park Reserve,northamerica/unitedstates/minnesota/bloomington/hyland_lake_park,0.52,3.332,2.834,has_external_url,http://www.normandale.edu/japanesegarden/,https://en.wikivoyage.org/wiki/Bloomington_%28Minnesota%29
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,see,Prittlewell Priory,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.55369,0.70532,Southend Pier,europe/unitedkingdom/england/eastern_england/southendonsea/southend_pier,0.387,2.903,1.732,has_external_url,https://www.southendmuseums.co.uk/,https://en.wikivoyage.org/wiki/Southend-on-Sea
europe/germany/lowersaxony/salzgitter,Salzgitter,Salzgitter,4,14,see,Municipal Museum Château Salder,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.13572,10.33752,Schloss Salder,europe/germany/lowersaxony/salzgitter/schloss_salder,0.444,1.006,2.206,has_external_url,http://www.salzgitter.de/126010100000055977.php,https://en.wikivoyage.org/wiki/Salzgitter
