world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/slovakia/kremnica,Kremnica,Kremnica,6,20,see,Mining Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.71241,18.90818,Municipal Museum (Mestské múzeum),europe/slovakia/kremnica/mestske_muzeum,0.69,1.159,1.141,has_external_url,http://www.banske-muzeum.sk/,https://en.wikivoyage.org/wiki/Kremnica
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,see,Yutian Ancient Chinese Jade Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.086459,119.312605,Fujian Science and Technology Museum,asia/china/fujianprovince/fuzhou/fujian_science_and_technology_museum,0.629,1.093,2.303,has_external_url,https://www.yutianmuseum.com/,https://en.wikivoyage.org/wiki/Fuzhou
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Food markets,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.144621,10.195962,Pan,europe/denmark/aarhus/pan,0.571,0.429,1.214,has_external_url,http://www.visitaarhus.com/ln-int/ingerslevs-boulevard-gdk603483,https://en.wikivoyage.org/wiki/Aarhus
australiaandpacific/australia/westernaustralia/geraldton,Geraldton,Geraldton,7,16,see,Regional Art Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-28.7735,114.6115,Geraldton Harbour Crayfish,australiaandpacific/australia/westernaustralia/geraldton/crayfish_harbour,0.626,0.374,0.47,has_external_url,https://artgallery.cgg.wa.gov.au/about/about.aspx,https://en.wikivoyage.org/wiki/Geraldton
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,Pirogov’s Necropolis Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.2162,28.391,Saint Nicholas Church,europe/ukraine/vinnista/saint_nicholas_church,0.583,5.854,5.913,has_external_url,https://pirogov.com.ua/cerkva-nekropol_ua.htm,https://en.wikivoyage.org/wiki/Vinnytsia
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,do,Great Lakes Distillery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.02656,-87.91885,Harley-Davidson Museum,northamerica/unitedstates/wisconsin/milwaukee/harley_davidson_museum,0.654,0.346,1.561,has_external_url,https://www.greatlakesdistillery.com/,https://en.wikivoyage.org/wiki/Milwaukee
europe/finland/jyvaskyla,Jyväskylä,Jyväskylä,10,66,see,Kuokkala Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.2376,25.7445,St. Olaf's Church,europe/finland/jyvaskyla/st_olafs_church,0.645,1.162,0.45,has_external_url,http://www.jyvaskylanseurakunta.fi/kuokkalan-alueseurakunta/,https://en.wikivoyage.org/wiki/Jyv%C3%A4skyl%C3%A4
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Queenston Heights Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.160147,-79.052234,Queen Victoria Park,northamerica/canada/ontario/niagrafalls/queen_victoria_park,0.634,8.946,6.033,has_external_url,https://www.niagaraparks.com/visit/nature-garden/queenston-heights/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
europe/germany/northrhinewestphalia/bonn,Bonn,Bonn,19,96,see,Akademisches Kunstmuseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.75189,7.09626,Rheinisches Landesmuseum,europe/germany/northrhinewestphalia/bonn/rheinischeslandesmuseum,0.667,2.245,1.617,has_external_url,https://www.antikensammlung.uni-bonn.de/,https://en.wikivoyage.org/wiki/Bonn
asia/china/jiangsu_province/huaian,Huai'an,Huai'an,7,20,see,China Water Transport Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.5085,119.13943,Former Residence of Zhou Enlai,asia/china/jiangsu_province/huaian/zhou_enlai_former_residence,0.621,0.379,1.288,has_external_url,http://en.cwtmuseum.com/portal.php,https://en.wikivoyage.org/wiki/Huai%27an
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,see,Joslyn Castle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.261694,-95.971806,Joslyn Art Museum,northamerica/unitedstates/nebraska/omaha/joslyn_art_museum,0.667,1.464,2.814,has_external_url,http://joslyncastle.com/,https://en.wikivoyage.org/wiki/Omaha
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,see,Long Beach Firefighter's Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.785172,-118.173233,Long Beach Museum of Art,northamerica/unitedstates/california/long_beach/long_beach_museum_of_art,0.618,2.307,2.473,has_external_url,http://www.lbfdmuseum.org/,https://en.wikivoyage.org/wiki/Long_Beach
asia/japan/honshu/sendai,Sendai,Sendai,10,51,see,Sankyozawa Electric Centennial Museum (Sankyozawa 100 Year Electric Historical Center),0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.267057,140.840306,Tomizawa Site Museum (Underground Forest),asia/japan/honshu/sendai/tomizawa_underground_forest,0.561,10.494,2.519,has_external_url,https://www.tohoku-epco.co.jp/pr/miyagi/sankyozawa.html,https://en.wikivoyage.org/wiki/Sendai
europe/russia/kaliningrad,Kaliningrad,Kaliningrad,9,42,see,Kaliningrad Museum of Fine Arts,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.705098,20.507344,Königsberg Cathedral,europe/russia/kaliningrad/konigsberg_cathedral,0.662,0.338,0.758,has_external_url,https://en.kaliningradartmuseum.ru,https://en.wikivoyage.org/wiki/Kaliningrad
europe/finland/turku,Turku,Turku,5,262,do,The Medieval Market,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.4506,22.2759,Sibelius Museum,europe/finland/turku/sibeliusmuseum,0.621,0.379,0.5,has_external_url,https://keskiajanturku.fi/en,https://en.wikivoyage.org/wiki/Turku
asia/saudiarabia/medina,Medina,Medina,6,12,see,Masjid Quba,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.439167,39.617222,Al-Masjid an-Nabawi,asia/saudiarabia/medina/prophets_mosque,0.667,3.304,3.61,has_external_url,http://www.qubamosque.com/index.php,https://en.wikivoyage.org/wiki/Medina
europe/spain/melilla,Melilla,Melilla,5,121,see,House of Crystals,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.2937,-2.941823,Modernista Architecture District,europe/spain/melilla/modernista_architecture,0.691,0.309,0.22,has_external_url,https://melillamonumental.es/conociendo-nuestro-patrimonio-casa-de-los-cristales-el-gran-hotel-reina-victoria-ii/,https://en.wikivoyage.org/wiki/Melilla
asia/china/shaanxi/xian,Xi'an,Xi'an,27,73,see,Xi'an Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.21259468157815,108.95865446378288,Banpo Museum,asia/china/shaanxi/xian/banpo_museum,0.64,10.68,5.931,has_external_url,http://www.xianartmuseum.org/,https://en.wikivoyage.org/wiki/Xi%27an
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Aviation Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.4775,26.111,Village Museum,europe/romania/bucharest/village_museum,0.69,2.767,4.65,has_external_url,http://www.roaf.ro/?page_id=854,https://en.wikivoyage.org/wiki/Bucharest
europe/hungary/sopron,Sopron,Sopron,9,234,see,Goat Catholic Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6862,16.59037,Goat Church (Kecske-templom),europe/hungary/sopron/goat_church,0.71,0.421,0.887,has_external_url,http://portal.sopron.hu/Sopron/portal/english_show?contentId=2134,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/massachusetts/plymouth,Plymouth,Plymouth (Massachusetts),6,68,do,Plymouth Long Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.94528,-70.62619,Plymouth Rock,northamerica/unitedstates/massachusetts/plymouth/plymouth_rock,0.688,3.686,3.699,has_external_url,http://www.plymouth-ma.gov/marine-and-environmental-affairs/pages/long-beach-information,https://en.wikivoyage.org/wiki/Plymouth_%28Massachusetts%29
australiaandpacific/newzealand/nelson,Nelson,Nelson (New Zealand),18,40,see,Melrose House,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-41.28223,173.28444,The Free House,australiaandpacific/newzealand/nelson/free_house,0.696,0.763,1.241,has_external_url,http://www.melrosehouse.co.nz/,https://en.wikivoyage.org/wiki/Nelson_%28New_Zealand%29
europe/france/nord/lille,Lille,Lille,22,79,see,Museum of Natural History,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.626667,3.066667,Natural History Museum,europe/france/nord/lille/natural_history_museum,0.638,0.579,1.123,has_external_url,http://mhn.lille.fr/,https://en.wikivoyage.org/wiki/Lille
africa/kenya/nairobi,Nairobi,Nairobi,30,113,see,Nairobi Mamba Village,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-1.33354,36.75044,Nairobi Animal Orphanage,africa/kenya/nairobi/nairobi_animal_orphanage,0.622,10.388,9.369,has_external_url,https://mambavillagecentre.co.ke/,https://en.wikivoyage.org/wiki/Nairobi
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,see,Discovery Center of Idaho,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.6083,-116.199,Big Idaho Potato Hotel,northamerica/unitedstates/idaho/boise/big_idaho_potato_hotel,0.654,0.346,0.936,has_external_url,http://www.dcidaho.org/,https://en.wikivoyage.org/wiki/Boise
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,see,Salisbury House,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.579444,-93.671389,Salisbury House and Gardens,northamerica/unitedstates/iowa/desmoines/salisbury_house,0.714,1.394,3.95,has_external_url,http://www.salisburyhouse.org,https://en.wikivoyage.org/wiki/Des_Moines
europe/unitedkingdom/northernireland/newry,Newry,Newry,10,32,see,St Patrick's Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.1772,-6.3311,Newry Canal Towpath,europe/unitedkingdom/northernireland/newry/newry_canal,0.606,0.394,0.418,has_external_url,https://www.downanddromore.org/find-a-church/newry,https://en.wikivoyage.org/wiki/Newry
asia/cambodia/siemreap,Siem Reap,Siem Reap,56,78,see,War museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.38755,103.83127,Angkor National Museum,asia/cambodia/siemreap/angkor_national_museum,0.562,3.875,4.153,has_external_url,https://www.facebook.com/warmuseumcambodia/,https://en.wikivoyage.org/wiki/Siem_Reap
australiaandpacific/australia/tasmania/richmond,Richmond,Richmond (Tasmania),4,9,see,Pooseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-42.7372,147.4341,Richmond Gaol,australiaandpacific/australia/tasmania/richmond/richmond_gaol,0.592,0.408,0.383,has_external_url,https://pooseum.com.au/,https://en.wikivoyage.org/wiki/Richmond_%28Tasmania%29
northamerica/unitedstates/virginia/winchester,Winchester,Winchester (Virginia),12,29,see,Fort Collier,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.20059,-78.155007,Fort Loudoun Site,northamerica/unitedstates/virginia/winchester/fort_loudoun,0.552,1.48,1.924,has_external_url,http://www.fortcollier.com/,https://en.wikivoyage.org/wiki/Winchester_%28Virginia%29
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Kretzulescu Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.438086,26.096639,Romanian Athenaeum,europe/romania/bucharest/romanian_athenaeum,0.639,0.361,0.529,has_external_url,http://www.stavropoleos.ro,https://en.wikivoyage.org/wiki/Bucharest
europe/belgium/ghent,Ghent,Ghent,18,77,see,STAM – Ghent city museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.04361,3.71722,Ghent City Hall,europe/belgium/ghent/ghent_city_hall,0.595,1.336,1.26,has_external_url,https://stamgent.be/en,https://en.wikivoyage.org/wiki/Ghent
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Nicanor Piñole Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.5381,-5.6641,Juan Barjola Museum,europe/spain/northernspain/gijon/juan_barjola_museum,0.6,0.703,0.769,has_external_url,https://www.gijon.es/es/directorio/museo-nicanor-pinole,https://en.wikivoyage.org/wiki/Gij%C3%B3n
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,see,Tangshan Science and Technology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.623655,118.159344,Tangshan Earthquake Memorial Museum,asia/china/hebei/tangshan/earthquake_memorial,0.603,3.504,2.705,has_external_url,http://www.tsstm.org.cn/,https://en.wikivoyage.org/wiki/Tangshan
