world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/georgia/kutaisi,Kutaisi,Kutaisi,8,48,do,Kharazov Park,0.81,candidate,has coordinates; high-value type; strong travel term,42.2658,42.7158,Bagrati Cathedral,europe/georgia/kutaisi/bagrati_cathedral,0.4,1.591,1.069,needs_external_source,,https://en.wikivoyage.org/wiki/Kutaisi
europe/sweden/gvle,Gävle,Gävle,5,44,see,Testeboån Nature Reserve,0.81,candidate,has coordinates; high-value type; strong travel term,60.7544,17.0559,Monitor ERP Arena,europe/sweden/gvle/brynas_arena,0.39,8.171,10.115,needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%A4vle
europe/finland/turku,Turku,Turku,5,262,do,Brinkhall beach,0.81,candidate,has coordinates; high-value type; strong travel term,60.36557,22.23673,Turku Cathedral,europe/finland/turku/turku_cathedral,0.333,9.826,9.709,needs_external_source,,https://en.wikivoyage.org/wiki/Turku
asia/india/rajasthan/jaipur,Jaipur,Jaipur,39,85,see,Akshardham Temple,0.81,candidate,has coordinates; high-value type; strong travel term,26.90222,75.74062,Nahargarh Fort,asia/india/rajasthan/jaipur/nahargarh_fort,0.452,6.954,7.909,needs_external_source,,https://en.wikivoyage.org/wiki/Jaipur
asia/philippines/subic,Subic,Subic,11,39,see,Volunteers Park,0.81,candidate,has coordinates; high-value type; strong travel term,14.8262,120.2809,Neptune's Bar,asia/philippines/subic/neptunes_bar,0.5,2.917,7.577,needs_external_source,,https://en.wikivoyage.org/wiki/Subic
africa/tunisia/monastir,Monastir,Monastir,5,28,see,Ancient ruins,0.81,candidate,has coordinates; high-value type; strong travel term,35.7872,10.83384,Monastir Medina,africa/tunisia/monastir/medina,0.357,1.695,1.901,needs_external_source,,https://en.wikivoyage.org/wiki/Monastir
europe/netherlands/dezaanseschans,De Zaanse Schans,Zaanse Schans,0,20,see,Bakery Museum In De Gecroonde Duijvekater,0.81,candidate,has coordinates; high-value type; strong travel term,52.47319,4.81773,,,0.0,,0.077,needs_external_source,,https://en.wikivoyage.org/wiki/Zaanse_Schans
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Queen's Park,0.81,candidate,has coordinates; high-value type; strong travel term,55.8313,-4.2692,Kelvingrove Park,europe/unitedkingdom/scotland/glasgow/kelvingrove_park,0.5,4.369,3.526,needs_external_source,,https://en.wikivoyage.org/wiki/Glasgow
northamerica/unitedstates/mississippi/tupelo,Tupelo,Tupelo,0,14,do,Tupelo Flea Market,0.81,candidate,has coordinates; high-value type; strong travel term,34.28417,-88.77444,,,0.0,,7.166,needs_external_source,,https://en.wikivoyage.org/wiki/Tupelo
northamerica/unitedstates/florida/orlando,Orlando,Orlando,24,96,do,Fort Gatlin Recreation Complex,0.81,candidate,has coordinates; high-value type; strong travel term,28.50737,-81.35403,International Drive,northamerica/unitedstates/florida/orlando/international_drive,0.449,13.673,4.572,needs_external_source,,https://en.wikivoyage.org/wiki/Orlando
asia/turkey/cappadocia/avanos,Avanos,Avanos,4,12,see,Virgin Mary Church,0.81,candidate,has coordinates; high-value type; strong travel term,38.7098,34.825,Kizilirmak River,asia/turkey/cappadocia/avanos/kizilirmak_river,0.353,18.085,18.086,needs_external_source,,https://en.wikivoyage.org/wiki/Avanos
northamerica/unitedstates/newjersey/atlanticcity,Atlantic City,Atlantic City,5,36,see,World War I Memorial,0.81,candidate,has coordinates; high-value type; strong travel term,39.3514,-74.4553,The Boardwalk,northamerica/unitedstates/newjersey/atlanticcity/the_boardwalk,0.345,2.944,3.13,needs_external_source,,https://en.wikivoyage.org/wiki/Atlantic_City
australiaandpacific/australia/victoria/geelong,Geelong,Geelong,13,13,see,Geelong Maritime Museum,0.81,candidate,has coordinates; high-value type; strong travel term,-38.1187,144.358,Geelong Gallery,australiaandpacific/australia/victoria/geelong/geelong_gallery,0.526,8480.404,3.406,needs_external_source,,https://en.wikivoyage.org/wiki/Geelong
europe/unitedkingdom/scotland/northberwick,North Berwick,North Berwick,15,21,see,National Museum of Flight,0.81,candidate,has coordinates; high-value type; strong travel term,55.995,-2.723,North Berwick West Links,europe/unitedkingdom/scotland/northberwick/north_berwick_west_links,0.327,7.353,7.018,needs_external_source,,https://en.wikivoyage.org/wiki/North_Berwick
northamerica/unitedstates/louisiana/monroe,Monroe,Monroe (Louisiana),8,16,do,Restoration Park,0.81,candidate,has coordinates; high-value type; strong travel term,32.50797,-92.17257,Chennault Aviation and Military Museum,northamerica/unitedstates/louisiana/monroe/chennault_museum,0.37,12.076,4.935,needs_external_source,,https://en.wikivoyage.org/wiki/Monroe_%28Louisiana%29
asia/srilanka/colombo,Colombo,Colombo,25,116,see,Slave Island,0.81,candidate,has coordinates; high-value type; strong travel term,6.9245,79.8506,Sky Lounge (Hilton),asia/srilanka/colombo/rooftop_bar_clock,0.511,0.489,1.205,needs_external_source,,https://en.wikivoyage.org/wiki/Colombo
asia/iran/khoram_abad,Khorramabad,Khorramabad,4,9,see,Yafteh Cave,0.81,candidate,has coordinates; high-value type; strong travel term,33.508267,48.211456,Falak-ol-Aflak Castle,asia/iran/khoram_abad/falak_ol_aflak,0.375,13.443,13.577,needs_external_source,,https://en.wikivoyage.org/wiki/Khorramabad
asia/philippines/makati,Makati,Makati,9,59,see,Sultan Kudarat Monument,0.81,candidate,has coordinates; high-value type; strong travel term,14.55857,121.02654,Ayala Museum,asia/philippines/makati/ayala_museum,0.4,,0.618,needs_external_source,,https://en.wikivoyage.org/wiki/Makati
europe/russia/novgorod,Novgorod,Novgorod,11,58,see,Church of Theodore Stratilates on the Brook,0.81,candidate,has coordinates; high-value type; strong travel term,58.523056,31.293056,Church of the Transfiguration on Ilyina Street,europe/russia/novgorod/church_of_the_transfiguration,0.543,0.72,1.039,needs_external_source,,https://en.wikivoyage.org/wiki/Novgorod
asia/israel/nethanya,Netanya,Netanya,9,22,see,Netanya Market,0.81,candidate,has coordinates; high-value type; strong travel term,32.32937,34.85964,Independence Square,asia/israel/nethanya/independence_square,0.483,0.517,1.064,needs_external_source,,https://en.wikivoyage.org/wiki/Netanya
asia/turkey/erzincan,Erzincan,Erzincan,7,12,see,Grand Mosque,0.81,candidate,has coordinates; high-value type; strong travel term,39.7492,39.4973,Munzur Mountains,asia/turkey/erzincan/munzur_mountains,0.357,25.489,0.593,needs_external_source,,https://en.wikivoyage.org/wiki/Erzincan
asia/india/madhyapradesh/bhopal,Bhopal,Bhopal,7,24,see,Laxminarayan Temple,0.81,candidate,has coordinates; high-value type; strong travel term,23.25152,77.52374,Lake View Ranjit,asia/india/madhyapradesh/bhopal/lake_view_ranjit,0.4,14.033,12.462,needs_external_source,,https://en.wikivoyage.org/wiki/Bhopal
europe/poland/sosnowiec,Sosnowiec,Sosnowiec,5,51,see,Millennium Park (Park Tysiąclecia),0.81,candidate,has coordinates; high-value type; strong travel term,50.286111,19.085278,Zagłębie Sports Park,europe/poland/sosnowiec/zaglebie_sports_park,0.412,6.074,9.408,needs_external_source,,https://en.wikivoyage.org/wiki/Sosnowiec
asia/india/westbengal/digha,Digha,Digha,4,20,do,Amarabati Park,0.81,candidate,has coordinates; high-value type; strong travel term,21.6232,87.5041,Digha Beach,asia/india/westbengal/digha/digha_beach,0.545,0.455,0.43,needs_external_source,,https://en.wikivoyage.org/wiki/Digha
asia/china/zhejiang/yiwu,Yiwu,Yiwu,3,10,see,Chouzhou Park,0.81,candidate,has coordinates; high-value type; strong travel term,29.297458,120.075797,Hengdian World Studios,asia/china/zhejiang/yiwu/hengdian_world_studios,0.171,21.811,2.156,needs_external_source,,https://en.wikivoyage.org/wiki/Yiwu
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Mongol Art Gallery,0.81,candidate,has coordinates; high-value type; strong travel term,47.904528,106.948806,Gandantegchinlen Monastery,asia/mongolia/ulaanbaatar/gandan_monastery,0.364,4.508,2.785,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Cathedral of the Assumption of the Blessed Virgin Mary,0.81,candidate,has coordinates; high-value type; strong travel term,44.7944,20.4752,Cathedral of Saint Archangel Michael,europe/serbia/belgrade/cathedral_of_saint_michael,0.463,3.2,3.289,needs_external_source,,https://en.wikivoyage.org/wiki/Belgrade
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Marshall Zhukov House Museum,0.81,candidate,has coordinates; high-value type; strong travel term,47.917972,106.953,Chinggis Khaan National Museum,asia/mongolia/ulaanbaatar/chinggis_khaan_museum,0.414,2.883,2.631,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
europe/poland/sosnowiec,Sosnowiec,Sosnowiec,5,51,see,St Thomas the Apostle Church (Kościół św. Tomasza Apostoła),0.81,candidate,has coordinates; high-value type; strong travel term,50.2897736,19.1332573,Sielecki Castle,europe/poland/sosnowiec/sielecki_castle,0.359,1.587,6.205,needs_external_source,,https://en.wikivoyage.org/wiki/Sosnowiec
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Sir Thomas and Lady Dixon Park,0.81,candidate,has coordinates; high-value type; strong travel term,54.541,-5.983,Murals and Peace Walls,europe/unitedkingdom/northernireland/belfast/murals_and_peace_walls,0.385,8.069,7.233,needs_external_source,,https://en.wikivoyage.org/wiki/Belfast
europe/greece/kavala,Kavala,Kavala,14,95,do,Almyra Beach Bar,0.81,candidate,has coordinates; high-value type; strong travel term,40.7938,24.2471,Ammolofoi Beach,europe/greece/kavala/ammolofoi_beach,0.516,14.8,21.123,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
