world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/turkmenistan/mary,Mary,Mary,7,10,see,Pokrovskaya Church,0.51,candidate,high-value type; strong travel term,,,Erk Kala,asia/turkmenistan/mary/erk_kala,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mary
europe/latvia/ventspils,Ventspils,Ventspils,12,26,do,Knights Festival at the Castle,0.51,candidate,high-value type; strong travel term,,,Livonian Order Castle,europe/latvia/ventspils/livonian_castle,0.468,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ventspils
asia/palestinianauthority/hebron,Hebron,Hebron,5,34,see,Ibn Othman Mosque,0.51,candidate,high-value type; strong travel term,,,Hebron Old City Souq,asia/palestinianauthority/hebron/hebron_souq,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hebron
europe/russia/novgorod,Novgorod,Novgorod,11,58,see,Church of the Saint Great Martyr Fedor Stratilat on the Brook,0.51,candidate,high-value type; strong travel term,,,Church of the Transfiguration on Ilyina Street,europe/russia/novgorod/church_of_the_transfiguration,0.484,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Novgorod
europe/germany/saxonyanhalt/quedlinburg,Quedlinburg,Quedlinburg,14,26,see,Munzenberg Museum,0.51,candidate,high-value type; strong travel term,,,Quedlinburg Abbey (Stiftsberg),europe/germany/saxonyanhalt/quedlinburg/quedlinburg_abbey_stiftsberg,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Quedlinburg
africa/southafrica/kwazulu_natal,KwaZulu-Natal,KwaZulu-Natal,8,15,see,Oribi Gorge Nature Reserve,0.51,candidate,high-value type; strong travel term,,,Rorke's Drift,africa/southafrica/kwazulu_natal/rorkes_drift,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/KwaZulu-Natal
northamerica/unitedstates/colorado/cripple_creek,Cripple Creek,Cripple Creek,9,9,see,Pikes Peak Heritage Center at Cripple Creek,0.51,candidate,high-value type; strong travel term,,,Cripple Creek District Museum,northamerica/unitedstates/colorado/cripple_creek/cripple_creek_district_museum,0.361,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cripple_Creek
europe/czechrepublic/kutnahora,Kutná Hora,Kutná Hora,6,15,see,Sion castle ruins,0.51,candidate,high-value type; strong travel term,,,Italian Court,europe/czechrepublic/kutnahora/italian_court,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kutn%C3%A1_Hora
europe/slovakia/luenec,Lučenec,Lučenec,1,7,see,The Calvinist church,0.51,candidate,high-value type; strong travel term,,,Lučenec Synagogue,europe/slovakia/luenec/synagogue,0.182,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lu%C4%8Denec
asia/philippines/mindanaoisland/cagayandeoro,Cagayan de Oro,Cagayan de Oro,7,63,see,Macahambus Adventure Park,0.51,candidate,high-value type; strong travel term,,,Divisoria Market,asia/philippines/mindanaoisland/cagayandeoro/divisoria_market,0.341,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cagayan_de_Oro
