world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/lombok/giliislands/gili_air,Gili Air,Gili Air,0,21,do,Oceans 5 Dive Gili Air,0.89,candidate,has coordinates; has description; high-value type; has external URL,-8.363,116.082,,,0.0,,0.342,has_external_url,http://www.oceans5dive.com,https://en.wikivoyage.org/wiki/Gili_Air
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,do,Wahooz,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.5923,-116.40053,Idaho State Capitol,northamerica/unitedstates/idaho/boise/idaho_state_capitol,0.32,16.423,16.299,has_external_url,https://www.wahoozfunzone.com/,https://en.wikivoyage.org/wiki/Boise
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Danga Futsal Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.470962,103.696363,Sultan Abu Bakar Royal Museum,asia/malaysia/johorbahru/sultan_abu_bakar_museum,0.333,6.906,7.75,has_external_url,http://dangafutsaljb.webs.com/,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/panama/panamacity,Panama City,Panama City,10,65,see,Biomuseo,0.89,candidate,has coordinates; has description; high-value type; has external URL,8.93191,-79.54473,Amador Causeway,northamerica/panama/panamacity/amador_causeway,0.348,1.56,6.242,has_external_url,http://biomuseopanama.org/en,https://en.wikivoyage.org/wiki/Panama_City
europe/unitedkingdom/england/south_east/dover,Dover,Dover (England),7,17,see,Grand Shaft,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.120601,1.308271,Roman Painted House,europe/unitedkingdom/england/south_east/dover/roman_painted_house,0.4,0.604,0.619,has_external_url,https://doverwesternheights.org/visiting-the-grand-shaft/,https://en.wikivoyage.org/wiki/Dover_%28England%29
asia/vietnam/danang,Da Nang,Da Nang,4,80,see,Family Medical Practice,0.89,candidate,has coordinates; has description; high-value type; has external URL,16.06093,108.21534,Museum of Cham Sculpture,asia/vietnam/danang/museum_of_cham_sculpture,0.383,0.789,0.863,has_external_url,https://www.vietnammedicalpractice.com/doctors/dr-ngo-huy-linh/,https://en.wikivoyage.org/wiki/Da_Nang
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,do,Fallsview Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.0818,-79.08,Journey Behind the Falls,northamerica/canada/ontario/niagrafalls/journey_behind_falls,0.526,0.474,3.048,has_external_url,http://www.fallsviewcasinoresort.com,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/unitedstates/colorado/grandjunction,Grand Junction,Grand Junction,4,56,see,Grand Junction Jackalopes,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.07624,-108.55241,Colorado National Monument,northamerica/unitedstates/colorado/grandjunction/colorado_national_monument,0.51,14.472,1.443,has_external_url,https://gjjackalopes.com/,https://en.wikivoyage.org/wiki/Grand_Junction
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Leo's lekland,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.841893,17.722765,The Flogsta Scream,europe/sweden/uppsala/flogsta_scream,0.444,7.82,5.049,has_external_url,https://www.leoslekland.se/uppsala/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/mexico/chihuahua,Chihuahua,Chihuahua,7,27,do,Grutas de Nombre de Dios,0.89,candidate,has coordinates; has description; high-value type; has external URL,28.687323,-106.071283,Quinta Gameros,northamerica/mexico/chihuahua/quinta_gameros,0.5,6.134,6.035,has_external_url,https://www.zonaturistica.com/en/things-to-do-and-places-to-visit/1268/nombre-de-dios-grottoes-chihuahua.html,https://en.wikivoyage.org/wiki/Chihuahua
europe/germany/hessen/kassel,Kassel,Kassel,19,95,do,Kletterwald Kassel,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.30657,9.35417,Orangerie and Karlsaue,europe/germany/hessen/kassel/orangerie,0.4,10.201,10.039,has_external_url,http://www.kletterwald-kassel.de/,https://en.wikivoyage.org/wiki/Kassel
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,do,Pickin' in the Pines Bluegrass & Acoustic Music Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.14488,-111.691371,Wupatki National Monument,northamerica/unitedstates/arizona/flagstaff/wupatki_national_monument,0.256,53.133,6.986,has_external_url,http://pickininthepines.org/,https://en.wikivoyage.org/wiki/Flagstaff
northamerica/unitedstates/oregon/sunriver,Sunriver,Sunriver (Oregon),5,17,do,The SHARC,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.8801,-121.4325,Sunriver Nature Center,northamerica/unitedstates/oregon/sunriver/sunriver_nature_center,0.222,1.332,0.648,has_external_url,https://www.sunriversharc.com/,https://en.wikivoyage.org/wiki/Sunriver_%28Oregon%29
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Daegu Coffee & Shops Expo,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.907171,128.612725,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.417,7.726,4.106,has_external_url,http://coffeefair.co.kr,https://en.wikivoyage.org/wiki/Daegu
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,do,Escape Game Innsbruck,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.2578229,11.3961853,Triumphal Arch,europe/austria/innsbruck/triumphal_arch,0.468,0.532,0.88,has_external_url,https://escapegame-innsbruck.at/,https://en.wikivoyage.org/wiki/Innsbruck
europe/slovenia/bovec,Bovec,Bovec,4,15,do,HydroMania - Sports Agency Bovec,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.33823,13.56426,Kanin Ski Resort,europe/slovenia/bovec/kanin_ski_resort,0.348,5.643,0.911,has_external_url,https://www.hydromania.si/,https://en.wikivoyage.org/wiki/Bovec
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Stearns Collection of Musical Instruments,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.290306,-83.721,University of Michigan Museum of Art,northamerica/unitedstates/michigan/annarbor/university_of_michigan_museum_of_art,0.39,2.261,2.469,has_external_url,https://smtd.umich.edu/research-collections/stearns-collection-of-musical-instruments/,https://en.wikivoyage.org/wiki/Ann_Arbor
europe/italy/sicily/noto,Noto,Noto,9,22,see,Stazione di Noto,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.882598,15.074573,Chiesa di San Domenico,europe/italy/sicily/noto/chiesa_di_san_domenico,0.474,1.14,0.988,has_external_url,https://prm.rfi.it/qo_prm/QO_Partenze_SiPMR.aspx?Id=1783&lin=&dalle=00.00&alle=24.00&ora=00.00&guid=8c25ec7f-1f7c-4c49-9f8e-2cc1ea991565,https://en.wikivoyage.org/wiki/Noto
northamerica/mexico/toluca,Toluca,Toluca,13,22,do,Orquesta Sinfónica del Estado de México,0.89,candidate,has coordinates; has description; high-value type; has external URL,19.28827558268517,-99.662338,Toluca Cathedral,northamerica/mexico/toluca/toluca_cathedral,0.346,0.654,0.742,has_external_url,https://osem.edomex.gob.mx/,https://en.wikivoyage.org/wiki/Toluca
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,do,Bigfish Sports Fishing,0.89,candidate,has coordinates; has description; high-value type; has external URL,-3.959129,39.758386,Mombasa Motorsport Arena,africa/kenya/thecoast/mombasa/karting_and_beach,0.435,6.977,14.34,has_external_url,http://bigfish.co.ke/,https://en.wikivoyage.org/wiki/Mombasa
