world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Musée urbain Tony Garnier,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.7335,4.8628,Musée Gallo-Romain de Fourvière,europe/france/alpes/lyon/musee_gallo_romain,0.566,4.392,3.608,has_external_url,http://www.museeurbaintonygarnier.com/,https://en.wikivoyage.org/wiki/Lyon
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Museum Aarhus,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.158432,10.192927,Den Gamle By,europe/denmark/aarhus/den_gamle_by,0.565,0.435,1.604,has_external_url,http://www.dengamleby.dk/om/museum-aarhus/,https://en.wikivoyage.org/wiki/Aarhus
europe/italy/emiliaromagna/bologna,Bologna,Bologna,61,123,see,Parco Cavaioni,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.443286,11.303666,Pinacoteca Nazionale,europe/italy/emiliaromagna/bologna/pinacoteca_nazionale,0.588,7.167,6.414,has_external_url,http://www.ca-shin.com/?cat=23,https://en.wikivoyage.org/wiki/Bologna
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,St Chad's Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.48559,-1.89877,Newman Brothers Coffin Works,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/newman_brothers_coffin_works,0.628,0.372,0.707,has_external_url,http://www.stchadscathedral.org.uk/,https://en.wikivoyage.org/wiki/Birmingham
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Käthe Kollwitz Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.93665,6.946719,Kolumba Art Museum,europe/germany/northrhinewestphalia/cologne/kolumba,0.629,0.413,0.948,has_external_url,http://www.kollwitz.de/,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,Toledo Botanical Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.668056,-83.672222,Toledo Zoo and Aquarium,northamerica/unitedstates/ohio/toledo/toledo_zoo,0.565,8.736,11.292,has_external_url,https://metroparkstoledo.com/explore-your-parks/toledo-botanical-garden/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,do,Bell Rock Pathway / Vista,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.791497,-111.761611,Bell Rock,northamerica/unitedstates/arizona/sedona/bell_rock,0.562,2.917,8.603,has_external_url,http://www.fs.usda.gov/recarea/coconino/recreation/hiking/recarea/?recid=55230&actid=50,https://en.wikivoyage.org/wiki/Sedona
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,see,St. Martinskirche,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.603291,10.9989489,Stadtmuseum Erlangen,europe/germany/bavaria/erlangen/stadtmuseum_erlangen,0.626,0.374,2.026,has_external_url,http://www.erlangen-altstadt-evangelisch.de/,https://en.wikivoyage.org/wiki/Erlangen
europe/austria/villach,Villach,Villach,15,37,see,Parish Church of Villach-St. Jacob,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.6132,13.8456,Museum der Stadt Villach,europe/austria/villach/museum_der_stadt_villach,0.64,0.36,0.518,has_external_url,https://www.kath-kirche-kaernten.at/pfarren/pfarre/C3254,https://en.wikivoyage.org/wiki/Villach
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Greenbank Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.7808,-4.2967,Botanic Gardens,europe/unitedkingdom/scotland/glasgow/botanic_gardens,0.645,10.953,9.396,has_external_url,https://www.nts.org.uk/visit/places/greenbank-garden,https://en.wikivoyage.org/wiki/Glasgow
