world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/northrhinewestphalia/paderborn,Paderborn,Paderborn,7,20,do,PaderKletter Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.739675,8.734698,Pader Springs (Paderquellen),europe/germany/northrhinewestphalia/paderborn/pader_springs,0.533,1.477,2.738,has_external_url,http://www.kletterpark-gmbh.de/80.0.html,https://en.wikivoyage.org/wiki/Paderborn
europe/spain/spanishcostas/calpe,Calpe,Calpe,4,30,see,Parc Natural del Penyal d'Ifac,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.63761,0.07345,Penyal d'Ifac Natural Park,europe/spain/spanishcostas/calpe/penyal_difac,0.542,0.458,2.497,has_external_url,http://www.agricultura.gva.es/web/pn-penyal-d-ifac/planea-tu-visita,https://en.wikivoyage.org/wiki/Calpe
northamerica/unitedstates/pennsylvania/gettysburg,Gettysburg,Gettysburg,17,30,see,National Apple Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9287,-77.2541,Seminary Ridge Museum,northamerica/unitedstates/pennsylvania/gettysburg/seminary_ridge_museum,0.524,10.794,11.052,has_external_url,http://www.nationalapplemuseum.com/,https://en.wikivoyage.org/wiki/Gettysburg
europe/ireland/bray,Bray,Bray (Ireland),5,15,see,Festina Lente garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.2108,-6.1305,National Sea Life Centre,europe/ireland/bray/sea_life_centre,0.5,1.513,1.689,has_external_url,https://www.festinalente.ie/victorian-walled-garden/,https://en.wikivoyage.org/wiki/Bray_%28Ireland%29
europe/greece/xanthi,Xanthi,Xanthi,5,26,see,Monastery of Taxiarchon & Kaliva Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.148,24.8822,Folk Museum of Xanthi,europe/greece/xanthi/folk_museum,0.355,0.734,1.156,has_external_url,http://www.im-xanthis.gr/pameg-taksiarx/,https://en.wikivoyage.org/wiki/Xanthi
europe/unitedkingdom/england/eastern_england/greatyarmouth,Great Yarmouth,Great Yarmouth,10,40,do,Pleasure Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.5937,1.73608,Lydia Eva - Last Steam Drifter,europe/unitedkingdom/england/eastern_england/greatyarmouth/lydia_eva,0.333,1.521,1.53,has_external_url,http://pleasure-beach.co.uk,https://en.wikivoyage.org/wiki/Great_Yarmouth
europe/portugal/guimaraes,Guimarães,Guimarães,18,10,see,Casa de Sezim,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.42176,-8.3161,Castle of Guimarães,europe/portugal/guimaraes/castle_of_guimaraes,0.414,3.611,2.808,has_external_url,http://www.sezim.pt,https://en.wikivoyage.org/wiki/Guimar%C3%A3es
australiaandpacific/australia/westernaustralia/broome,Broome,Broome,7,20,see,Malcolm Douglas Crocodile Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-17.8788,122.3376,Broome Japanese Cemetery,australiaandpacific/australia/westernaustralia/broome/broome_japanese_cemetery,0.296,13.706,14.813,has_external_url,https://www.malcolmdouglas.com.au/,https://en.wikivoyage.org/wiki/Broome
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,Guangxi Science and Technology Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.814859866,108.3261553143,Guangxi Museum,asia/china/guangxi/nanning/guangxi_museum,0.549,0.681,1.258,has_external_url,http://www.gxkjg.com/,https://en.wikivoyage.org/wiki/Nanning
europe/denmark/ribe,Ribe,Ribe,21,34,do,Riplay,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.3328,8.7781,Ribe Cathedral,europe/denmark/ribe/ribe_cathedral,0.3,1.184,0.974,has_external_url,https://riplay.dk/,https://en.wikivoyage.org/wiki/Ribe
northamerica/unitedstates/mississippi/biloxi,Biloxi,Biloxi,8,27,see,Beauvoir,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.39305,-88.96944,Beauvoir — Jefferson Davis Home,northamerica/unitedstates/mississippi/biloxi/beauvoir,0.432,10.204,7.726,has_external_url,http://www.visitbeauvoir.org,https://en.wikivoyage.org/wiki/Biloxi
europe/hungary/sopron,Sopron,Sopron,9,234,see,Elizabeth Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68308,16.57213,Firewatch Tower,europe/hungary/sopron/firewatch_tower,0.375,0.938,1.987,has_external_url,http://www.sopronikirandulas.hu/sopron/erzsebet_kert.html,https://en.wikivoyage.org/wiki/Sopron
europe/czechrepublic/ceskebudejovice,České Budějovice,České Budějovice,9,26,do,Zoo Ohrada,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.0414,14.4228,South Bohemian Museum,europe/czechrepublic/ceskebudejovice/south_bohemian_museum,0.323,8.293,8.31,has_external_url,http://www.zoohluboka.cz/,https://en.wikivoyage.org/wiki/%C4%8Cesk%C3%A9_Bud%C4%9Bjovice
europe/russia/samara,Samara,Samara,7,48,see,Frunze House-Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.19122,50.09343,Samara Space Museum,europe/russia/samara/samara_space_museum,0.474,4.189,0.727,has_external_url,http://alabin.ru/,https://en.wikivoyage.org/wiki/Samara
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Skradin,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.81895,15.924025,,,0.0,,11.944,has_external_url,http://atpsi.hr/hr/?page_id=421,https://en.wikivoyage.org/wiki/Krka_National_Park
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,see,Discovery World Museum at Pier Wisconsin,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.036913,-87.895926,Milwaukee Art Museum,northamerica/unitedstates/wisconsin/milwaukee/milwaukee_art_museum,0.53,0.47,1.086,has_external_url,http://www.discoveryworld.org/,https://en.wikivoyage.org/wiki/Milwaukee
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,do,SunRay Park & Casino,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.701,-108.1021,Museum of Navajo Art and Culture,northamerica/unitedstates/newmexico/farmington/museum_of_navajo_art,0.37,10.144,10.821,has_external_url,https://www.sunraygaming.com/,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29
europe/hungary/gyor,Győr,Győr,13,201,see,Polish-Hungarian Friendship Monument,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6779,17.6361,ETO Park and River Promenade,europe/hungary/gyor/eto_park,0.469,1.014,0.637,has_external_url,http://www.kozterkep.hu/~/11742/,https://en.wikivoyage.org/wiki/Gy%C5%91r
asia/philippines/calamba,Calamba,Calamba,6,20,do,Republ1c Wakepark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.1983,121.0794,Mount Makiling,asia/philippines/calamba/mount_makiling,0.258,15.058,8.264,has_external_url,http://www.republ1cwakepark.com/,https://en.wikivoyage.org/wiki/Calamba
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,do,Midway Speedway Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.7372,-75.1387,Dewey Beach,northamerica/unitedstates/delaware/rehobothbeach/dewey_beach,0.387,7.43,5.313,has_external_url,http://www.midwayspeedwaypark.com/,https://en.wikivoyage.org/wiki/Rehoboth_Beach
