world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/romania/buzau,Buzău,Buzău,5,6,see,Banului Church,0.59,candidate,has description; high-value type; strong travel term,,,Buzău County Museum,europe/romania/buzau/buzau_county_museum,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Buz%C4%83u
asia/india/kerala/munnar,Munnar,Munnar,5,54,do,Munnar Carmelagiri Elephant Park,0.59,candidate,has description; high-value type; strong travel term,,,Eravikulam National Park,asia/india/kerala/munnar/eravikulam_national_park,0.393,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Munnar
europe/romania/deva,Deva,Deva,8,33,see,Reformed Church,0.59,candidate,has description; high-value type; strong travel term,,,Hunedoara County Prefecture,europe/romania/deva/hunedoara_county_prefecture,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deva
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Saerhu Scenic Area,0.59,candidate,has description; high-value type; strong travel term,,,Fushun War Criminals Management Centre,asia/china/liaoning/fushun/fushun_war_criminals_management_centre,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fushun
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,The Nunnery Complex,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza
asia/thailand/kohlanta,Koh Lanta,Ko Lanta,7,40,do,Beach hand tennis,0.59,candidate,has description; high-value type; strong travel term,,,Long Beach (Phra Ae),asia/thailand/kohlanta/long_beach,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Lanta
europe/slovakia/poprad,Poprad,Poprad,4,15,see,Gánovské travertíny,0.59,candidate,has description; high-value type; strong travel term,,,Spišská Sobota,europe/slovakia/poprad/spiska_sobota,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Poprad
europe/portugal/funchal,Funchal,Funchal,14,33,see,Nivarte Barber/Hairdresser,0.59,candidate,has description; high-value type; strong travel term,,,Monte Cable Car,europe/portugal/funchal/monte_cable_car,0.341,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Funchal
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Church of the Intercession of the Holy Virgin,0.59,candidate,has description; high-value type; strong travel term,,,Residence of Princess Ljubica,europe/serbia/belgrade/residence_of_princess_ljubica,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Belgrade
northamerica/unitedstates/texas/midland,Midland,Midland (Texas),4,33,do,Christmas at the Mansion,0.59,candidate,has description; high-value type; strong travel term,,,Permian Basin Petroleum Museum,northamerica/unitedstates/texas/midland/permian_basin_petroleum_museum,0.28,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Midland_%28Texas%29
europe/germany/northrhinewestphalia/dusseldorf,Dusseldorf,Düsseldorf,19,84,see,Zoo,0.59,candidate,has description; high-value type; strong travel term,,,Insel Hombroich,europe/germany/northrhinewestphalia/dusseldorf/inselhombroich,0.222,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/D%C3%BCsseldorf
asia/india/karnataka/shimoga,Shimoga,Shimoga,9,19,see,Kavaledurga Fort,0.59,candidate,has description; high-value type; strong travel term,,,Tunga Anicut,asia/india/karnataka/shimoga/tunga_anicut,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shimoga
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Houshi National Forest Park,0.59,candidate,has description; high-value type; strong travel term,,,Fushun War Criminals Management Centre,asia/china/liaoning/fushun/fushun_war_criminals_management_centre,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fushun
asia/thailand/lampang,Lampang,Lampang,0,26,see,Wat Phrathat Chom Ping,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lampang
europe/romania/ploiesti,Ploiești,Ploiești,4,57,do,Airsoft,0.59,candidate,has description; high-value type; strong travel term,,,Prahova County Art Museum,europe/romania/ploiesti/muzeul_de_arta,0.188,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ploie%C8%99ti
asia/china/guizhou/anshun,Anshun,Anshun,4,23,see,The Fuwen Miao temple,0.59,candidate,has description; high-value type; strong travel term,,,Anshun Old Town Market,asia/china/guizhou/anshun/anshun_old_town,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshun
europe/italy/friuliveneziagiulia/udine,Udine,Udine,18,9,see,Santa Maria di Castello,0.59,candidate,has description; high-value type; strong travel term,,,Gelateria dell'Orso,europe/italy/friuliveneziagiulia/udine/gelateria_orso,0.524,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Udine
northamerica/mexico/mexicocity,Mexico City,Mexico City,52,141,see,Museum of Modern Art,0.59,candidate,has description; high-value type; strong travel term,,,Museo Mural Diego Rivera,northamerica/mexico/mexicocity/museo_mural_diego_rivera,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexico_City
asia/myanmar/yangon,Yangon,Yangon,21,140,do,Dallah Ferry,0.59,candidate,has description; high-value type; strong travel term,,,Kandawgyi Lake,asia/myanmar/yangon/kandawgyi_lake,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
europe/czechrepublic/ostrava,Ostrava,Ostrava,14,28,see,Landek hill,0.59,candidate,has description; high-value type; strong travel term,,,New City Hall,europe/czechrepublic/ostrava/new_city_hall,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ostrava
northamerica/mexico/morelia,Morelia,Morelia,15,45,do,Parque Nacional Insurgente José María Morelos,0.59,candidate,has description; high-value type; strong travel term,,,Casa Natal de Morelos,northamerica/mexico/morelia/museo_jose_maria_morelos,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Morelia
asia/china/hubei/enshi,Enshi,Enshi,4,42,do,Diao zhabing,0.59,candidate,has description; high-value type; strong travel term,,,Tusi City,asia/china/hubei/enshi/tusi_city,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Enshi
