world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/japan/honshu/nagahama,Nagahama,Nagahama,9,20,do,Art in Nagahama,0.59,candidate,has description; high-value type; strong travel term,,,Nagahama Castle,asia/japan/honshu/nagahama/nagahama_castle,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nagahama
northamerica/unitedstates/florida/keywest,Key West,Key West,10,59,do,Astro City,0.59,candidate,has description; high-value type; strong travel term,,,Key West Cemetery,northamerica/unitedstates/florida/keywest/key_west_cemetery,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Key_West
asia/china/henan_province/xinxiang,Xinxiang,Xinxiang,4,36,see,Qiu Gully Scenic Spot,0.59,candidate,has description; high-value type; strong travel term,,,Wanxianshan Scenic Area,asia/china/henan_province/xinxiang/wanxianshan_scenic_area,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xinxiang
asia/thailand/chantaburi/chanta_buri,Chantaburi,Chanthaburi,14,20,see,Khao Laem Sing Forest Park,0.59,candidate,has description; high-value type; strong travel term,,,King Taksin Park,asia/thailand/chantaburi/chanta_buri/king_taksin_park,0.524,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/leeds,Leeds,Leeds,12,24,do,Opera in the Park,0.59,candidate,has description; high-value type; strong travel term,,,Roundhay Park,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/leeds/roundhay_park,0.538,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leeds
europe/spain/andalucia/chipiona,Chipiona,Chipiona,11,14,do,Beach of Camarón-La Laguna,0.59,candidate,has description; high-value type; strong travel term,,,Bar Madrigal,europe/spain/andalucia/chipiona/bar_madrigal,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chipiona
northamerica/mexico/oaxaca,Oaxaca,Oaxaca (city),13,93,do,Día de Muertos,0.59,candidate,has description; high-value type; strong travel term,,,Mercado Benito Juárez,northamerica/mexico/oaxaca/mercado_benito_juarez,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oaxaca_%28city%29
asia/pakistan/sialkot,Sialkot,Sialkot,2,27,see,Sozo water park,0.59,candidate,has description; high-value type; strong travel term,,,Sights in Sialkot,asia/pakistan/sialkot/sights,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sialkot
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,do,Beach #6 (Muscle Beach),0.59,candidate,has description; high-value type; strong travel term,,,No. 1 Bathing Beach,asia/china/shandong_province/qingdao/no1_bathing_beach,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Zhejiang West Lake Gallery,0.59,candidate,has description; high-value type; strong travel term,,,West Lake (Xihu),asia/china/zhejiang/hangzhou/west_lake,0.514,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Hangzhou Zoo,0.59,candidate,has description; high-value type; strong travel term,,,Hefang Street (Qinghefang Old Street),asia/china/zhejiang/hangzhou/hefang_street,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/malaysia/kotabharu,Kota Bharu,Kota Bharu,12,12,see,Muzium Adat Istiadat Diraja Kelantan,0.59,candidate,has description; high-value type; strong travel term,,,Four Seasons Restaurant,asia/malaysia/kotabharu/fourseasonsrestaurant,0.373,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Bharu
