world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/indiana/richmond,Richmond,Richmond (Indiana),7,14,see,Abram Gaar House and Farm,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.849167,-84.866667,Richmond Art Museum,northamerica/unitedstates/indiana/richmond/richmond_art_museum,0.409,3.456,3.019,has_external_url,https://visitrichmond.org/listing/gaar-house-and-farm-museum/,https://en.wikivoyage.org/wiki/Richmond_%28Indiana%29
northamerica/unitedstates/california/calistoga,Calistoga,Calistoga,7,27,do,Bale Grist Mill State Historic Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5414,-122.5083,Bothe-Napa Valley State Park,northamerica/unitedstates/california/calistoga/bothe_napa_valley_state_park,0.54,1.274,7.473,has_external_url,https://www.parks.ca.gov/?page_id=482,https://en.wikivoyage.org/wiki/Calistoga
europe/france/nord/lille,Lille,Lille,22,79,see,LAM - Lille Art Modern Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.637444,3.150336,Charles de Gaulle Birthplace Museum,europe/france/nord/lille/charles_de_gaulle_birthplace,0.542,6.393,6.123,has_external_url,https://www.musee-lam.fr/en,https://en.wikivoyage.org/wiki/Lille
europe/poland/lodz,Łódź,Łódź,7,114,do,Łódź zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.7612,19.4124,Museum of Art (ms1),europe/poland/lodz/ms1,0.222,2.737,3.241,has_external_url,http://www.zoo.lodz.pl/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
asia/india/maharashtra/thane,Thane,Thane,4,32,do,Tikuji-Ni-Wadi,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.237,72.9695,Kopineshwar Mandir,asia/india/maharashtra/thane/kopineshwar_temple,0.438,4.956,2.267,has_external_url,http://www.tikuji-ni-wadi.com,https://en.wikivoyage.org/wiki/Thane
europe/netherlands/hilversum,Hilversum,Hilversum,16,69,see,Costerustuin,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.22817,5.16071,AVRO Studios,europe/netherlands/hilversum/avro_studios,0.509,0.491,0.886,has_external_url,http://www.costerustuin.nl/,https://en.wikivoyage.org/wiki/Hilversum
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Taiping Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.0191157528,120.6222279555,Taishun Covered Bridges,asia/china/zhejiang/wenzhou/taishun_covered_bridges,0.378,103.049,7.61,has_external_url,http://www.wztps.org/,https://en.wikivoyage.org/wiki/Wenzhou
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,Gothenburg Cathedral,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.70454,11.96528,Goteborgs Utkiken,europe/sweden/gothenburg/gteborgsutkiken,0.541,1.464,0.317,has_external_url,https://www.svenskakyrkan.se/gbgdomkyrko/domkyrkan,https://en.wikivoyage.org/wiki/Gothenburg
asia/taiwan/keelung,Keelung,Keelung,12,18,see,National Museum of Marine Science and Technology,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.1401,121.79857,Miaokou Daytime Seafood Stalls,asia/taiwan/keelung/miaokou_seafood_stalls,0.333,5.852,6.136,has_external_url,https://www.nmmst.gov.tw/enhtml/index.aspx,https://en.wikivoyage.org/wiki/Keelung
europe/unitedkingdom/scotland/perth,Perth,Perth (Scotland),7,41,see,Elcho Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.3719,-3.3564,Perth Museum,europe/unitedkingdom/scotland/perth/perth_museum,0.25,5.227,5.273,has_external_url,https://www.historicenvironment.scot/visit-a-place/places/elcho-castle/,https://en.wikivoyage.org/wiki/Perth_%28Scotland%29
europe/unitedkingdom/northernireland/cookstown,Cookstown,Cookstown,12,26,see,Drum Manor Forest Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.6431,-6.8244,Ryann's Bar,europe/unitedkingdom/northernireland/cookstown/ryanns_bar,0.485,5.315,5.328,has_external_url,https://www.nidirect.gov.uk/articles/drum-manor-forest-park,https://en.wikivoyage.org/wiki/Cookstown
europe/unitedkingdom/england/south_east/reading,Reading,Reading (England),5,52,see,Silchester Roman Town,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.357222,-1.0825,The Hexagon,europe/unitedkingdom/england/south_east/reading/the_hexagon,0.357,12.973,12.527,has_external_url,https://www.english-heritage.org.uk/visit/places/silchester-roman-city-walls-and-amphitheatre/,https://en.wikivoyage.org/wiki/Reading_%28England%29
northamerica/unitedstates/westvirginia/harpersferry,Harpers Ferry,Harpers Ferry,5,12,do,Tubing Down the Shenandoah River,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.290834,-77.787757,John Brown's Fort,northamerica/unitedstates/westvirginia/harpersferry/john_browns_fort,0.4,6.162,5.956,has_external_url,https://www.rivertrail.com/tubing/tubing-shenandoah-river/,https://en.wikivoyage.org/wiki/Harpers_Ferry
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Palace Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.48307,21.52798,Main Square (Kossuth tér),europe/hungary/satoraljaujhely/main_square,0.417,13.506,13.525,has_external_url,https://www.facebook.com/karolyikastely.fuzerradvany.hivatalos/,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
northamerica/unitedstates/missouri/springfield,Springfield,Springfield (Missouri),8,48,see,Wonders of Wildlife National Museum & Aquarium,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.1814,-93.2965,History Museum on the Square,northamerica/unitedstates/missouri/springfield/history_museum_on_the_square,0.472,,3.773,has_external_url,http://www.wondersofwildlife.org,https://en.wikivoyage.org/wiki/Springfield_%28Missouri%29
northamerica/unitedstates/california/paloalto,Palo Alto,Palo Alto,20,45,do,Coal Creek Open Space Preserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3329,-122.2016,Foothills Nature Preserve,northamerica/unitedstates/california/paloalto/foothills_park,0.509,5.833,13.18,has_external_url,http://www.openspace.org/preserves/pr_coal_creek.asp,https://en.wikivoyage.org/wiki/Palo_Alto
northamerica/unitedstates/oregon/ashland,Ashland,Ashland (Oregon),5,45,do,Emigrant Lake,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.14934,-122.61629,Mount Ashland Ski Area,northamerica/unitedstates/oregon/ashland/mount_ashland,0.457,11.243,9.17,has_external_url,http://www.jacksoncountyparks.com/emigrant_lake.htm,https://en.wikivoyage.org/wiki/Ashland_%28Oregon%29
northamerica/unitedstates/northcarolina/wilmington,Wilmington,Wilmington (North Carolina),9,43,see,Stanley Rehder Carnivorous Plant Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.2064,-77.9069,USS North Carolina,northamerica/unitedstates/northcarolina/wilmington/uss_north_carolina,0.421,5.481,4.087,has_external_url,https://coastallandtrust.org/lands/rehdergarden/,https://en.wikivoyage.org/wiki/Wilmington_%28North_Carolina%29
