world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/pennsylvania/erie,Erie,Erie,12,36,do,Erie Wine Country,0.55,candidate,has description; high-value type,,,Erie Maritime Museum,northamerica/unitedstates/pennsylvania/erie/erie_maritime_museum,0.486,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Erie
asia/china/liaoning/anshan,Anshan,Anshan,4,37,see,Longtan Bay Scenic Area,0.55,candidate,has description; high-value type,,,Qianshan National Park,asia/china/liaoning/anshan/qianshan_national_park,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshan
southamerica/brazil/guratuba,Guaratuba,Guaratuba,7,14,do,Festa do Divino,0.55,candidate,has description; high-value type,,,Cristo Statue and Morro do Cristo,southamerica/brazil/guratuba/cristo_statue,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guaratuba
europe/germany/saarland/saarbrucken,Saarbrücken,Saarbrücken,7,39,do,Jazz-Festival,0.55,candidate,has description; high-value type,,,Saarbrücken Castle,europe/germany/saarland/saarbrucken/saarbrucken_castle,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saarbr%C3%BCcken
asia/india/sikkim/gangtok,Gangtok,Gangtok,8,29,see,Flower show,0.55,candidate,has description; high-value type,,,Do-drul Chorten Stupa,asia/india/sikkim/gangtok/do_drul_chorten,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gangtok
asia/thailand/mae_sariang,Mae Sariang,Mae Sariang,11,9,do,Authentic Hilltribe villages,0.55,candidate,has description; high-value type,,,Yuam Riverside Bar,asia/thailand/mae_sariang/yuam_riverside_bar,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mae_Sariang
asia/turkey/ephesus,Ephesus,Ephesus,11,15,see,Arcadiane,0.55,candidate,has description; high-value type,,,Public Latrines,asia/turkey/ephesus/public_latrines,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ephesus
europe/italy/emiliaromagna/bologna,Bologna,Bologna,61,123,do,Estragon,0.55,candidate,has description; high-value type,,,Strada Maggiore,europe/italy/emiliaromagna/bologna/strada_maggiore,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bologna
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,see,Bass Rock,0.55,candidate,has description; high-value type,,,Black Point,northamerica/unitedstates/rhodeisland/narragansett/black_point,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Narragansett
europe/france/alpes/lyon,Lyon,Lyon,21,156,do,CNP,0.55,candidate,has description; high-value type,,,Le Mur des Canuts,europe/france/alpes/lyon/mur_des_canuts,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lyon
europe/italy/calabria/reggiocalabria,Reggio di Calabria,Reggio Calabria,5,20,see,Pentedattilo,0.55,candidate,has description; high-value type,,,Chiesa degli Ottimati,europe/italy/calabria/reggiocalabria/chiesa_degli_ottimati,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Reggio_Calabria
northamerica/canada/novascotia/lunenburg,Lunenburg,Lunenburg,4,9,see,Sophie McLachlan's grave,0.55,candidate,has description; high-value type,,,Fisheries Museum of the Atlantic,northamerica/canada/novascotia/lunenburg/fisheries_museum_of_the_atlantic,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lunenburg
asia/india/uttarpradesh/rishikesh,Rishikesh,Rishikesh,7,26,do,Mukeshji's Jungle Vibes,0.55,candidate,has description; high-value type,,,Ram Jhula,asia/india/uttarpradesh/rishikesh/ram_jhula,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rishikesh
europe/montenegro/kotor,Kotor,Kotor,36,21,do,Stroll on the wall around Kotor,0.55,candidate,has description; high-value type,,,Ladder of Kotor,europe/montenegro/kotor/ladder_of_kotor,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kotor
southamerica/brazil/diamantina,Diamantina,Diamantina,9,12,see,Capela Imperial do Amparo,0.55,candidate,has description; high-value type,,,Mercado Municipal,southamerica/brazil/diamantina/mercado_municipal,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Diamantina
asia/india/rajasthan/jaisalmer,Jaisalmer,Jaisalmer,18,22,see,Sunset point,0.55,candidate,has description; high-value type,,,Desert Boy's Dhani,asia/india/rajasthan/jaisalmer/desert_boy_dhani,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jaisalmer
northamerica/unitedstates/southdakota/madison,Madison,Madison (South Dakota),3,14,see,John C. Green Art Studio,0.55,candidate,has description; high-value type,,,Dakota State University,northamerica/unitedstates/southdakota/madison/dakota_state_university,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Madison_%28South_Dakota%29
asia/philippines/manila,Manila,Manila,39,7,see,Bahay Tsinoy,0.55,candidate,has description; high-value type,,,Alda's,asia/philippines/manila/aldas,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manila
asia/philippines/mindanaoisland/davao,Davao,Davao,38,40,see,Camp Holiday Resort and Recreation Area,0.55,candidate,has description; high-value type,,,Mount Apo National Park,asia/philippines/mindanaoisland/davao/mount_apo,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Davao
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,see,Marine Drive,0.55,candidate,has description; high-value type,,,La Martinière College,asia/india/uttarpradesh/lucknow/la_martiniere,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow
asia/china/liaoning/panjin,Panjin,Panjin,3,11,see,The Zhang's Cemetery,0.55,candidate,has description; high-value type,,,Red Beach Scenic Area,asia/china/liaoning/panjin/red_beach_scenic_area,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Panjin
europe/italy/veneto/cortina_dampezzo,Cortina d'Ampezzo,Cortina d'Ampezzo,10,66,do,Tre Cime,0.55,candidate,has description; high-value type,,,Ristorante Tivoli,europe/italy/veneto/cortina_dampezzo/ristorante_tivoli,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cortina_d%27Ampezzo
africa/tunisia/dougga,Dougga,Dougga,9,14,see,Marketplace.,0.55,candidate,has description; high-value type,,,Libyco-Punic Mausoleum,africa/tunisia/dougga/libyco_punic_mausoleum,0.242,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dougga
asia/china/hunan/huaihua,Huaihua,Huaihua,3,22,do,Jingzhou Miao and Dong Autonomous County,0.55,candidate,has description; high-value type,,,Qianyang Ancient City,asia/china/hunan/huaihua/qianyang_ancient_city,0.393,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huaihua
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Russia,0.55,candidate,has description; high-value type,,,Zaisan Memorial,asia/mongolia/ulaanbaatar/zaisan_memorial,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
europe/germany/badenwrttemberg/heidelberg,Heidelberg,Heidelberg,10,46,do,Halle 02,0.55,candidate,has description; high-value type,,,Castle Garden,europe/germany/badenwrttemberg/heidelberg/castlegarden,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Heidelberg
europe/germany/bavaria/passau,Passau,Passau,7,37,see,Vienna,0.55,candidate,has description; high-value type,,,Neue Residenz (Episcopal Palace),europe/germany/bavaria/passau/neue_residenz,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Passau
northamerica/unitedstates/utah/hurricane,Hurricane,Hurricane (Utah),6,8,see,Mollie's Nipple,0.55,candidate,has description; high-value type,,,Hurricane Canal,northamerica/unitedstates/utah/hurricane/hurricane_canal,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hurricane_%28Utah%29
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,The English Corner,0.55,candidate,has description; high-value type,,,Hefang Street (Qinghefang Old Street),asia/china/zhejiang/hangzhou/hefang_street,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
northamerica/unitedstates/florida/keywest,Key West,Key West,10,59,do,Lobsterfest,0.55,candidate,has description; high-value type,,,Southernmost Point Buoy,northamerica/unitedstates/florida/keywest/southernmost_point,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Key_West
asia/china/guangdong/zhuhai,Zhuhai,Zhuhai,6,68,do,"Swim, sunbathe or go diving",0.55,candidate,has description; high-value type,,,Island Seafood Villages,asia/china/guangdong/zhuhai/island_seafood,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zhuhai
europe/latvia/riga,Riga,Riga,15,33,do,Easter,0.55,candidate,has description; high-value type,,,Art Nouveau District,europe/latvia/riga/art_nouveau_district,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Riga
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Nikkei Matsuri,0.55,candidate,has description; high-value type,,,Eating Out,northamerica/unitedstates/california/sanjose/eating_out,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/spain/catalonia/sabadell,Sabadell,Sabadell,10,29,see,Sant Nicolau chappel,0.55,candidate,has description; high-value type,,,Estadi de la Nova Creu Alta,europe/spain/catalonia/sabadell/nova_creu_alta,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sabadell
asia/thailand/surin_province/surin,Surin,Surin,6,21,do,Ordination parade on elephant's back,0.55,candidate,has description; high-value type,,,Ban Ta Klang — Elephant Village,asia/thailand/surin_province/surin/ban_ta_klang,0.523,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Surin
europe/germany/northrhinewestphalia/wuppertal,Wuppertal,Wuppertal,5,15,do,Lange Tafel,0.55,candidate,has description; high-value type,,,Engels-Haus,europe/germany/northrhinewestphalia/wuppertal/engels_haus,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wuppertal
europe/unitedkingdom/england/birmingham_and_west_midlands/churchstretton,Church Stretton,Church Stretton,8,14,do,Flying,0.55,candidate,has description; high-value type,,,Long Mynd,europe/unitedkingdom/england/birmingham_and_west_midlands/churchstretton/long_mynd,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Church_Stretton
