world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/france/midi/provence/arles,Arles,Arles,12,22,see,Les Moulins d'Alphonse Daudet,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.72089,4.712607,Musée Réattu,europe/france/midi/provence/arles/musee_reattu,0.432,8.231,8.138,has_external_url,https://www.saint-remy-de-provence.com/moulin-de-daudet/,https://en.wikivoyage.org/wiki/Arles
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,United States of America,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.46658,30.43061,Golden Gate of Kyiv,europe/ukraine/kyiv/golden_gate,0.465,6.206,6.87,has_external_url,https://ua.usembassy.gov/,https://en.wikivoyage.org/wiki/Kyiv
europe/hungary/sopron,Sopron,Sopron,9,234,see,Arany Angyal Inn,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.68572,16.59341,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.414,0.586,0.706,has_external_url,http://muemlekem.hu/muemlek?id=5059,https://en.wikivoyage.org/wiki/Sopron
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,River canoeing,0.89,candidate,has coordinates; has description; high-value type; has external URL,56.15539,10.19337,ARoS Aarhus Art Museum,europe/denmark/aarhus/aros,0.542,0.458,1.398,has_external_url,https://aarhuskanoudlejning.dk/home,https://en.wikivoyage.org/wiki/Aarhus
europe/norway/arendal,Arendal,Arendal,6,21,do,Merdø,0.89,candidate,has coordinates; has description; high-value type; has external URL,58.4248413,8.8019162,Merdø Island,europe/norway/arendal/merdo_island,0.533,2.872,8.447,has_external_url,https://www.visitnorway.com/places-to-go/southern-norway/arendal/listings-arendal/visit-on-merd%C3%B8-island/5146/?lang=usa,https://en.wikivoyage.org/wiki/Arendal
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,do,Sportsmens Tavern,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.937741,-78.891782,Spot Coffee,northamerica/unitedstates/newyorkstate/buffalo/spot_coffee,0.429,2.644,5.814,has_external_url,http://www.sportsmenstavern.com,https://en.wikivoyage.org/wiki/Buffalo
australiaandpacific/australia/westernaustralia/broome,Broome,Broome,7,20,do,Broome Bird Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,-17.9751,122.3449,Broome Japanese Cemetery,australiaandpacific/australia/westernaustralia/broome/broome_japanese_cemetery,0.511,12.679,12.949,has_external_url,http://broomebirdobservatory.com/,https://en.wikivoyage.org/wiki/Broome
europe/unitedkingdom/england/south_east/bognorregis,Bognor Regis,Bognor Regis,5,8,do,Bersted Brooks,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.805554,-0.677274,Butlin's Bognor Regis,europe/unitedkingdom/england/south_east/bognorregis/butlins_bognor_regis,0.4,2.483,2.47,has_external_url,https://www.woodlandtrust.org.uk/visiting-woods/wood/24626/the-bersted-brooks/,https://en.wikivoyage.org/wiki/Bognor_Regis
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,The Golf Dome,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.84757,-97.20172,Forks Market,northamerica/canada/manitoba/winnipeg/forksmarket,0.381,6.722,7.0,has_external_url,http://www.golfdome.ca,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/unitedstates/illinois/peoria,Peoria,Peoria (Illinois),15,28,do,Par-a-dice Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.6791,-89.5652,Caterpillar Visitors Center,northamerica/unitedstates/illinois/peoria/caterpillar_visitors_center,0.381,2.546,2.602,has_external_url,http://www.paradicecasino.com/,https://en.wikivoyage.org/wiki/Peoria_%28Illinois%29
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Love Fun Baking House,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.541915,103.801399,Sultan Abu Bakar Royal Museum,asia/malaysia/johorbahru/sultan_abu_bakar_museum,0.44,10.882,10.154,has_external_url,https://www.facebook.com/pg/lovefunbakinghouse,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/norway/lofotenislands/vaeroy,Værøy,Værøy,4,12,see,Turistkontor ferjekaia,0.89,candidate,has coordinates; has description; high-value type; has external URL,67.65244,12.70925,Eagle-Hunting Caves,europe/norway/lofotenislands/vaeroy/eagle_caves,0.244,1.061,0.763,has_external_url,http://www.varoy.kommune.no,https://en.wikivoyage.org/wiki/V%C3%A6r%C3%B8y
asia/japan/honshu/hakone,Hakone,Hakone,15,17,do,Tenzan Tōjigō,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.224931,139.088341,Hakone Tozan Railway,asia/japan/honshu/hakone/hakone_tozan_railway,0.375,1.762,6.799,has_external_url,http://tenzan.jp/,https://en.wikivoyage.org/wiki/Hakone
europe/germany/mecklenburgwesternpomerania/rostock,Rostock,Rostock,10,36,do,KTV,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.0898,12.1245,Volkstheater Rostock,europe/germany/mecklenburgwesternpomerania/rostock/volkstheater,0.524,0.476,1.02,has_external_url,https://www.rostock.m-vp.de/kiez-rostock-kroepeliner-tor-vorstadt-ktv/,https://en.wikivoyage.org/wiki/Rostock
northamerica/unitedstates/maryland/rock_hall,Rock Hall,Rock Hall,7,10,do,Shardana Sailing Charters,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.1434,-76.2522,Passages,northamerica/unitedstates/maryland/rock_hall/passages,0.364,1.282,1.597,has_external_url,https://www.shardanasailing.com,https://en.wikivoyage.org/wiki/Rock_Hall
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,do,Paddan,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.703631,11.969978,Rohsska Museet,europe/sweden/gothenburg/rhsskamuseet,0.545,0.455,0.437,has_external_url,https://www.stromma.com/en-se/gothenburg/sightseeing/sightseeing-by-boat/the-paddan-tour/,https://en.wikivoyage.org/wiki/Gothenburg
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Cenote Ik Kil,0.89,candidate,has coordinates; has description; high-value type; has external URL,20.66657,-88.548324,,,0.0,,2.789,has_external_url,https://cenoteikkil.com/,https://en.wikivoyage.org/wiki/Chichen_Itza
europe/finland/lahti,Lahti,Lahti,11,61,do,Menovene,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.0021323,25.6340348,Mustankallio Water Tower,europe/finland/lahti/mustankallio_water_tower,0.312,2.296,2.621,has_external_url,https://www.menovene.com,https://en.wikivoyage.org/wiki/Lahti
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,do,Flat Tire Bike Shop,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.831872,-111.947691,,,0.0,,0.2,has_external_url,http://flattirebikes.com/,https://en.wikivoyage.org/wiki/Cave_Creek
northamerica/canada/britishcolumbia/victoria,Victoria,Victoria (British Columbia),12,87,see,Oak Bay Village,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.4265,-123.316,Fan Tan Alley,northamerica/canada/britishcolumbia/victoria/fan_tan_alley,0.5,3.84,3.666,has_external_url,https://www.oakbaytourism.com/,https://en.wikivoyage.org/wiki/Victoria_%28British_Columbia%29
northamerica/unitedstates/washington/bellingham,Bellingham,Bellingham (Washington),17,65,do,Deming Log Show,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.8485,-122.31345,Village Books,northamerica/unitedstates/washington/bellingham/village_books,0.357,20.279,16.006,has_external_url,https://demingloggingshow.com/,https://en.wikivoyage.org/wiki/Bellingham_%28Washington%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,The Climbing Works,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.351625,-1.484941,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.288,0.712,3.378,has_external_url,https://www.climbingworks.com/,https://en.wikivoyage.org/wiki/Sheffield
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,do,Planet Rock,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.2831,-83.8089,The Ark,northamerica/unitedstates/michigan/annarbor/the_ark,0.429,4.955,4.972,has_external_url,http://www.planet-rock.com,https://en.wikivoyage.org/wiki/Ann_Arbor
northamerica/unitedstates/alabama/montgomery,Montgomery,Montgomery,24,41,see,Huntingdon College,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.35104,-86.28535,Hank Williams' Grave,northamerica/unitedstates/alabama/montgomery/hank_williams_grave,0.378,4.904,3.71,has_external_url,https://www.huntingdon.edu/,https://en.wikivoyage.org/wiki/Montgomery
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Wagenhallen,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.79999,9.18563,Travellers Club,europe/germany/badenwrttemberg/stuttgart/travellersclub,0.385,3.22,2.43,has_external_url,http://www.wagenhallen.de/,https://en.wikivoyage.org/wiki/Stuttgart
southamerica/peru/iquitos,Iquitos,Iquitos,8,28,see,Pilpintuwasi Butterfly Farm & Amazon Animal Orphanage,0.89,candidate,has coordinates; has description; high-value type; has external URL,-3.704,-73.2824,Pacaya-Samiria National Reserve,southamerica/peru/iquitos/pacaya_samiria,0.349,250.419,6.573,has_external_url,http://www.amazonanimalorphanage.org,https://en.wikivoyage.org/wiki/Iquitos
northamerica/unitedstates/california/orangecounty/lagunabeach,Laguna Beach,Laguna Beach,8,34,see,Festival of Arts,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.59158,-117.75948,Sawdust Art Festival,northamerica/unitedstates/california/orangecounty/lagunabeach/sawdust_art_festival,0.444,4.886,5.942,has_external_url,http://www.lagunafestivalofarts.com/,https://en.wikivoyage.org/wiki/Laguna_Beach
asia/indonesia/java/bogor,Bogor,Bogor,6,30,see,Sentul International Circuit,0.89,candidate,has coordinates; has description; high-value type; has external URL,-6.536694,106.857333,Bogor Botanical Gardens (Kebun Raya Bogor),asia/indonesia/java/bogor/bogor_botanical_gardens,0.235,9.394,9.384,has_external_url,https://sentulinternationalcircuit.com/,https://en.wikivoyage.org/wiki/Bogor
