world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/bolivia/cochabamba,Cochabamba,Cochabamba,5,48,do,Sustainable Bolivia,0.89,candidate,has coordinates; has description; high-value type; has external URL,-17.3916,-66.146,Chicharronería Doña Pola,southamerica/bolivia/cochabamba/dona_pola,0.359,1.024,1.17,has_external_url,http://www.sustainablebolivia.org,https://en.wikivoyage.org/wiki/Cochabamba
northamerica/unitedstates/oregon/grantspass,Grants Pass,Grants Pass,9,41,do,Hellgate Jetboat Excursions,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.4283,-123.3317,Grants Pass City Hall and Fire Station,northamerica/unitedstates/oregon/grantspass/grants_pass_city_hall,0.369,1.22,1.288,has_external_url,https://hellgate.com/,https://en.wikivoyage.org/wiki/Grants_Pass
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,do,Aquapark Maiak,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.23163,28.40397,Podillya Dendropark,europe/ukraine/vinnista/podillya_dendropark,0.303,1.943,4.667,has_external_url,http://aquapark-mayak.vn.ua/,https://en.wikivoyage.org/wiki/Vinnytsia
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Little Paris,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.567033,103.777025,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.323,10.698,12.177,has_external_url,https://www.facebook.com/LittleParisAtMountAustinIskandar/,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/laos/luangnamtha,Luang Namtha,Luang Namtha,8,12,do,The Hiker,0.89,candidate,has coordinates; has description; high-value type; has external URL,21.00164,101.4099,Luang Namtha Museum,asia/laos/luangnamtha/luang_namtha_museum,0.505,0.495,0.663,has_external_url,https://thehikerlaos.com/,https://en.wikivoyage.org/wiki/Luang_Namtha
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/lincoln,Lincoln,Lincoln,19,18,see,Mrs Smith's Cottage,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.1085,-0.5245,Stokes High Bridge Café,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/lincoln/stokes_high_bridge,0.341,13.335,13.481,has_external_url,https://www.mrssmithscottage.com/,https://en.wikivoyage.org/wiki/Lincoln
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Austin International Convention Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.561328,103.775858,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.299,11.923,11.532,has_external_url,http://austinparkhotel.my/galleries?gid=4,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/nepal/kathmandu,Kathmandu,Kathmandu,48,43,see,Denmark,0.89,candidate,has coordinates; has description; high-value type; has external URL,27.72235,85.32248,Ganatantra Smarak (Democracy Memorial Park),asia/nepal/kathmandu/ganatantra_smarak,0.417,0.835,1.572,has_external_url,http://nepal.um.dk/,https://en.wikivoyage.org/wiki/Kathmandu
europe/ireland/waterford,Waterford,Waterford,6,48,see,Fairbrook House,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.2397,-7.2637,Waterford Medieval Museum,europe/ireland/waterford/medieval_museum,0.35,10.937,10.601,has_external_url,https://www.fairbrook-housegarden.com,https://en.wikivoyage.org/wiki/Waterford
northamerica/unitedstates/pennsylvania/erie,Erie,Erie,12,36,see,The Bicentennial Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.138889,-80.091667,Frontier Park,northamerica/unitedstates/pennsylvania/erie/frontier_park,0.323,2.156,1.173,has_external_url,https://dobbinslandingerie.com/,https://en.wikivoyage.org/wiki/Erie
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,see,Lake Bomun,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.8443,129.2776,Bunhwangsa,asia/southkorea/gyeongju/bunhwangsa,0.3,3.987,4.948,has_external_url,http://www.visitkorea.or.kr/enu/SI/SI_EN_3_1_1_1.jsp?cid=264264,https://en.wikivoyage.org/wiki/Gyeongju
northamerica/canada/britishcolumbia/delta,Delta,Delta (British Columbia),2,23,do,Wellbrook Winery tasting,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.086728,-122.9772584,Burns Bog,northamerica/canada/britishcolumbia/delta/burns_bog,0.303,3.641,5.88,has_external_url,http://wellbrookwinery.com/,https://en.wikivoyage.org/wiki/Delta_%28British_Columbia%29
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Anniversaire Hills Yokohama,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.54541,139.57244,Motomachi and Yamate: Cafes and Bars,asia/japan/honshu/yokohama/motomachi_cafes,0.258,,11.971,has_external_url,https://www.anniversaire.co.jp/wedding/yokohama/,https://en.wikivoyage.org/wiki/Yokohama
africa/nigeria/calabar,Calabar,Calabar,8,24,do,Tinapa Resort,0.89,candidate,has coordinates; has description; high-value type; has external URL,5.0523,8.3157,Calabar Carnival,africa/nigeria/calabar/calabar_carnival,0.276,9.724,8.432,has_external_url,http://www.tinapa.com,https://en.wikivoyage.org/wiki/Calabar
europe/unitedkingdom/wales/machynlleth,Machynlleth,Machynlleth,6,13,see,Dyfi Furnace,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.5382,-3.94038,Cors Dyfi Nature Reserve,europe/unitedkingdom/wales/machynlleth/cors_dyfi,0.444,4.752,8.347,has_external_url,http://cadw.gov.wales/daysout/dyfifurnace/?lang=en,https://en.wikivoyage.org/wiki/Machynlleth
southamerica/venezuela/maracaibo,Maracaibo,Maracaibo,5,32,see,Jardín Botánico de Maracaibo,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.589,-71.7087,Santa Bárbara Historic District,southamerica/venezuela/maracaibo/santa_barbara_district,0.357,9.516,9.755,has_external_url,https://www.facebook.com/Fundaci%C3%B3n-Jard%C3%ADn-Bot%C3%A1nico-de-Maracaibo-105460129581439/,https://en.wikivoyage.org/wiki/Maracaibo
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Sinaran Agro Farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.590925,103.715653,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.391,15.404,15.741,has_external_url,https://www.facebook.com/pages/category/Livestock-Farm/SINAR-AGRO-1136217063172889/,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/czechrepublic/brno,Brno,Brno,15,89,do,Brno Racing Circuit,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.2051,16.45,Brno Astronomical Clock,europe/czechrepublic/brno/brno_astronomical_clock,0.476,11.579,11.81,has_external_url,http://www.automotodrombrno.cz,https://en.wikivoyage.org/wiki/Brno
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,see,Eugene Emeralds Baseball,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.05965,-123.06652,Eugene Saturday Market,northamerica/unitedstates/oregon/eugene/saturday_market,0.435,2.199,2.496,has_external_url,http://eugene.emeralds.milb.com/index.jsp?sid=t461,https://en.wikivoyage.org/wiki/Eugene
