world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,see,Mozambique,0.51,candidate,high-value type; has external URL,,,Voortrekker Monument,africa/southafrica/pretoria/voortrekker_monument,0.267,,,missing_coordinates; has_external_url,http://www.embamoc.co.za,https://en.wikivoyage.org/wiki/Pretoria
northamerica/panama/panamacity,Panama City,Panama City,10,65,see,Uruguay,0.51,candidate,high-value type; has external URL,,,Amador Causeway,northamerica/panama/panamacity/amador_causeway,0.364,,,missing_coordinates; has_external_url,"http://www.mrree.gub.uy/frontend/page?1,inicio,embajadas,O,es,0,",https://en.wikivoyage.org/wiki/Panama_City
northamerica/unitedstates/washingtondc,Washington D.C.,"Washington, D.C.",48,211,see,Fiji,0.51,candidate,high-value type; has external URL,,,Tidal Basin,northamerica/unitedstates/washingtondc/tidal_basin,0.267,,,missing_coordinates; has_external_url,https://www.fijiembassydc.com/,https://en.wikivoyage.org/wiki/Washington%2C_D.C.
asia/jordan/amman,Amman,Amman,45,74,see,Norway,0.51,candidate,high-value type; has external URL,,,Sports City,asia/jordan/amman/sports_city,0.353,,,missing_coordinates; has_external_url,http://www.norway.jo/,https://en.wikivoyage.org/wiki/Amman
northamerica/unitedstates/ohio/cuyahoga_falls,Cuyahoga Falls,Cuyahoga Falls,5,32,do,Downview Sports Center,0.51,candidate,high-value type; has external URL,,,Blossom Music Center,northamerica/unitedstates/ohio/cuyahoga_falls/blossom_music_center,0.476,,,missing_coordinates; has_external_url,http://cfo.cityofcf.com/web2/view.do?dir=parksandrec/downview,https://en.wikivoyage.org/wiki/Cuyahoga_Falls
northamerica/canada/britishcolumbia/victoria,Victoria,Victoria (British Columbia),12,87,see,Kabu,0.51,candidate,high-value type; has external URL,,,Inner Harbour,northamerica/canada/britishcolumbia/victoria/inner_harbour,0.353,,,missing_coordinates; has_external_url,https://www.kabu.ca/,https://en.wikivoyage.org/wiki/Victoria_%28British_Columbia%29
asia/china/beijing,Beijing,Beijing,50,94,see,Thailand,0.51,candidate,high-value type; has external URL,,,Dashilan and Qianmen,asia/china/beijing/dashilan,0.429,,,missing_coordinates; has_external_url,https://thaiembbeij.org/,https://en.wikivoyage.org/wiki/Beijing
northamerica/unitedstates/tennessee/nashville,Nashville,Nashville,60,113,see,El Salvador,0.51,candidate,high-value type; has external URL,,,Ryman Auditorium,northamerica/unitedstates/tennessee/nashville/ryman_auditorium,0.417,,,missing_coordinates; has_external_url,https://consuladodeelsalvadorenusa.com/tennessee/consulado-de-el-salvador-en-nashville-tn/,https://en.wikivoyage.org/wiki/Nashville
southamerica/brazil/recife,Recife,Recife,34,154,do,Cine Rosa e Silva,0.51,candidate,high-value type; has external URL,,,Oficina do Sabor,southamerica/brazil/recife/oficina_do_sabor,0.485,,,missing_coordinates; has_external_url,http://www.moviemax.com.br/site/programacao.php?id_cinema=4,https://en.wikivoyage.org/wiki/Recife
europe/france/centre/loirevalley/labaule,La Baule,La Baule,10,6,do,Yearly event - La Baule Openswimstars,0.51,candidate,high-value type; has external URL,,,Baie de La Baule,europe/france/centre/loirevalley/labaule/baie_de_la_baule,0.381,,,missing_coordinates; has_external_url,https://openswimstars.com/la-baule/,https://en.wikivoyage.org/wiki/La_Baule
