world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/bali/ubud,Ubud,Ubud,21,95,do,Bali Healing,0.7,candidate,has coordinates; has description; high-value type,-8.513851,115.264075,Bebek Bengil (Dirty Duck Diner),asia/indonesia/bali/ubud/bebek_bengil,0.693,0.307,0.781,needs_external_source,,https://en.wikivoyage.org/wiki/Ubud
europe/greece/meteora,Meteora,Meteora,8,10,see,St. Stephen,0.7,candidate,has coordinates; has description; high-value type,39.709168,21.638964,Monastery of Saint Stephen,europe/greece/meteora/monastery_of_saint_stephen,0.556,1.174,1.529,needs_external_source,,https://en.wikivoyage.org/wiki/Meteora
southamerica/uruguay/montevideo,Montevideo,Montevideo,26,137,see,Palacio Municipal,0.7,candidate,has coordinates; has description; high-value type,-34.9067,-56.1861,Palacio Salvo,southamerica/uruguay/montevideo/palacio_salvo,0.667,1.113,0.484,needs_external_source,,https://en.wikivoyage.org/wiki/Montevideo
asia/turkey/diyarbakir,Diyarbakir,Diyarbakır,11,20,see,Kervanseray,0.7,candidate,has coordinates; has description; high-value type,37.911618,40.237454,Liver Kebab Row (Saraçhane Sokak),asia/turkey/diyarbakir/ciger_kebap_row,0.646,0.354,0.519,needs_external_source,,https://en.wikivoyage.org/wiki/Diyarbak%C4%B1r
asia/oman/muscat,Muscat,Muscat,24,152,see,Bait Al Makham,0.7,candidate,has coordinates; has description; high-value type,23.555,58.408,Bait Al Zubair,asia/oman/muscat/bait_al_zubair,0.643,19.5,19.981,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
asia/iran/kerman,Kerman,Kerman,13,15,see,Gonbad-e- Jabaliyeh,0.7,candidate,has coordinates; has description; high-value type,30.29235,57.11684,Jabaliyeh Dome,asia/iran/kerman/jabaliyeh_dome,0.562,0.461,3.345,needs_external_source,,https://en.wikivoyage.org/wiki/Kerman
asia/pakistan/gilgit,Gilgit,Gilgit,10,7,see,Gilgit Bridge,0.7,candidate,has coordinates; has description; high-value type,35.90117,74.39075,Gilgit Chai House,asia/pakistan/gilgit/gilgit_chai_house,0.6,7.815,7.245,needs_external_source,,https://en.wikivoyage.org/wiki/Gilgit
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,see,Guwahati War Cemetery,0.7,candidate,has coordinates; has description; high-value type,26.188129,91.764149,Navagraha Temple,asia/india/assam/guwahati/navagraha_temple,0.675,0.325,1.318,needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati
asia/israel/eliat,Eilat,Eilat,1,35,see,Red Sea View Lookout,0.7,candidate,has coordinates; has description; high-value type,29.5411,34.931615,The Red Sea Star,asia/israel/eliat/the_red_sea_star,0.562,2.243,2.479,needs_external_source,,https://en.wikivoyage.org/wiki/Eilat
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,see,Darwin Wharf Precinct,0.7,candidate,has coordinates; has description; high-value type,-12.467141,130.846443,Kafe Neon,australiaandpacific/australia/northernterritory/darwin/kafeneon,0.574,0.426,0.948,needs_external_source,,https://en.wikivoyage.org/wiki/Darwin
asia/laos/luangnamtha,Luang Namtha,Luang Namtha,8,12,do,Luang Namtha Tourism Department,0.7,candidate,has coordinates; has description; high-value type,21.0033,101.41,Luang Namtha Museum,asia/laos/luangnamtha/luang_namtha_museum,0.665,0.335,0.5,needs_external_source,,https://en.wikivoyage.org/wiki/Luang_Namtha
asia/iran/kashan,Kashan,Kashan,7,30,see,Kashan Bazaar,0.7,candidate,has coordinates; has description; high-value type,33.9872,51.45279,Bazaar of Kashan,asia/iran/kashan/bazaar_of_kashan,0.588,0.412,0.914,needs_external_source,,https://en.wikivoyage.org/wiki/Kashan
asia/oman/salalah,Salalah,Salalah,9,48,see,Ayn Razat,0.7,candidate,has coordinates; has description; high-value type,17.128826,54.235584,Ain Razat Springs,asia/oman/salalah/ain_razat,0.615,10.061,18.911,needs_external_source,,https://en.wikivoyage.org/wiki/Salalah
europe/france/nord/amiens,Amiens,Amiens,5,9,see,Belfry of Amiens,0.7,candidate,has coordinates; has description; high-value type,49.895517,2.295983,Cathédrale Notre-Dame d'Amiens,europe/france/nord/amiens/cathedrale_notre_dame,0.551,0.449,0.367,needs_external_source,,https://en.wikivoyage.org/wiki/Amiens
asia/taiwan/sunmoonlake,Sun Moon Lake,Sun Moon Lake,6,8,see,Ita Thao,0.7,candidate,has coordinates; has description; high-value type,23.84742,120.93365,Ita Thao Village,asia/taiwan/sunmoonlake/ita_thao_village,0.667,0.559,0.749,needs_external_source,,https://en.wikivoyage.org/wiki/Sun_Moon_Lake
europe/hungary/sopron,Sopron,Sopron,9,234,see,Dwelling houses,0.7,candidate,has coordinates; has description; high-value type,47.6836,16.5917,Széchenyi Square,europe/hungary/sopron/szechenyi_square,0.571,0.429,0.618,needs_external_source,,https://en.wikivoyage.org/wiki/Sopron
