world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/australia/northernterritory/alicesprings,Alice Springs,Alice Springs,14,29,see,Henley On Todd Regatta,0.59,candidate,has description; high-value type; has external URL,,,Telegraph Station Historical Reserve,australiaandpacific/australia/northernterritory/alicesprings/telegraph_station,0.414,,,missing_coordinates; has_external_url,http://henleyontodd.com.au/,https://en.wikivoyage.org/wiki/Alice_Springs
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,do,Inside Out LGBT Film & Video Festival,0.59,candidate,has description; high-value type; has external URL,,,Elgin and Winter Garden Theatre Centre,northamerica/canada/ontario/toronto/winter_garden_theatre,0.39,,,missing_coordinates; has_external_url,https://insideout.ca/,https://en.wikivoyage.org/wiki/Toronto
northamerica/unitedstates/colorado/glenwood_springs,Glenwood Springs,Glenwood Springs,13,19,do,Colorado Backcountry Biker,0.59,candidate,has description; high-value type; has external URL,,,Colorado River Rafting,northamerica/unitedstates/colorado/glenwood_springs/colorado_river_rafting,0.542,,,missing_coordinates; has_external_url,http://www.backcountrybiker.com/,https://en.wikivoyage.org/wiki/Glenwood_Springs
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Telekom HotSpot,0.59,candidate,has description; high-value type; has external URL,,,Flora/Zoo,europe/germany/northrhinewestphalia/cologne/florazoo,0.417,,,missing_coordinates; has_external_url,https://www.hotspot.de/,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,do,Lakeland Charters,0.59,candidate,has description; high-value type; has external URL,,,Lake Erie Walleye Fishing,northamerica/unitedstates/ohio/port_clinton/walleye_fishing,0.381,,,missing_coordinates; has_external_url,http://www.lakelandcharters.com/,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/wakefield,Wakefield,Wakefield (England),12,16,see,Nostell Priory,0.59,candidate,has description; high-value type; has external URL,,,Theatre Royal Wakefield,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/wakefield/theatre_royal,0.27,,,missing_coordinates; has_external_url,https://www.nationaltrust.org.uk/visit/yorkshire/nostell/index,https://en.wikivoyage.org/wiki/Wakefield_%28England%29
asia/malaysia/cherating,Cherating,Cherating,6,13,do,Kam's surf shack,0.59,candidate,has description; high-value type; has external URL,,,Chendor Turtle Sanctuary,asia/malaysia/cherating/chendor_turtle_sanctuary,0.35,,,missing_coordinates; has_external_url,https://www.facebook.com/Kams-surf-shack-153148121531117/,https://en.wikivoyage.org/wiki/Cherating
northamerica/turksandcaicosislands/providenciales,Providenciales,Providenciales,7,49,do,Nautique Sports,0.59,candidate,has description; high-value type; has external URL,,,Smith's Reef,northamerica/turksandcaicosislands/providenciales/smiths_reef,0.296,,,missing_coordinates; has_external_url,http://www.nautiquesports.com,https://en.wikivoyage.org/wiki/Providenciales
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,VisitRochester,0.59,candidate,has description; high-value type; has external URL,,,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.486,,,missing_coordinates; has_external_url,http://www.visitrochester.com,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
southamerica/argentina/mendoza,Mendoza,Mendoza,16,22,do,Las Leñas ski resort,0.59,candidate,has description; high-value type; has external URL,,,Ruinas de San Francisco,southamerica/argentina/mendoza/ruinas_de_san_francisco,0.485,,,missing_coordinates; has_external_url,https://www.laslenas.com/bienvenidos,https://en.wikivoyage.org/wiki/Mendoza
