world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,see,Arkansas Arts Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.7394,-92.267,MacArthur Park,northamerica/unitedstates/arkansas/littlerock/macarthur_park,0.619,0.381,2.213,has_external_url,https://www.arkmfa.org/,https://en.wikivoyage.org/wiki/Little_Rock
africa/egypt/cairo,Cairo,Cairo,88,50,see,National Museum of Egyptian Civilization,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.0079,31.24908,Museum of Modern Egyptian Art,africa/egypt/cairo/dokki_museum_art,0.609,4.617,4.256,has_external_url,http://nmec.gov.eg/,https://en.wikivoyage.org/wiki/Cairo
asia/japan/honshu/nara,Nara,Nara,11,48,see,Nara Centennial Hall,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.680294,135.81648,Nara National Museum,asia/japan/honshu/nara/nara_national_museum,0.55,2.131,1.178,has_external_url,http://www.nara100.com/,https://en.wikivoyage.org/wiki/Nara
northamerica/unitedstates/northcarolina/wilmington,Wilmington,Wilmington (North Carolina),9,43,see,Cameron Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.184,-77.9153,Cape Fear Serpentarium,northamerica/unitedstates/northcarolina/wilmington/cape_fear_serpentarium,0.55,6.453,5.371,has_external_url,http://www.cameronartmuseum.org/,https://en.wikivoyage.org/wiki/Wilmington_%28North_Carolina%29
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Sultan Iskandar Mosque,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,1.560679,103.737154,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.667,11.632,11.805,has_external_url,https://www.facebook.com/masjidBDO/,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/canada/britishcolumbia/tofino,Tofino,Tofino,6,46,do,Long Beach Surf Shop,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.15038,-125.89574,Long Beach,northamerica/canada/britishcolumbia/tofino/long_beach,0.667,15.059,0.713,has_external_url,https://www.longbeachsurfshop.com,https://en.wikivoyage.org/wiki/Tofino
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,do,Samarkand Regional Theater of Musical Drama,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.6525,66.9667,Rukhabad Mausoleum,asia/uzbekistan/samarkand/rukhabad_mausoleum,0.638,0.362,0.628,has_external_url,https://samteatr.uz/en?%2Fru=,https://en.wikivoyage.org/wiki/Samarkand
europe/germany/hessen/aschaffenburg,Aschaffenburg,Aschaffenburg,5,7,see,Schloss Johannisburg,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9761,9.14167,Johannisburg Palace,europe/germany/hessen/aschaffenburg/johannisburg_palace,0.615,0.942,0.645,has_external_url,http://www.schloesser.bayern.de/englisch/palace/objects/as_joh.htm,https://en.wikivoyage.org/wiki/Aschaffenburg
europe/switzerland/basel,Basel,Basel,16,80,see,Basel Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.547336,7.578764,Basel Town Hall,europe/switzerland/basel/rathaus,0.583,1.414,1.377,has_external_url,http://www.zoobasel.ch,https://en.wikivoyage.org/wiki/Basel
europe/unitedkingdom/england/south_east/bognorregis,Bognor Regis,Bognor Regis,5,8,do,Alexandra Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.7827,-0.6723,Bognor Regis Pier,europe/unitedkingdom/england/south_east/bognorregis/bognor_regis_pier,0.691,0.309,0.105,has_external_url,http://alexandratheatre.co.uk/,https://en.wikivoyage.org/wiki/Bognor_Regis
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Lychakivsky Tsvyntar,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.8325,24.056111,Lychakiv Cemetery,europe/ukraine/lviv/lychakiv_cemetery,0.595,0.511,2.051,has_external_url,http://www.lviv-lychakiv.com.ua/en/visitors,https://en.wikivoyage.org/wiki/Lviv
asia/china/hunan/changsha,Changsha,Changsha,50,47,see,Changsha Sea World,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.2353610193,113.0502424909,Changsha IFS Towers,asia/china/hunan/changsha/changsha_ifs_tower,0.703,8.743,8.778,has_external_url,http://www.cshdsj.com.cn/,https://en.wikivoyage.org/wiki/Changsha
