world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/yunnanprovince/tengchong,Tengchong,Tengchong,5,25,see,Laifengshan National Forest Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.01778,98.478775,Rehai Geothermal Area,asia/china/yunnanprovince/tengchong/rehai_scenic_area,0.377,9.776,0.472,needs_external_source,,https://en.wikivoyage.org/wiki/Tengchong
asia/china/jiangxi/pingxiang,Pingxiang,Pingxiang (Jiangxi),7,9,see,Pingxiang Confucian Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,27.6225,113.8464,Pingxiang Cultural Park,asia/china/jiangxi/pingxiang/pingxiang_city_park,0.531,1.578,0.906,needs_external_source,,https://en.wikivoyage.org/wiki/Pingxiang_%28Jiangxi%29
europe/poland/torun,Toruń,Toruń,6,59,see,Złotoria Castle Ruins,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.9975,18.6912,Toruń Cathedral,europe/poland/torun/torun_cathedral,0.514,5.841,5.953,needs_external_source,,https://en.wikivoyage.org/wiki/Toru%C5%84
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Dato Onn Village Recreational Area,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.496333,103.738704,Sultan Abu Bakar Royal Museum,asia/malaysia/johorbahru/sultan_abu_bakar_museum,0.349,4.999,5.144,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/netherlands/amersfoort,Amersfoort,Amersfoort,16,35,do,Park Randenbroek,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.15,5.397,DierenPark Amersfoort,europe/netherlands/amersfoort/dierenpark_amersfoort,0.486,3.548,1.733,needs_external_source,,https://en.wikivoyage.org/wiki/Amersfoort
southamerica/argentina/rosario,Rosario,Rosario,7,25,see,Paseo del Caminante,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-32.87639,-60.6872,Pasaje Pan,southamerica/argentina/rosario/pasaje_pan,0.48,9.34,9.528,needs_external_source,,https://en.wikivoyage.org/wiki/Rosario
europe/macedonia/radovis,Radovis,Radoviš,8,7,see,Church of the Ascension of Christ,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.606111,22.422778,Church of the Holy Trinity,europe/macedonia/radovis/church_of_the_holy_trinity,0.549,4.939,5.113,needs_external_source,,https://en.wikivoyage.org/wiki/Radovi%C5%A1
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,National Assembly of Serbia,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.8117,20.4659,Museum of Yugoslavia,europe/serbia/belgrade/museum_of_yugoslavia,0.426,1.628,1.643,needs_external_source,,https://en.wikivoyage.org/wiki/Belgrade
northamerica/unitedstates/california/shastacascade/oroville,Oroville,Oroville (California),5,21,see,Cherokee Museum & Ghost Town,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.646,-121.539,Feather River — rafting and kayaking,northamerica/unitedstates/california/shastacascade/oroville/feather_river_rafting,0.344,,14.778,needs_external_source,,https://en.wikivoyage.org/wiki/Oroville_%28California%29
asia/pakistan/azad_kashmir/muzaffar_abad,Muzaffarabad,Muzaffarabad,4,11,see,Subri Lake,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.3245,73.5195,Earthquake Memorial Bridge,asia/pakistan/azad_kashmir/muzaffar_abad/earthquake_memorial_bridge,0.222,5.738,6.742,needs_external_source,,https://en.wikivoyage.org/wiki/Muzaffarabad
europe/macedonia/tetovo,Tetovo,Tetovo,4,37,see,Church of Saint Athanasius,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.018841,20.960091,Popova Shapka Ski Resort,europe/macedonia/tetovo/popova_shapka,0.36,4.335,1.702,needs_external_source,,https://en.wikivoyage.org/wiki/Tetovo
northamerica/unitedstates/florida/naples,Naples,Naples (Florida),11,20,do,Vanderbilt Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.2542,-81.8224,Naples Beach Hotel,northamerica/unitedstates/florida/naples/naples_beach_hotel,0.471,13.164,12.776,needs_external_source,,https://en.wikivoyage.org/wiki/Naples_%28Florida%29
