world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/emiliaromagna/bologna,Bologna,Bologna,61,123,see,Museo del Patrimonio Industriale,0.66,candidate,has coordinates; high-value type; has external URL,44.521716,11.334575,Museo Civico Medievale,europe/italy/emiliaromagna/bologna/museo_civico_medievale,0.6,2.84,3.167,has_external_url,http://www.museibologna.it/patrimonioindustrialeen,https://en.wikivoyage.org/wiki/Bologna
northamerica/unitedstates/connecticut/middletown,Middletown,Middletown (Connecticut),9,20,see,The Buttonwood Tree,0.66,candidate,has coordinates; high-value type; has external URL,41.56427,-72.65238,Main Street Historic District,northamerica/unitedstates/connecticut/middletown/main_street,0.609,0.391,0.251,has_external_url,https://buttonwood.org/,https://en.wikivoyage.org/wiki/Middletown_%28Connecticut%29
europe/germany/berlin,Berlin,Berlin,161,123,see,New Zealand (Neuseeland),0.66,candidate,has coordinates; high-value type; has external URL,52.5106,13.3901,Strenesse blue,europe/germany/berlin/strenesseblue,0.678,0.322,0.828,has_external_url,https://www.mfat.govt.nz/en/countries-and-regions/europe/germany/berlin/,https://en.wikivoyage.org/wiki/Berlin
northamerica/unitedstates/arizona/yuma,Yuma,Yuma,6,33,do,Paradise Casino,0.66,candidate,has coordinates; high-value type; has external URL,32.735,-114.615,Lute's Casino,northamerica/unitedstates/arizona/yuma/lutes_casino,0.571,1.246,1.156,has_external_url,http://www.paradise-casinos.com/,https://en.wikivoyage.org/wiki/Yuma
northamerica/unitedstates/rhodeisland/providence,Providence,Providence,15,19,see,Providence College,0.66,candidate,has coordinates; high-value type; has external URL,41.84397,-71.43484,Providence Athenaeum,northamerica/unitedstates/rhodeisland/providence/providence_athenaeum,0.684,3.283,2.874,has_external_url,http://www.providence.edu/Pages/default.aspx,https://en.wikivoyage.org/wiki/Providence
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Nanjing Underwater World,0.66,candidate,has coordinates; high-value type; has external URL,32.0557802499,118.8398746463,Nanjing Yangtze River Bridge,asia/china/jiangsu_province/nanjing/nanjing_yangtze_river_bridge,0.577,13.511,5.902,has_external_url,http://www.nuww.com.cn/,https://en.wikivoyage.org/wiki/Nanjing
europe/italy/tuscany/arezzo,Arezzo,Arezzo,8,21,see,Museo Statale d'Arte Medievale e Moderna,0.66,candidate,has coordinates; high-value type; has external URL,43.468056,11.878056,San Domenico,europe/italy/tuscany/arezzo/san_domenico,0.661,0.339,10.703,has_external_url,https://museiarezzo.it/museo-darte-medievale-e-moderna/,https://en.wikivoyage.org/wiki/Arezzo
europe/denmark/copenhagen,Copenhagen,Copenhagen,101,98,see,Norway,0.66,candidate,has coordinates; high-value type; has external URL,55.697091,12.5949066,Noma,europe/denmark/copenhagen/noma,0.6,1.881,2.869,has_external_url,http://norsk.dk/,https://en.wikivoyage.org/wiki/Copenhagen
europe/denmark/esbjerg,Esbjerg,Esbjerg,15,14,do,Esbjerg Storcenter,0.66,candidate,has coordinates; high-value type; has external URL,55.50825,8.44865,Esbjerg Museum,europe/denmark/esbjerg/city_museum,0.625,4.33,4.649,has_external_url,http://www.esbjerg-storcenter.dk/,https://en.wikivoyage.org/wiki/Esbjerg
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,do,Summit Artspace,0.66,candidate,has coordinates; high-value type; has external URL,41.0836,-81.5135,Akron Art Museum,northamerica/unitedstates/ohio/akron/akron_art_museum,0.642,0.358,0.422,has_external_url,https://www.summitartspace.org/,https://en.wikivoyage.org/wiki/Akron
asia/indonesia/java/salatiga,Salatiga,Salatiga,3,35,see,RSUD Salatiga,0.66,candidate,has coordinates; high-value type; has external URL,-7.3267,110.4955,Alun-Alun Salatiga,asia/indonesia/java/salatiga/alun_alun,0.645,0.596,0.596,has_external_url,http://rsud.salatiga.go.id,https://en.wikivoyage.org/wiki/Salatiga
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,see,Cambridge Buddhist Centre,0.66,candidate,has coordinates; high-value type; has external URL,52.20809,0.13462,Cambridge Arts Theatre,europe/unitedkingdom/england/eastern_england/cambridge/cambridge_arts_theatre,0.681,1.183,1.124,has_external_url,https://www.cambridgebuddhistcentre.com/,https://en.wikivoyage.org/wiki/Cambridge
europe/unitedkingdom/england/suffolk/ipswich,Ipswich,Ipswich (England),8,47,see,Ipswich Blackfriars,0.66,candidate,has coordinates; high-value type; has external URL,52.054061,1.149069,Cardinal Wolsey's Gate,europe/unitedkingdom/england/suffolk/ipswich/wolsey_gateway,0.675,0.325,0.497,has_external_url,http://www.allaboutipswich.com/things-to-do/1005/Blackfriars-/,https://en.wikivoyage.org/wiki/Ipswich_%28England%29
northamerica/unitedstates/washington/burlington,Burlington,Burlington (Washington),3,8,do,Skagit Valley Casino,0.66,candidate,has coordinates; high-value type; has external URL,48.565669,-122.345578,Skagit Valley Tulip Festival,northamerica/unitedstates/washington/burlington/skagit_valley_tulip_festival,0.625,16.147,10.275,has_external_url,http://www.theskagit.com/,https://en.wikivoyage.org/wiki/Burlington_%28Washington%29
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Bolivia,0.66,candidate,has coordinates; high-value type; has external URL,59.36228,18.12308,Millesgården,europe/sweden/stockholm/millesgrden,0.622,0.378,5.076,has_external_url,http://embolivia.se/,https://en.wikivoyage.org/wiki/Stockholm
northamerica/canada/britishcolumbia/northvancouver,North Vancouver,North Vancouver,15,80,do,Essential Cycles,0.66,candidate,has coordinates; high-value type; has external URL,49.30748,-123.037616,Park & Tilford Gardens,northamerica/canada/britishcolumbia/northvancouver/park_and_tilford,0.606,0.394,3.002,has_external_url,https://www.essentialcycles.com/,https://en.wikivoyage.org/wiki/North_Vancouver
