world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,Chapultepec Park',0.59,candidate,has description; high-value type; strong travel term,,,Tepoztlán,northamerica/mexico/cuernavaca/tepoztlan,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuernavaca
europe/montenegro/budva,Budva,Budva,17,36,do,Bungee jumping,0.59,candidate,has description; high-value type; strong travel term,,,Budva Theatre City Festival,europe/montenegro/budva/budva_theatre_city_festival,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Budva
asia/saudiarabia/dammam,Dammam,Dammam,6,16,see,Tarout Castle,0.59,candidate,has description; high-value type; strong travel term,,,King Fahd Causeway,asia/saudiarabia/dammam/king_fahd_causeway,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dammam
europe/denmark/vejle,Vejle,Vejle,10,22,see,Givskud Zoo,0.59,candidate,has description; high-value type; strong travel term,,,Grejs Valley,europe/denmark/vejle/grejs_valley,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vejle
africa/egypt/aswan,Aswan,Aswan,15,35,see,The symbol of Egyptian-Soviet friendship,0.59,candidate,has description; high-value type; strong travel term,,,Mausoleum of Aga Khan III,africa/egypt/aswan/aga_khan_mausoleum,0.459,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aswan
asia/china/xinjiangprovince/cherchen,Cherchen,Cherchen,3,11,see,Wildlife Park,0.59,candidate,has description; high-value type; strong travel term,,,Molcha River Petroglyphs,asia/china/xinjiangprovince/cherchen/molcha_river_petroglyphs,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cherchen
southamerica/ecuador/cuenca,Cuenca,Cuenca (Ecuador),7,23,do,Sightseeing Bus,0.59,candidate,has description; high-value type; strong travel term,,,El Sagrario (Old Cathedral),southamerica/ecuador/cuenca/el_sagrario,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuenca_%28Ecuador%29
europe/ukraine/kamianetstpodilskyi,Kamianets-Podilskyi,Kamianets-Podilskyi,6,32,see,Mansion of Dembytskyi,0.59,candidate,has description; high-value type; strong travel term,,,Kamianets-Podilskyi Castle,europe/ukraine/kamianetstpodilskyi/kamianetstpodilskyi_castle,0.383,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kamianets-Podilskyi
europe/bulgaria/burgas,Burgas,Burgas,5,25,see,Mosta,0.59,candidate,has description; high-value type; strong travel term,,,Sea Garden,europe/bulgaria/burgas/sea_garden,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burgas
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,see,Service Above Self,0.59,candidate,has description; high-value type; strong travel term,,,Yosemite National Park,northamerica/unitedstates/california/centralvalley/manteca/yosemite_national,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manteca
