world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/south_east/berkhampsted,Berkhamsted,Berkhamsted,7,27,see,Pitstone Windmill,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.8318,-0.6299,Berkhamsted School,europe/unitedkingdom/england/south_east/berkhampsted/berkhamsted_school,0.286,9.261,9.278,has_external_url,https://www.nationaltrust.org.uk/pitstone-windmill,https://en.wikivoyage.org/wiki/Berkhamsted
northamerica/trinidadandtobago/port_of_spain,Port of Spain,Port of Spain,9,42,see,Royal Botanic Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.6749322,-61.5147188,Fort San Andres,northamerica/trinidadandtobago/port_of_spain/fort_san_andres,0.444,3.05,2.631,has_external_url,https://agriculture.gov.tt/divisions-units/divisions/horticulture-services/royal-botanic-gardens-unit/,https://en.wikivoyage.org/wiki/Port_of_Spain
europe/sweden/lund,Lund,Lund,8,58,see,Stadsparken,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.697331,13.186837,Botanical Garden,europe/sweden/lund/botanical_garden,0.444,1.456,0.883,has_external_url,https://www.lund.se/stadsparken,https://en.wikivoyage.org/wiki/Lund
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,do,Realms,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.62083,-116.21875,Freak Alley Gallery,northamerica/unitedstates/idaho/boise/freak_alley_gallery,0.32,1.275,1.512,has_external_url,https://www.realms.life/,https://en.wikivoyage.org/wiki/Boise
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,see,Van Ostrande-Radliff House,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.6475,-73.752,Albany City Hall,northamerica/unitedstates/newyorkstate/albany/albany_city_hall,0.493,0.507,0.479,has_external_url,https://www.historic-albany.org/48hudson,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Shohagh Paribahan,0.89,candidate,has coordinates; has description; high-value type; has external URL,22.3297108,91.781194,Shah Jahangir Shrine,asia/bangladesh/chittagong/shah_jahangir_shrine,0.486,5.919,5.495,has_external_url,http://shohagh.biz,https://en.wikivoyage.org/wiki/Chittagong
europe/spain/catalonia/platjadaro,Platja d'Aro,Platja d'Aro,5,21,do,Aquadiver,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.82552,3.06344,Platja Gran,europe/spain/catalonia/platjadaro/platja_gran,0.3,0.917,0.901,has_external_url,https://aquadiver.com,https://en.wikivoyage.org/wiki/Platja_d%27Aro
europe/isleofman/douglas,Douglas,Douglas (Isle of Man),5,30,see,Home of Rest for Old Horses,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.1424,-4.5352,Tower of Refuge,europe/isleofman/douglas/tower_of_refuge,0.476,4.421,3.821,has_external_url,https://www.iomhorseshome.im/,https://en.wikivoyage.org/wiki/Douglas_%28Isle_of_Man%29
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,do,Les Docks,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.52241,6.61926,Collection de l'Art Brut,europe/switzerland/lausanne/art_brut,0.479,0.521,1.031,has_external_url,http://www.lesdocks.ch/,https://en.wikivoyage.org/wiki/Lausanne
europe/lithuania/siauliai,Siauliai,Šiauliai,10,25,see,Žaliūkiai Miller’s Farmstead,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.9237,23.272,Šiauliai Bicycle Museum,europe/lithuania/siauliai/bicycle_museum,0.49,2.922,2.961,has_external_url,https://www.ausrosmuziejus.lt/zaliukiai-village-miller-s-farmstead,https://en.wikivoyage.org/wiki/%C5%A0iauliai
