world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/liaoning/anshan,Anshan,Anshan,4,37,see,West Forest Park,0.51,candidate,high-value type; strong travel term,,,Qianshan National Park,asia/china/liaoning/anshan/qianshan_national_park,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshan
europe/ukraine/dnepropetrovsk,Dnipro,Dnipro,8,48,see,Baptists Church,0.51,candidate,high-value type; strong travel term,,,Preobrazhensky Cathedral,europe/ukraine/dnepropetrovsk/preobrazhensky_cathedral,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dnipro
northamerica/unitedstates/florida/ormond_beach,Ormond Beach,Ormond Beach,5,44,see,St Brendan Catholic Church,0.51,candidate,high-value type; strong travel term,,,Birthplace of Speed Beach,northamerica/unitedstates/florida/ormond_beach/birthplace_of_speed,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ormond_Beach
southamerica/brazil/ribeiraopreto,Ribeirão Preto,Ribeirão Preto,4,18,see,Luís Carlos Raya Park,0.51,candidate,high-value type; strong travel term,,,Museu do Café de Ribeirão Preto,southamerica/brazil/ribeiraopreto/museu_do_cafe,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ribeir%C3%A3o_Preto
asia/unitedarabemirates/fujairah,Fujairah,Fujairah,5,13,see,Sakamkam Fort,0.51,candidate,high-value type; strong travel term,,,Fujairah Fort,asia/unitedarabemirates/fujairah/fujairah_fort,0.538,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fujairah
europe/spain/puigcerd,Puigcerdà,Puigcerdà,10,6,see,Cerdà Museum,0.51,candidate,high-value type; strong travel term,,,Museu Cerdà,europe/spain/puigcerd/museu_cerdanya,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puigcerd%C3%A0
asia/pakistan/khyberpass,Khyber Pass,Khyber Pass,0,6,see,Shagai Fort,0.51,candidate,high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khyber_Pass
northamerica/mexico/puertovallarta,Puerto Vallarta,Puerto Vallarta,34,88,do,Trail into the mountains along Rio Pitillal,0.51,candidate,high-value type; strong travel term,,,Mercado Municipal Río Cuale,northamerica/mexico/puertovallarta/mercado_rio_cuale,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Vallarta
europe/russia/kursk,Kursk,Kursk,4,5,see,Art Gallery of Deyneka,0.51,candidate,high-value type; strong travel term,,,Kursk Military History Museum,europe/russia/kursk/kursk_military_history_museum,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kursk
asia/srilanka/negombo,Negombo,Negombo,7,18,see,Church of Jesus Christ of Latter-day Saints,0.51,candidate,high-value type; strong travel term,,,Dutch Fort,asia/srilanka/negombo/dutch_fort,0.302,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Negombo
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Manchu Imperial temple - Xianyou Temple,0.51,candidate,high-value type; strong travel term,,,Pingdingshan Massacre Memorial Hall,asia/china/liaoning/fushun/pingdingshan_massacre_memorial,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fushun
europe/georgia/alkhatsikhe,Akhaltsikhe,Akhaltsikhe,3,8,see,St. Marina Church,0.51,candidate,high-value type; strong travel term,,,Rabati Castle,europe/georgia/alkhatsikhe/rabati_fortress,0.276,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Akhaltsikhe
asia/palestinianauthority/ramallah,Ramallah,Ramallah,5,44,see,Holy Family Church,0.51,candidate,high-value type; strong travel term,,,Khalil Sakakini Cultural Center,asia/palestinianauthority/ramallah/khalil_sakakini_cultural_center,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ramallah
africa/southafrica/kwazulu_natal,KwaZulu-Natal,KwaZulu-Natal,8,15,see,Umtamvuna Nature Reserve,0.51,candidate,high-value type; strong travel term,,,Isandlwana Battlefield,africa/southafrica/kwazulu_natal/isandlwana_battlefield,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/KwaZulu-Natal
asia/china/jilin/liaoyuan,Liaoyuan,Liaoyuan,4,6,see,Thumb Garden,0.51,candidate,high-value type; strong travel term,,,Martyrs' Tombs of the Miners,asia/china/jilin/liaoyuan/miners_memorial,0.229,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Liaoyuan
europe/austria/bludenz,Bludenz,Bludenz,4,34,do,Buder-Höhe viewpoint,0.51,candidate,high-value type; strong travel term,,,Muttersberg Cable Car,europe/austria/bludenz/muttersberg,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bludenz
asia/india/tamilnadu/salem,Salem,Salem (India),8,40,see,Sri Kameswara & Kalivaradha Perumal Temple,0.51,candidate,high-value type; strong travel term,,,Sugavaneswarar Temple,asia/india/tamilnadu/salem/sugavaneswarar_temple,0.492,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28India%29
