world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/newzealand/north_island/bay_of_plenty/tauranga,Tauranga,Tauranga,9,15,see,Marshalls Animal Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-37.81078,176.04625,McLaren Falls Park,australiaandpacific/newzealand/north_island/bay_of_plenty/tauranga/mclaren_falls,0.615,7.502,17.506,has_external_url,http://www.marshallsanimalpark.co.nz/,https://en.wikivoyage.org/wiki/Tauranga
europe/poland/katowice,Katowice,Katowice,12,77,see,Archdiocesan Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2507,19.0184,Silesian Museum,europe/poland/katowice/silesian_museum,0.706,1.334,1.625,has_external_url,https://muzeum.katowicka.pl/,https://en.wikivoyage.org/wiki/Katowice
europe/hungary/sopron,Sopron,Sopron,9,234,see,Mining Museum in Palais Esterhazy,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68616,16.59004,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.633,0.367,0.9,has_external_url,http://portal.sopron.hu/Sopron/portal/english_show?contentId=2138,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,see,Albany Institute of History and Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.6557,-73.7603,New York State Capitol,northamerica/unitedstates/newyorkstate/albany/new_york_state_capitol,0.577,0.423,0.662,has_external_url,http://www.albanyinstitute.org/,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,do,The Gamut Classic Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.26255,-76.88057,Pennsylvania State Capitol,northamerica/unitedstates/pennsylvania/harrisburg/state_capitol,0.671,0.329,0.629,has_external_url,https://www.gamuttheatre.org/,https://en.wikivoyage.org/wiki/Harrisburg
northamerica/unitedstates/massachusetts/great_barrington,Great Barrington,Great Barrington,4,23,do,River Walk,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.19502,-73.358545,Newsboy Statue,northamerica/unitedstates/massachusetts/great_barrington/newsboy_statue,0.563,0.437,0.369,has_external_url,https://gbriverwalk.org/,https://en.wikivoyage.org/wiki/Great_Barrington
europe/spain/melilla,Melilla,Melilla,5,121,see,Monumental Complex Plaza de Armas,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.293998,-2.93538,Modernista Architecture District,europe/spain/melilla/modernista_architecture,0.679,0.321,0.554,has_external_url,https://melillamonumental.es/conociendo-nuestro-patrimonio-plaza-de-armas/,https://en.wikivoyage.org/wiki/Melilla
europe/france/nord/lille,Lille,Lille,22,79,see,Resistance Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.692476,3.087273,Natural History Museum,europe/france/nord/lille/natural_history_museum,0.564,7.12,6.438,has_external_url,https://www.ville-bondues.fr/musee,https://en.wikivoyage.org/wiki/Lille
asia/turkey/bursa,Bursa,Bursa,13,44,see,Hüdavendigar Mosque,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.202,29.021,Grand Mosque (Ulu Cami),asia/turkey/bursa/grand_mosque,0.645,3.969,4.502,has_external_url,https://www.kulturportali.gov.tr/turkiye/bursa/gezilecekyer/i-murad-hudavendigar-camii,https://en.wikivoyage.org/wiki/Bursa
europe/unitedkingdom/scotland/glencoe,Glencoe,Glencoe,3,10,see,Glencoe Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.6829,-5.1008,Glencoe Visitor Centre,europe/unitedkingdom/scotland/glencoe/glencoe_visitor_centre,0.556,1.082,0.043,has_external_url,https://www.glencoemuseum.com/,https://en.wikivoyage.org/wiki/Glencoe
