world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/latvia/daugavpils,Daugavpils,Daugavpils,7,30,see,"""Ebreji Daugavpilī un Latgalē"" muzejs un ekspozīcija",0.62,candidate,has coordinates; high-value type,55.870403,26.520931,Centre Bars,europe/latvia/daugavpils/centre_bars,0.616,0.384,0.325,needs_external_source,,https://en.wikivoyage.org/wiki/Daugavpils
southamerica/chile/easterisland,Easter Island,Easter Island,20,55,do,Ana Kakenga,0.62,candidate,has coordinates; high-value type,-27.1112,-109.4204,Ana Kai Tangata,southamerica/chile/easterisland/ana_kai_tangata,0.692,5.938,7.0,needs_external_source,,https://en.wikivoyage.org/wiki/Easter_Island
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,Rose Wagner Performing Arts Center,0.62,candidate,has coordinates; high-value type,40.76315,-111.89558,Rio Grande Depot / Utah State History,northamerica/unitedstates/utah/saltlakecity/utah_state_history_museum,0.623,0.377,0.837,needs_external_source,,https://en.wikivoyage.org/wiki/Salt_Lake_City
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,Jackie Robinson Ballpark,0.62,candidate,has coordinates; high-value type,29.2094,-81.0167,Brownie the Town Dog's Grave,northamerica/unitedstates/florida/daytona_beach/brownie_the_town_dog_grave,0.611,0.389,0.612,needs_external_source,,https://en.wikivoyage.org/wiki/Daytona_Beach
europe/italy/liguria/italianriviera/finaleligure,Finale Ligure,Finale Ligure,7,21,see,Arco di Re Carlo Alberto,0.62,candidate,has coordinates; high-value type,44.170439,8.349243,Trofie al Pesto — What to Eat,europe/italy/liguria/italianriviera/finaleligure/trofie_al_pesto,0.563,0.437,0.437,needs_external_source,,https://en.wikivoyage.org/wiki/Finale_Ligure
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,Hires Big H,0.62,candidate,has coordinates; high-value type,40.76006,-111.87052,Trolley Square,northamerica/unitedstates/utah/saltlakecity/trolleysquare,0.658,0.342,1.372,needs_external_source,,https://en.wikivoyage.org/wiki/Salt_Lake_City
europe/italy/calabria/tropea,Tropea,Tropea,5,8,see,Museo Diocesano di Tropea,0.62,candidate,has coordinates; high-value type,38.67815,15.89843,Tropea Cathedral,europe/italy/calabria/tropea/tropea_cathedral,0.646,0.354,0.441,needs_external_source,,https://en.wikivoyage.org/wiki/Tropea
southamerica/argentina/iguazufalls,Iguazu Falls,Iguaçu Falls,12,14,see,Falls,0.62,candidate,has coordinates; high-value type,-25.6915,-54.4399,Lower Circuit (Paseo Inferior),southamerica/argentina/iguazufalls/lower_circuit,0.583,0.417,0.167,needs_external_source,,https://en.wikivoyage.org/wiki/Igua%C3%A7u_Falls
asia/thailand/ayutthaya,Ayutthaya,Ayutthaya,15,60,see,Wat Jao Prahm,0.62,candidate,has coordinates; high-value type,14.344497,100.555881,Wat Na Phra Men,asia/thailand/ayutthaya/wat_na_phra_men,0.714,2.483,1.898,needs_external_source,,https://en.wikivoyage.org/wiki/Ayutthaya
northamerica/mexico/puertovallarta,Puerto Vallarta,Puerto Vallarta,34,88,do,Mirador Mojoneras,0.62,candidate,has coordinates; high-value type,20.69546,-105.161299,Mirador de la Cruz,northamerica/mexico/puertovallarta/mirador_de_la_cruz,0.621,11.885,8.645,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Vallarta
