world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Play croquet at President Benjamin Harrison's home,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.78411,-86.15439,Benjamin Harrison Presidential Site,northamerica/unitedstates/indiana/indianapolis/benjamin_harrison_home,0.646,0.354,1.791,has_external_url,http://www.pbhh.org/,https://en.wikivoyage.org/wiki/Indianapolis
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,St. Paul's Episcopal Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.882926,-78.876091,Guaranty Building,northamerica/unitedstates/newyorkstate/buffalo/guaranty_building,0.599,0.401,0.423,has_external_url,https://www.spcbuffalo.org/,https://en.wikivoyage.org/wiki/Buffalo
europe/switzerland/zurich,Zurich,Zurich,54,136,see,China Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.354836,8.551802,Pavillon Le Corbusier,europe/switzerland/zurich/pavillon_le_corbusier,0.662,0.338,2.327,has_external_url,https://www.zuerich.com/en/visit/attractions/chinese-garden,https://en.wikivoyage.org/wiki/Zurich
europe/lithuania/siauliai,Siauliai,Šiauliai,10,25,see,Saints Peter and Paul Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.9325,23.3206,Šiauliai Cat Museum,europe/lithuania/siauliai/cat_museum,0.7,0.3,0.348,has_external_url,https://siauliukatedra.lt/,https://en.wikivoyage.org/wiki/%C5%A0iauliai
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,do,Parc Natural de la Serra Gelada,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5324,-0.0956,Sierra Helada,europe/spain/spanishcostas/benidorm/sierra_helada,0.579,5.034,3.053,has_external_url,http://www.parquesnaturales.gva.es/web/pn-serra-gelada,https://en.wikivoyage.org/wiki/Benidorm
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,St. Joseph Roman Catholic Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.882708,-78.878221,Niagara Square and McKinley Monument,northamerica/unitedstates/newyorkstate/buffalo/niagara_square,0.589,0.411,0.412,has_external_url,http://www.buffalodiocese.org/Chancery/StJosephCathedral.aspx,https://en.wikivoyage.org/wiki/Buffalo
asia/china/guangdong/shaoguan,Shaoguan,Shaoguan,4,8,see,Shaoguan Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.8030467249,113.5467428344,Shaoguan Old City,asia/china/guangdong/shaoguan/shaoguan_old_city,0.562,4.644,4.644,has_external_url,http://www.shaoguanmuseum.com/,https://en.wikivoyage.org/wiki/Shaoguan
europe/germany/badenwrttemberg/ravensburg,Ravensburg,Ravensburg,5,15,see,Museum Humpis-Quartier,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.780457,9.61577,Blaserturm,europe/germany/badenwrttemberg/ravensburg/blaserturm,0.59,0.41,0.257,has_external_url,http://www.museum-humpis-quartier.de/mhq/en/,https://en.wikivoyage.org/wiki/Ravensburg
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Jiangxin Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.0302366575,120.6427042363,Jiangxin Island,asia/china/zhejiang/wenzhou/jiangxin_island,0.667,5.095,6.393,has_external_url,http://www.jiangxinsi.com/main/index.asp,https://en.wikivoyage.org/wiki/Wenzhou
europe/greece/athens,Athens,Athens,48,150,see,Hellenic Air Force Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.104917,23.778444,Benaki Museum,europe/greece/athens/benaki_museum,0.579,14.719,14.882,has_external_url,https://www.haf.gr/en/history/museum/,https://en.wikivoyage.org/wiki/Athens
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Sharmanka Kinetic Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.85703,-4.24677,Café Gandolfi,europe/unitedkingdom/scotland/glasgow/cafe_gandolfi,0.595,0.405,0.505,has_external_url,https://www.sharmanka.com/,https://en.wikivoyage.org/wiki/Glasgow
