world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,Harjulampi bird watching tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,66.48647,25.7223,Ounasjoki River,europe/finland/rovaniemi/ounasjoki_river,0.52,0.48,1.824,has_external_url,"https://www.etiainen.fi/gpsalbum/Harjulampi-bird-watching-tower/vwemqvho/92244274-fb7d-4750-a72d-04045d0b7f6f#z=20&c=66.48642500005015,25.722473190477103",https://en.wikivoyage.org/wiki/Rovaniemi
europe/germany/schleswigholstein/kiel,Kiel,Kiel,8,68,do,Minigolf am Norder,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.337226,10.110961,Kieler Förde,europe/germany/schleswigholstein/kiel/kieler_foerde,0.467,4.835,2.267,has_external_url,https://www.minigolf-am-norder.de/,https://en.wikivoyage.org/wiki/Kiel
asia/cambodia/siemreap,Siem Reap,Siem Reap,56,78,do,Sabai Motorbike and Jeep Adventures,0.89,candidate,has coordinates; has description; high-value type; has external URL,13.37301,103.86587,Terrace of the Elephants,asia/cambodia/siemreap/terrace_of_the_elephants,0.436,8.118,1.454,has_external_url,http://www.sabaiadventurescambodia.com,https://en.wikivoyage.org/wiki/Siem_Reap
europe/hungary/budapest,Budapest,Budapest,57,94,see,Széchenyi Hill Children's Railways,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.54144,18.963819,Széchenyi Chain Bridge,europe/hungary/budapest/szechenyi_chain_bridge,0.5,7.633,7.506,has_external_url,https://gyermekvasut.hu/en/timetables/,https://en.wikivoyage.org/wiki/Budapest
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,do,Grecian Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.77,-118.1187,Rancho Los Cerritos Historic Site,northamerica/unitedstates/california/long_beach/rancho_los_cerritos,0.356,5.083,6.739,has_external_url,https://www.lbgreekfest.org/,https://en.wikivoyage.org/wiki/Long_Beach
europe/slovakia/kosice,Košice,Košice,7,153,see,Atinet,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.70807,21.23729,Executioner's Bastion,europe/slovakia/kosice/executioners_bastion,0.37,2.381,2.05,has_external_url,http://www.atinet.sk,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,see,Molen De Kroon,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.9875,5.917778,Museum Arnhem,europe/netherlands/arnhem/museum_arnhem,0.417,1.769,1.333,has_external_url,http://molendekroon.nl/,https://en.wikivoyage.org/wiki/Arnhem
europe/italy/molise/termoli,Termoli,Termoli,7,23,do,Lido La Lampara,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.00508,14.99003,Termoli Cathedral,europe/italy/molise/termoli/termoli_cathedral,0.414,0.618,0.817,has_external_url,http://www.lidolalampara-termoli.it,https://en.wikivoyage.org/wiki/Termoli
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Royal Winnipeg Ballet,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.89088,-97.14599,Royal Canadian Mint,northamerica/canada/manitoba/winnipeg/royal_canadian_mint,0.45,2.225,0.748,has_external_url,http://www.rwb.org,https://en.wikivoyage.org/wiki/Winnipeg
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,see,Kasteel de Haar,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.121395,4.986205,Castellum Hoge Woerd,europe/netherlands/utrecht/castellum_hoge_woerd,0.5,5.675,9.854,has_external_url,http://www.kasteeldehaar.nl/en/,https://en.wikivoyage.org/wiki/Utrecht
