world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/japan/honshu/nagoya,Nagoya,Nagoya,50,66,do,Nagoya Sumo Tournament,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.183086,136.902561,Honmaru Palace,asia/japan/honshu/nagoya/honmaru_palace,0.683,0.317,0.334,has_external_url,http://www.chunichi.co.jp/event/sumo/,https://en.wikivoyage.org/wiki/Nagoya
europe/netherlands/kinderdijk,Kinderdijk,Kinderdijk,3,14,see,Wisboom,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.888101,4.639025,Nederwaard Museum Mill,europe/netherlands/kinderdijk/nederwaard_museum_mill,0.62,0.38,0.238,has_external_url,https://kinderdijk.com/to-do-in-kinderdijk/wisboom-pumping-station/,https://en.wikivoyage.org/wiki/Kinderdijk
northamerica/unitedstates/washington/leavenworth,Leavenworth,Leavenworth (Washington),5,51,do,Icicle Gorge,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.6085,-120.8943,Icicle Creek Canyon,northamerica/unitedstates/washington/leavenworth/icicle_creek,0.581,17.425,17.507,has_external_url,http://www.wta.org/go-hiking/hikes/icicle-gorge-loop,https://en.wikivoyage.org/wiki/Leavenworth_%28Washington%29
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Halopom po Yevropakh,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.00419,37.80917,To Donbas Liberators Monument,europe/ukraine/donetsk/to_donbas_liberators_monument,0.614,0.386,1.383,has_external_url,http://www.galopom.com.ua,https://en.wikivoyage.org/wiki/Donetsk
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,see,Museo Histórico Militar de Valencia,0.74,candidate,has coordinates; has description; high-value type; has external URL,39.472,-0.3617,Museu de Belles Arts de València,europe/spain/spanishcostas/valencia/museu_belles_arts,0.552,1.115,1.279,has_external_url,http://www.amigosmuseovalencia.es/,https://en.wikivoyage.org/wiki/Valencia
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,see,Way of Human Rights,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.4482,11.0752,Ehekarussell,europe/germany/bavaria/nuremberg/ehekarussell,0.597,0.403,0.649,has_external_url,https://www.nuernberg.de/internet/menschenrechte/strasse_der_menschrechte.html,https://en.wikivoyage.org/wiki/Nuremberg
europe/hungary/sopron,Sopron,Sopron,9,234,see,Bezerédj house,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.68568,16.58971,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.679,0.321,0.88,has_external_url,http://turizmus.sopron.hu/hu/info/latnivalok/muemlekek/bezeredj-haz.html,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/oregon/grantspass,Grants Pass,Grants Pass,9,41,see,Grants Pass Visitors Bureau,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.46165,-123.32287,Grants Pass City Hall and Fire Station,northamerica/unitedstates/oregon/grantspass/grants_pass_city_hall,0.554,2.564,2.499,has_external_url,https://travelgrantspass.com/,https://en.wikivoyage.org/wiki/Grants_Pass
asia/philippines/banaue,Banaue,Banaue,8,15,see,Banaue Ethnic Village and Pine Forest Resort,0.74,candidate,has coordinates; has description; high-value type; has external URL,16.92426,121.05592,Hiwang Native Village and Museum,asia/philippines/banaue/hiwang_village,0.609,0.391,1.503,has_external_url,https://www.facebook.com/banaueethnicvillage/,https://en.wikivoyage.org/wiki/Banaue
europe/unitedkingdom/england/south_east/eastbourne,Eastbourne,Eastbourne,9,40,do,Eastbourne Miniature Steam Railway,0.74,candidate,has coordinates; has description; high-value type; has external URL,50.788526,0.287613,Eastbourne Pier,europe/unitedkingdom/england/south_east/eastbourne/eastbourne_pier,0.571,2.699,2.545,has_external_url,http://www.emsr.co.uk/,https://en.wikivoyage.org/wiki/Eastbourne
northamerica/unitedstates/california/northcoast/sonoma,Sonoma,Sonoma,6,57,see,Sonoma Stompers,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.297286,-122.457141,Vallejo Estate (Lachryma Montis),northamerica/unitedstates/california/northcoast/sonoma/vallejo_estate,0.654,0.346,0.593,has_external_url,http://stompersbaseball.com/,https://en.wikivoyage.org/wiki/Sonoma
europe/germany/bremen,Bremen,Bremen,15,32,see,Überseemuseum,0.74,candidate,has coordinates; has description; high-value type; has external URL,53.0833,8.8106,Focke Museum,europe/germany/bremen/focke_museum,0.583,1.844,0.863,has_external_url,http://www.uebersee-museum.de/,https://en.wikivoyage.org/wiki/Bremen
northamerica/mexico/mazatlan,Mazatlan,Mazatlan,23,56,see,Museo de Arte,0.74,candidate,has coordinates; has description; high-value type; has external URL,23.19635,-106.42545,Centro Historico,northamerica/mexico/mazatlan/centro_historico,0.676,0.324,0.932,has_external_url,https://culturasinaloa.gob.mx/index.php/infraestructura/teatros-/museos/museo-de-arte-de-mazatlan,https://en.wikivoyage.org/wiki/Mazatlan
northamerica/canada/britishcolumbia/osoyoos,Osoyoos,Osoyoos,7,30,see,Osoyoos Scooters,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.02887,-119.45141,Osoyoos Lake,northamerica/canada/britishcolumbia/osoyoos/osoyoos_lake,0.643,3.205,1.218,has_external_url,https://osoyoosscooters.com/,https://en.wikivoyage.org/wiki/Osoyoos
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,see,Mosaic Templars Cultural Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,34.7407,-92.2769,The Empress of Little Rock,northamerica/unitedstates/arkansas/littlerock/empress_of_little_rock,0.555,0.445,1.33,has_external_url,http://www.mosaictemplarscenter.com/,https://en.wikivoyage.org/wiki/Little_Rock
europe/france/nord/lille,Lille,Lille,22,79,do,Théatre Sebastopol,0.74,candidate,has coordinates; has description; high-value type; has external URL,50.6292,3.05813,Palais des Beaux-Arts,europe/france/nord/lille/palais_des_beaux_arts,0.638,0.362,0.903,has_external_url,http://www.theatre-sebastopol.fr/,https://en.wikivoyage.org/wiki/Lille
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,do,Holland Performing Arts Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.2592,-95.9324,Old Market,northamerica/unitedstates/nebraska/omaha/old_market,0.629,0.371,0.502,has_external_url,https://o-pa.org/our-venues/holland,https://en.wikivoyage.org/wiki/Omaha
asia/china/jiangxi/ganzhou,Ganzhou,Ganzhou,7,12,see,Ganzhou Buddhist Pagoda (赣州佛塔),0.74,candidate,has coordinates; has description; high-value type; has external URL,25.835,114.955,Shouquan Pagoda,asia/china/jiangxi/ganzhou/shouquan_pagoda,0.579,2.425,2.563,has_external_url,https://example.com,https://en.wikivoyage.org/wiki/Ganzhou
europe/spain/andalucia/seville,Seville,Seville,18,48,see,Cibercenter,0.74,candidate,has coordinates; has description; high-value type; has external URL,37.38800600697124,-6.0018956763351525,Puente de Triana,europe/spain/andalucia/seville/puente_de_triana,0.686,0.314,0.583,has_external_url,http://www.cibercenter.es,https://en.wikivoyage.org/wiki/Seville
europe/hungary/sopron,Sopron,Sopron,9,234,see,Forestry Collection,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.68593,16.58994,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.652,0.348,0.887,has_external_url,http://erdmuz.emk.nyme.hu/,https://en.wikivoyage.org/wiki/Sopron
europe/france/normandybrittany/rennes,Rennes,Rennes,8,50,do,Jardin Moderne,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.1017,-1.7256,Jardin du Thabor,europe/france/normandybrittany/rennes/jardin_du_thabor,0.667,4.069,3.55,has_external_url,http://www.jardinmoderne.org/,https://en.wikivoyage.org/wiki/Rennes
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Fahrradservice Schenker,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.770316,14.335152,Wendish Quarter,europe/germany/brandenburg/cottbus/wendish_quarter,0.578,0.422,1.51,has_external_url,https://www.fahrradschenker.de/,https://en.wikivoyage.org/wiki/Cottbus
northamerica/unitedstates/newjersey/newark,Newark,Newark,8,43,do,Prudential Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,40.732904,-74.172432,Crane House,northamerica/unitedstates/newjersey/newark/crane_house,0.689,0.311,0.306,has_external_url,https://www.prucenter.com/,https://en.wikivoyage.org/wiki/Newark
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,YnD Golf Hub,0.74,candidate,has coordinates; has description; high-value type; has external URL,1.5175,103.782361,Bongo Pub,asia/malaysia/johorbahru/bongopub,0.571,6.556,6.874,has_external_url,https://www.facebook.com/yndgolfhub/,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,Glasgow Royal Concert Hall,0.74,candidate,has coordinates; has description; high-value type; has external URL,55.8643,-4.2527,George Square,europe/unitedkingdom/scotland/glasgow/george_square,0.622,0.378,0.384,has_external_url,https://www.glasgowconcerthalls.com/glasgow-royal-concert-hall/Pages/default.aspx,https://en.wikivoyage.org/wiki/Glasgow
europe/germany/badenwrttemberg/pforzheim,Pforzheim,Pforzheim,11,20,see,Gasometer,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.895414,8.721559,Gasometer Pforzheim,europe/germany/badenwrttemberg/pforzheim/gasometer,0.643,1.237,1.476,has_external_url,http://www.gasometer-pforzheim.de/,https://en.wikivoyage.org/wiki/Pforzheim
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,see,Codman Estate,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.417222,-71.331111,The Old Manse,northamerica/unitedstates/massachusetts/concord/old_manse,0.636,5.875,5.018,has_external_url,https://www.historicnewengland.org/property/codman-estate/,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
northamerica/unitedstates/maine/eastport,Eastport,Eastport (Maine),5,10,see,Old Sow,0.74,candidate,has coordinates; has description; high-value type; has external URL,44.923209,-66.986873,Old Sow Whirlpool,northamerica/unitedstates/maine/eastport/old_sow_whirlpool,0.583,1.1,2.033,has_external_url,http://www.oldsowwhirlpool.com/,https://en.wikivoyage.org/wiki/Eastport_%28Maine%29
northamerica/unitedstates/pennsylvania/lancastercounty/lititz,Lititz,Lititz,12,21,see,Lititz Recreation Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,40.158,-76.3167,Lititz Springs Park,northamerica/unitedstates/pennsylvania/lancastercounty/lititz/lititz_springs_park,0.558,0.997,0.816,has_external_url,http://lititzrec.com/,https://en.wikivoyage.org/wiki/Lititz
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,St. Stephen's Valleybridge,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.0967,17.8964,Elizabeth Look-out,europe/hungary/veszprem/erzsebet_lookout,0.62,0.38,0.952,has_external_url,http://www.veszpreminfo.hu/en/viaduct/,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m
northamerica/unitedstates/oregon/salem,Salem,Salem (Oregon),6,36,see,Travel Salem Visitors Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,44.94208,-123.03358,Wild Pear,northamerica/unitedstates/oregon/salem/wild_pear,0.607,0.393,0.327,has_external_url,https://www.travelsalem.com/,https://en.wikivoyage.org/wiki/Salem_%28Oregon%29
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,see,Botanical Gardens,0.74,candidate,has coordinates; has description; high-value type; has external URL,-25.7372,28.2776,Pretoria National Botanical Garden,africa/southafrica/pretoria/pretoria_botanical_garden,0.627,0.577,9.036,has_external_url,http://www.sanbi.org/gardens/pretoria,https://en.wikivoyage.org/wiki/Pretoria
europe/france/midi/cotedazur/nice,Nice,Nice,42,76,see,Musée des Arts Asiatiques,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.66814,7.216,Musée Matisse,europe/france/midi/cotedazur/nice/musee_matisse,0.588,7.472,5.572,has_external_url,https://maa.departement06.fr/musee-des-arts-asiatiques-13422.html,https://en.wikivoyage.org/wiki/Nice
europe/italy/friuliveneziagiulia/trieste,Trieste,Trieste,15,49,see,Trieste–Opicina tramway,0.74,candidate,has coordinates; has description; high-value type; has external URL,45.65417,13.77563,Caffè San Marco,europe/italy/friuliveneziagiulia/trieste/caffe_san_marco,0.692,0.308,0.519,has_external_url,https://www.triestetrasporti.it/it/tram-17FEB2025,https://en.wikivoyage.org/wiki/Trieste
