world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/caxias_do_sul,Caxias do Sul,Caxias do Sul,5,27,see,Monumento Nacional ao Imigrante (National Monument to the Immigrant),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-29.167402,-51.158285,Municipal Museum of Caxias do Sul,southamerica/brazil/caxias_do_sul/municipal_museum,0.344,2.218,2.073,has_external_url,https://caxias.rs.gov.br/servicos/cultura/museus/monumento-nacional-ao-imigrante,https://en.wikivoyage.org/wiki/Caxias_do_Sul
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Japanese Friendship Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.322222,-121.861111,Municipal Rose Garden,northamerica/unitedstates/california/san_jose/municipal_rose_garden,0.468,5.729,3.033,has_external_url,https://www.sanjose.org/listings/japanese-friendship-garden,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Moseley Bog & Joy's Wood Nature Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.436,-1.863,Moseley Bog,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/moseley_bog,0.423,1.134,5.554,has_external_url,http://www.moseleybog.org.uk/,https://en.wikivoyage.org/wiki/Birmingham
asia/japan/honshu/kobe,Kobe,Kobe,22,53,see,Kiku-Masamune Sake Brewery Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.7099,135.2581,Nada Sake Breweries,asia/japan/honshu/kobe/nada_sake_breweries,0.538,0.703,6.113,has_external_url,https://www.kikumasamune.co.jp/kinenkan/en/index.html,https://en.wikivoyage.org/wiki/Kobe
northamerica/unitedstates/virginia/williamsburg,Williamsburg,Williamsburg,10,26,see,Jamestown,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.20999,-76.77767,Williamsburg Bray School,northamerica/unitedstates/virginia/williamsburg/bray_school,0.242,9.311,9.194,has_external_url,https://historicjamestowne.org,https://en.wikivoyage.org/wiki/Williamsburg
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Nicolae Minovici Folk Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.48417,26.07444,Village Museum,europe/romania/bucharest/village_museum,0.478,1.21,5.797,has_external_url,http://www.minovici.ro/index.php?option=com_content&task=view&id=4,https://en.wikivoyage.org/wiki/Bucharest
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,see,Aztec Museum & Pioneer Village,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.82347,-107.99482,Aztec Ruins National Monument,northamerica/unitedstates/newmexico/farmington/aztec_ruins_national_monument,0.459,1.465,22.585,has_external_url,https://aztecmuseum.org/,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,St. Pantaleon's Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.928611,6.948056,Great St. Martin's,europe/germany/northrhinewestphalia/cologne/greatstmartins,0.421,,1.369,has_external_url,https://www.cologne-tourism.com/arts-culture/sights/detail/st-pantaleon,https://en.wikivoyage.org/wiki/Cologne
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Ramgarhia Sikh Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4842,-1.91011,Jewellery Quarter,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/jewellery_quarter,0.439,0.561,0.709,has_external_url,https://www.rstuk.com/,https://en.wikivoyage.org/wiki/Birmingham
europe/norway/kristiansand,Kristiansand,Kristiansand,20,80,do,Hamresanden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.1908018,8.0771463,Dyreparken (Zoo),europe/norway/kristiansand/dyreparken,0.476,2.738,6.85,has_external_url,http://www.visitnorway.com/uk/Product/?pid=130626,https://en.wikivoyage.org/wiki/Kristiansand
asia/japan/honshu/okayama,Okayama,Okayama,9,83,see,Okaden Museum & Mitooka Eiji Design,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.655958,133.943205,Okayama Orient Museum,asia/japan/honshu/okayama/okayama_orient_museum,0.414,1.675,2.513,has_external_url,http://www.okayama-kido.co.jp/okadenmuseum/,https://en.wikivoyage.org/wiki/Okayama
europe/poland/czestochowa,Częstochowa,Częstochowa,5,20,see,Castle Olsztyn,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.7497,19.2741,Chapel of the Black Madonna,europe/poland/czestochowa/black_madonna_chapel,0.378,14.264,13.267,has_external_url,http://www.zamekolsztyn.pl/en/,https://en.wikivoyage.org/wiki/Cz%C4%99stochowa
northamerica/unitedstates/california/santa_cruz,Santa Cruz,Santa Cruz (California),10,63,do,Natural Bridges State Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.95273,-122.05778,Henry Cowell Redwoods State Park,northamerica/unitedstates/california/santa_cruz/henry_cowell_redwoods,0.508,8.771,3.481,has_external_url,https://www.parks.ca.gov/?page_id=541,https://en.wikivoyage.org/wiki/Santa_Cruz_%28California%29
europe/unitedkingdom/england/south_east/ramsgate,Ramsgate,Ramsgate,6,29,see,Monkton Nature Reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.3435,1.2759,Ramsgate Maritime Museum,europe/unitedkingdom/england/south_east/ramsgate/ramsgate_maritime_museum,0.391,10.264,10.048,has_external_url,https://monkton-reserve.org/,https://en.wikivoyage.org/wiki/Ramsgate
asia/philippines/cebu/cebucity,Cebu City,Cebu City,11,73,see,Casa Gorordo Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.29991,123.90489,Carbon Market,asia/philippines/cebu/cebucity/carbon_market,0.479,0.521,2.762,has_external_url,http://www.rafi.org.ph,https://en.wikivoyage.org/wiki/Cebu_City
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,see,Frontenac County Schools Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.24,-76.462,Kingston City Hall,northamerica/canada/ontario/kingston/city_hall,0.367,1.904,2.148,has_external_url,http://www.fcsmuseum.com,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29
