world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/gloucestershire/gloucester,Gloucester,Gloucester (England),8,33,see,Prinknash Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.8225,-2.176111,The New Inn,europe/unitedkingdom/england/gloucestershire/gloucester/new_inn_gloucester,0.273,6.719,6.757,has_external_url,http://www.prinknashabbey.org/,https://en.wikivoyage.org/wiki/Gloucester_%28England%29
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Armitage Baptist Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.927032,-87.706937,Palette Bistro,northamerica/unitedstates/illinois/chicago/palette_bistro,0.486,3.632,8.909,has_external_url,http://armitagechurch.org/,https://en.wikivoyage.org/wiki/Chicago
europe/unitedkingdom/england/south_east/reading,Reading,Reading (England),5,52,see,Basildon Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.499167,-1.121389,The Hexagon,europe/unitedkingdom/england/south_east/reading/the_hexagon,0.3,11.146,10.914,has_external_url,https://www.nationaltrust.org.uk/basildon-park/,https://en.wikivoyage.org/wiki/Reading_%28England%29
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,Gothenburg Natural History Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.6902,11.94956,Volvo Museum,europe/sweden/gothenburg/volvomuseum,0.444,2.868,2.159,has_external_url,https://www.gnm.se/en/,https://en.wikivoyage.org/wiki/Gothenburg
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,see,MacLachlan Woodworking Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.2963865,-76.3162747,Marine Museum of the Great Lakes,northamerica/canada/ontario/kingston/marine_museum,0.421,15.257,15.336,has_external_url,http://woodworkingmuseum.ca,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29
europe/germany/schleswigholstein/flensburg,Flensburg,Flensburg,13,43,see,Glücksburg Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.8317,9.5436,Flensburg Firth,europe/germany/schleswigholstein/flensburg/flensburg_firth,0.5,8.362,8.883,has_external_url,http://www.schloss-gluecksburg.de/home-en.html,https://en.wikivoyage.org/wiki/Flensburg
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,do,The Cliffs Pavilion,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.53519,0.69717,Southend Cliff Railway,europe/unitedkingdom/england/eastern_england/southendonsea/southend_cliff_railway,0.486,0.964,1.155,has_external_url,http://www.thecliffspavilion.co.uk/,https://en.wikivoyage.org/wiki/Southend-on-Sea
northamerica/unitedstates/massachusetts/great_barrington,Great Barrington,Great Barrington,4,23,do,Monument Mountain,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.2473,-73.3407,Newsboy Statue,northamerica/unitedstates/massachusetts/great_barrington/newsboy_statue,0.323,5.903,6.206,has_external_url,http://www.thetrustees.org/places-to-visit/berkshires/monument-mountain.html,https://en.wikivoyage.org/wiki/Great_Barrington
europe/hungary/szekesfehervar,Székesfehérvár,Székesfehérvár,15,93,see,Szabadbattyán,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.12,18.373,Medieval Royal Basilica Ruins,europe/hungary/szekesfehervar/medieval_basilica_ruins,0.286,8.521,8.398,has_external_url,http://www.szabadbattyan.hu/,https://en.wikivoyage.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,Nanning Confucius Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.7796611257,108.3888593794,Nanning Mosque,asia/china/guangxi/nanning/nanning_mosque,0.526,8.75,8.774,has_external_url,http://kongmiao.bbgcm.cn/,https://en.wikivoyage.org/wiki/Nanning
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,do,IMAX theatre and Daredevil Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.0852,-79.0821,Nikola Tesla Monument,northamerica/canada/ontario/niagrafalls/nikola_tesla_monument,0.516,0.484,2.797,has_external_url,http://www.imaxniagara.com,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
asia/vietnam/ninh_binh,Ninh Binh,Ninh Binh,8,23,see,Bear Sanctuary Ninh Binh,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.20787,105.76272,Hoa Lu Ancient Capital,asia/vietnam/ninh_binh/hoalu,0.391,22.506,22.618,has_external_url,https://www.bearsanctuary-ninhbinh.org,https://en.wikivoyage.org/wiki/Ninh_Binh
northamerica/unitedstates/florida/orlando,Orlando,Orlando,24,96,see,Harry P. Leu Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.567383,-81.357322,Pharmacy Bar,northamerica/unitedstates/florida/orlando/pharmacy_bar,0.452,2.958,3.52,has_external_url,http://leugardens.org/,https://en.wikivoyage.org/wiki/Orlando
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,see,Air Force Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-43.5464,172.5476,Canterbury Museum,australiaandpacific/newzealand/canterbury/christchurch/canterbury_museum,0.545,6.938,7.317,has_external_url,https://airforcemuseum.co.nz/,https://en.wikivoyage.org/wiki/Christchurch
northamerica/unitedstates/minnesota/duluth,Duluth,Duluth,8,55,do,Spirit Mountain,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.718151,-92.21671,Glensheen Historic Estate,northamerica/unitedstates/minnesota/duluth/glensheen_mansion,0.35,16.594,11.195,has_external_url,http://www.spiritmt.com,https://en.wikivoyage.org/wiki/Duluth
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,do,Boomers!,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.6715,-117.8342,UCI Arboretum,northamerica/unitedstates/california/orangecounty/irvine/irvine_company_arboretum,0.3,2.958,1.752,has_external_url,http://www.boomersparks.com/irvine/,https://en.wikivoyage.org/wiki/Irvine
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Equine Museum of Japan,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.42267,139.639624,Chinatown: Dim Sum and Chinese Cuisine,asia/japan/honshu/yokohama/chinatown_dining,0.339,,3.109,has_external_url,https://www.bajibunka.jrao.ne.jp/en/equinemuseumofjapan.html,https://en.wikivoyage.org/wiki/Yokohama
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,see,Iyo Kasuri Folk Craft Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.856599,132.743781,Masaoka Shiki Memorial Museum,asia/japan/shikoku/matsuyama/masaoka_shiki_memorial_museum,0.491,3.78,2.757,has_external_url,http://e-hime.jp/kasuri/,https://en.wikivoyage.org/wiki/Matsuyama
europe/hungary/hortobagy,Hortobágy,Hortobágy,4,18,do,Puszta Animal Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.573171,21.1437117,Hortobágy National Park,europe/hungary/hortobagy/hortobagy_national_park,0.537,4.433,1.241,has_external_url,http://www.pusztaiallatpark.hu/hu/,https://en.wikivoyage.org/wiki/Hortob%C3%A1gy
europe/sweden/uppsala,Uppsala,Uppsala,18,180,see,Bror Hjorths Hus,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.8493,17.62019,Hambergs Fisk,europe/sweden/uppsala/hambergs_fisk,0.345,1.391,1.462,has_external_url,https://brorhjorthshus.se/en/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/belize/cayecaulker,Caye Caulker,Caye Caulker,4,25,do,Tsunami Adventures,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.7419392,-88.0264101,Hol Chan Marine Reserve,northamerica/belize/cayecaulker/hol_chan_marine_reserve,0.293,9.676,0.626,has_external_url,http://www.tsunamiadventures.com/,https://en.wikivoyage.org/wiki/Caye_Caulker
australiaandpacific/newzealand/south_island/otago/wanaka,Wanaka,Wanaka,8,27,see,Warbirds & Wheels,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-44.7244,169.2439,National Transport and Toy Museum,australiaandpacific/newzealand/south_island/otago/wanaka/national_transport_toy_museum,0.385,7.153,9.127,has_external_url,http://warbirdsandwheels.com/,https://en.wikivoyage.org/wiki/Wanaka
europe/poland/zabrze,Zabrze,Zabrze,3,19,see,City Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.3034,18.7861,Guido Mine and Coal Mining Museum,europe/poland/zabrze/guido_mine,0.364,1.536,0.58,has_external_url,https://muzeumzabrze.pl/,https://en.wikivoyage.org/wiki/Zabrze
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,see,Aquatis,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.54092,6.657594,Palais de Rumine,europe/switzerland/lausanne/palais_de_rumine,0.4,2.606,2.854,has_external_url,https://www.aquatis.ch/,https://en.wikivoyage.org/wiki/Lausanne
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Museum Ronggowarsito,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-6.985946,110.383871,Sam Po Kong Temple,asia/indonesia/java/semarang/sam_po_kong,0.368,1.938,4.336,has_external_url,http://museumranggawarsita.id/,https://en.wikivoyage.org/wiki/Semarang
northamerica/unitedstates/texas/amarillo,Amarillo,Amarillo,8,26,see,Amarillo Botanical Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.19749,-101.91538,Cadillac Ranch,northamerica/unitedstates/texas/amarillo/cadillac_ranch,0.4,6.626,7.717,has_external_url,https://amarillobotanicalgardens.org/,https://en.wikivoyage.org/wiki/Amarillo
northamerica/unitedstates/maryland/montgomerycounty/rockville,Rockville,Rockville,4,51,do,Carl Henn Millennium Trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.077095,-77.139783,Rockville Town Square,northamerica/unitedstates/maryland/montgomerycounty/rockville/rockville_town_square,0.34,1.318,1.153,has_external_url,http://www.traillink.com/trail/carl-henn-millennium-trail.aspx,https://en.wikivoyage.org/wiki/Rockville
northamerica/canada/britishcolumbia/courtenay,Courtenay,Courtenay,5,30,do,Kitty Coleman Provincial Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.7891,-124.9973,Filberg Heritage Lodge and Park,northamerica/canada/britishcolumbia/courtenay/filberg_park,0.333,13.488,11.086,has_external_url,https://bcparks.ca/kitty-coleman-beach-park/,https://en.wikivoyage.org/wiki/Courtenay
northamerica/canada/quebec/hull,Gatineau (Hull),Gatineau,4,33,see,Domaine de la ferme Moore,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.4194927,-75.759182,Gatineau Park,northamerica/canada/quebec/hull/gatineau_park,0.375,26.154,3.127,has_external_url,https://lafermemoore.ca/,https://en.wikivoyage.org/wiki/Gatineau
europe/hungary/pecs,Pécs,Pécs,9,63,see,Abaliget,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.1403,18.1166,Pécs Cathedral,europe/hungary/pecs/pecs_cathedral,0.273,10.729,10.945,has_external_url,http://www.termeszetvedelem.hu/index.php?pg=cave_4120-1,https://en.wikivoyage.org/wiki/P%C3%A9cs
asia/china/jiangsu_province/huaian,Huai'an,Huai'an,7,20,see,Huai'an Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.61252,119.00725,Zhou Enlai Memorial Hall,asia/china/jiangsu_province/huaian/zhou_enlai_memorial,0.457,17.113,16.909,has_external_url,http://www.hamuseum.com/,https://en.wikivoyage.org/wiki/Huai%27an
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,see,Messner Mountain Museum Firmian,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.480278,11.305278,South Tyrol Museum of Archaeology (Ötzi),europe/italy/trentinoaltoadige/bolzano/otzi_museum,0.438,20.096,20.359,has_external_url,http://www.messner-mountain-museum.it,https://en.wikivoyage.org/wiki/Bolzano
europe/spain/aragon/zaragoza,Zaragoza,Zaragoza,12,57,see,Educational Museum of Origami in Zaragoza,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.65088,-0.87073,Museo de Zaragoza,europe/spain/aragon/zaragoza/zaragoza_museum,0.509,0.719,0.86,has_external_url,http://www.emoz.es/language/en/,https://en.wikivoyage.org/wiki/Zaragoza
europe/netherlands/breda,Breda,Breda,16,35,see,Museum Paulus van Daesdonck,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.54751,4.799202,Koepelgevangenis,europe/netherlands/breda/koepelgevangenis,0.372,4.83,3.452,has_external_url,https://www.paulusvandaesdonck.nl/page_8.html#8,https://en.wikivoyage.org/wiki/Breda
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,San Jose Municipal Rose Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3322,-121.928,Super Taqueria,northamerica/unitedstates/california/sanjose/super_taqueria,0.273,9.934,3.337,has_external_url,https://www.sanjose.org/listings/municipal-rose-garden,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
