world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Botanical Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.1356,-79.0568,Niagara-on-the-Lake,northamerica/canada/ontario/niagrafalls/niagara_on_the_lake,0.438,13.343,3.28,has_external_url,http://www.niagaraparks.com/garden/botanical.php,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/minehead,Minehead,Minehead,7,12,see,Dunster Working Watermill,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.180902,-3.446811,West Somerset Railway,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/minehead/west_somerset_railway,0.348,3.129,3.515,has_external_url,https://www.nationaltrust.org.uk/dunster-working-watermill/,https://en.wikivoyage.org/wiki/Minehead
europe/hungary/sopron,Sopron,Sopron,9,234,see,Former Fehérló Inn,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.68539,16.59335,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.426,0.574,0.678,has_external_url,http://muemlekem.hu/muemlek?id=5062,https://en.wikivoyage.org/wiki/Sopron
australiaandpacific/newzealand/greymouth,Greymouth,Greymouth,6,51,do,On Yer Bike Adventures,0.89,candidate,has coordinates; has description; high-value type; has external URL,-42.418253,171.244991,Left Bank Art Gallery,australiaandpacific/newzealand/greymouth/left_bank_art_gallery,0.372,4.443,4.683,has_external_url,https://www.onyerbike.co.nz/,https://en.wikivoyage.org/wiki/Greymouth
northamerica/unitedstates/newmexico/gallup,Gallup,Gallup,7,8,do,Fire Rock Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.532102,-108.629126,City Electric Shoe Shop,northamerica/unitedstates/newmexico/gallup/city_electric_shoe,0.308,10.023,10.394,has_external_url,https://www.firerockcasino.com/,https://en.wikivoyage.org/wiki/Gallup
europe/sweden/lund,Lund,Lund,8,58,do,Mejeriet,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.696178,13.18832,Museum of Sketches,europe/sweden/lund/museum_of_sketches,0.308,1.181,0.977,has_external_url,http://www.kulturmejeriet.se/,https://en.wikivoyage.org/wiki/Lund
europe/italy/sardinia/isoladisanpietro/carloforte,Carloforte,Carloforte,5,19,see,Saline di Carloforte,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.140993,8.308836,Girotonno Festival,europe/italy/sardinia/isoladisanpietro/carloforte/girotonno_festival,0.457,0.543,0.543,has_external_url,https://www.carloforteturismo.it/attivita/la-via-del-sale/,https://en.wikivoyage.org/wiki/Carloforte
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Southiez Hobby,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.547161,103.747461,Sultan Abu Bakar Royal Museum,asia/malaysia/johorbahru/sultan_abu_bakar_museum,0.326,10.296,10.08,has_external_url,https://www.facebook.com/SouthiezHobby,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/netherlands/gouda,Gouda,Gouda,6,83,see,Old cemetery,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.006612,4.70654,Gouda Town Hall (Stadhuis),europe/netherlands/gouda/stadhuis,0.39,0.61,0.61,has_external_url,http://www.oudebegraafplaatsgouda.nl/,https://en.wikivoyage.org/wiki/Gouda
europe/netherlands/thehague,The Hague,The Hague,16,165,see,Haagse Toren,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.07159,4.32423,Eetcafe De Posthoorn,europe/netherlands/thehague/eetcafe_de_posthoorn,0.483,1.272,3.747,has_external_url,http://www.haagsetoren.nl/page/1170/the-hague-tower.html?lang=2,https://en.wikivoyage.org/wiki/The_Hague
