world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,do,Obon Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bank of Italy Building,northamerica/unitedstates/california/san_jose/bank_of_italy_building,0.4,,,missing_coordinates; has_external_url,http://www.sjbetsuin.org,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/netherlands/amsterdam,Amsterdam,Amsterdam,153,66,do,Open Garden Days,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Eastern Docklands,europe/netherlands/amsterdam/eastern_docklands,0.485,,,missing_coordinates; has_external_url,http://www.opentuinendagen.nl,https://en.wikivoyage.org/wiki/Amsterdam
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,do,Rogue Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Old Fresno Water Tower,northamerica/unitedstates/california/centralvalley/fresno/old_fresno_water_tower,0.333,,,missing_coordinates; has_external_url,https://fresnoroguefestival.com/,https://en.wikivoyage.org/wiki/Fresno
europe/russia/perm,Perm,Perm,7,21,see,Khohlovka Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Perm Regional Museum,europe/russia/perm/perm_regional_museum,0.5,,,missing_coordinates; has_external_url,http://www.museum.perm.ru/filiali/muzey-khohlovka,https://en.wikivoyage.org/wiki/Perm
asia/taiwan/tainan,Tainan,Tainan,18,56,see,Hilltop Garden Watercourse Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tainan Art Museum,asia/taiwan/tainan/tainan_art_museum,0.52,,,missing_coordinates; has_external_url,http://waterworks.tainan.gov.tw/index-en.php,https://en.wikivoyage.org/wiki/Tainan
australiaandpacific/newzealand/timaru,Timaru,Timaru,7,31,do,Movie Max Digital Cinemas,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Botanical Gardens (Queen's Park),australiaandpacific/newzealand/timaru/botanical_gardens,0.333,,,missing_coordinates; has_external_url,http://www.moviemaxdigital.co.nz/,https://en.wikivoyage.org/wiki/Timaru
northamerica/unitedstates/oklahoma/norman,Norman,Norman (Oklahoma),11,47,do,George M. Sutton Wilderness Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lake Thunderbird State Park,northamerica/unitedstates/oklahoma/norman/lake_thunderbird,0.448,,,missing_coordinates; has_external_url,https://www.normanok.gov/residents-visitors/parks-recreation/parks/george-m-sutton-wilderness-park,https://en.wikivoyage.org/wiki/Norman_%28Oklahoma%29
europe/germany/hessen/rudesheim,Rüdesheim,Rüdesheim,13,18,see,Rheingauer Weinmuseum Brömserburg,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Brömserburg,europe/germany/hessen/rudesheim/bromserburg,0.5,,,missing_coordinates; has_external_url,http://www.rheingauer-weinmuseum.de/,https://en.wikivoyage.org/wiki/R%C3%BCdesheim
northamerica/unitedstates/oregon/portland,Portland,Portland (Oregon),58,54,see,South Metro Area Regional Transit (SMART),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Portland Aerial Tram,northamerica/unitedstates/oregon/portland/portland_tram,0.491,,,missing_coordinates; has_external_url,https://www.ridesmart.com/transit,https://en.wikivoyage.org/wiki/Portland_%28Oregon%29
asia/india/rajasthan/jodhpur,Jodhpur,Jodhpur,23,34,do,Rajasthan International Folk Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ranisar and Padmasar Lakes,asia/india/rajasthan/jodhpur/ranisar_padmasar_lakes,0.413,,,missing_coordinates; has_external_url,http://www.jodhpurfolkfestival.org,https://en.wikivoyage.org/wiki/Jodhpur
