world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/saxony/dresden,Dresden,Dresden,31,149,do,Ostrale,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.07165,13.71283,Kulturpalast,europe/germany/saxony/dresden/kulturpalast,0.421,2.914,3.048,has_external_url,http://www.ostrale.de/en/,https://en.wikivoyage.org/wiki/Dresden
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,St. George Orthodox Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.940261,-78.859623,Nestor's Texas Hots,northamerica/unitedstates/newyorkstate/buffalo/insert_name_here,0.364,9.5,6.174,has_external_url,http://www.stgeorgebuffalo.com,https://en.wikivoyage.org/wiki/Buffalo
europe/latvia/ventspils,Ventspils,Ventspils,12,26,do,Children's Town,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.388817,21.547957,Ventspils Old Town,europe/latvia/ventspils/old_town,0.485,1.145,0.954,has_external_url,http://www.visitventspils.com/en/things-to-do-in-ventspils/315/,https://en.wikivoyage.org/wiki/Ventspils
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Shevchenkivskyi Hay,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.844833,24.066389,Svit Kavy,europe/ukraine/lviv/cafe_svit_kavy,0.429,2.548,2.514,has_external_url,http://lvivskansen.org/,https://en.wikivoyage.org/wiki/Lviv
europe/poland/poznan,Poznan,Poznań,12,96,see,Fort VII,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.41705,16.86816,Ostrów Tumski,europe/poland/poznan/ostrow_tumski,0.381,5.446,4.046,has_external_url,https://www.wmn.poznan.pl/oddzialy/muzeum-martyrologii-wielkopolan/,https://en.wikivoyage.org/wiki/Pozna%C5%84
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,see,Golden and District Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.292208,-116.960996,Golden Skybridge,northamerica/canada/britishcolumbia/golden/golden_suspension_bridge,0.524,4.599,0.813,has_external_url,https://goldenbcmuseums.com/,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
northamerica/unitedstates/newyorkstate/auburn,Auburn,Auburn (New York),6,25,do,The Merry-Go-Round Playhouse,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.9036,-76.537,William H. Seward House Museum,northamerica/unitedstates/newyorkstate/auburn/william_seward_house,0.415,3.725,3.922,has_external_url,http://merry-go-round.com,https://en.wikivoyage.org/wiki/Auburn_%28New_York%29
asia/china/henan_province/xinxiang,Xinxiang,Xinxiang,4,36,see,Xinxiang Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.299354,113.921108,Guoliang Tunnel,asia/china/henan_province/xinxiang/guoliang_tunnel,0.467,70.073,3.259,has_external_url,https://www.xxsbwg.com/,https://en.wikivoyage.org/wiki/Xinxiang
northamerica/unitedstates/michigan/muskegon,Muskegon,Muskegon,13,29,see,S.S. Milwaukee Clipper,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.221944,-86.295833,Muskegon Chophouse,northamerica/unitedstates/michigan/muskegon/muskegon_chophouse,0.41,4.039,4.078,has_external_url,https://www.milwaukeeclipper.com/,https://en.wikivoyage.org/wiki/Muskegon
northamerica/unitedstates/northcarolina/wilmington,Wilmington,Wilmington (North Carolina),9,43,do,Jungle Rapids,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.2075,-77.8625,Wrightsville Beach,northamerica/unitedstates/northcarolina/wilmington/wrightsville_beach,0.323,6.07,7.826,has_external_url,http://www.junglerapids.com/,https://en.wikivoyage.org/wiki/Wilmington_%28North_Carolina%29
asia/china/hainanisland/wuzhishan,Wuzhishan,Wuzhishan,4,11,do,Red Canyon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.760617,109.641966,Yahu Terraced Rice Fields,asia/china/hainanisland/wuzhishan/yahu_terraced_fields,0.286,11.719,13.861,has_external_url,http://www.wzshxg.com/?_l=en,https://en.wikivoyage.org/wiki/Wuzhishan
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Cobblestone Farm Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.245,-83.710556,Kelsey Museum of Archaeology,northamerica/unitedstates/michigan/annarbor/kelsey_museum_of_archaeology,0.392,4.324,5.112,has_external_url,http://cobblestonefarm.org/,https://en.wikivoyage.org/wiki/Ann_Arbor
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,do,Shea's Smith Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.891897,-78.872612,Founding Fathers Pub,northamerica/unitedstates/newyorkstate/buffalo/founding_fathers,0.528,0.472,0.758,has_external_url,http://www.sheas.org/,https://en.wikivoyage.org/wiki/Buffalo
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,National Museum of Romanian Literature,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.446099,26.093099,Romanian Athenaeum,europe/romania/bucharest/romanian_athenaeum,0.429,0.629,1.348,has_external_url,http://mnlr.ro/,https://en.wikivoyage.org/wiki/Bucharest
