world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/coronado,Coronado,Coronado (California),7,23,do,Sunset Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.6881,-117.1918,Silver Strand,northamerica/unitedstates/california/coronado/silver_strand,0.25,6.179,1.464,needs_external_source,,https://en.wikivoyage.org/wiki/Coronado_%28California%29
asia/india/jammuandkashmir/gulmarg,Gulmarg,Gulmarg,4,7,see,Maharani Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.055385,74.397585,Gulmarg Golf Club,asia/india/jammuandkashmir/gulmarg/gulmarg_golf_club,0.456,0.544,0.873,needs_external_source,,https://en.wikivoyage.org/wiki/Gulmarg
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,North Sumatra Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,3.568188,98.696313,Grand Mosque of Medan (Masjid Raya Al-Mashun),asia/indonesia/sumatra/medan/grand_mosque_medan,0.341,1.261,3.404,needs_external_source,,https://en.wikivoyage.org/wiki/Medan
europe/greece/kavala,Kavala,Kavala,14,95,see,Agios Silas Monastery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.941,24.3769,Kavala Castle,europe/greece/kavala/kavala_castle,0.471,3.56,3.008,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,do,Hike the Bruce Trail,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.124212,-79.243103,Meridian Centre,northamerica/canada/ontario/stcatharines/meridian_centre,0.387,3.516,3.756,needs_external_source,,https://en.wikivoyage.org/wiki/St._Catharines
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Stulang Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.467698,103.779789,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.381,3.404,1.963,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/azerbaijan/naxcivan/shusha,Shusha,Shusha,10,17,see,Zontik Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.75689,46.76453,Ghazanchetsots Cathedral,europe/azerbaijan/naxcivan/shusha/ghazanchetsots_cathedral,0.5,1.437,1.345,needs_external_source,,https://en.wikivoyage.org/wiki/Shusha
europe/greece/kavala,Kavala,Kavala,14,95,do,Keramoti,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.855,24.686,Ammolofoi Beach,europe/greece/kavala/ammolofoi_beach,0.348,30.757,24.742,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
africa/senegal/saintlouis,Saint-Louis,Saint-Louis,12,27,do,Plage de Sal Sal,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.0533,-16.5081,Guet N'Dar,africa/senegal/saintlouis/guet_ndar,0.435,2.959,3.92,needs_external_source,,https://en.wikivoyage.org/wiki/Saint-Louis
asia/philippines/cebu/cebucity,Cebu City,Cebu City,11,73,see,Cebu Provincial Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.303611,123.906389,Carbon Market,asia/philippines/cebu/cebucity/carbon_market,0.451,0.549,2.661,needs_external_source,,https://en.wikivoyage.org/wiki/Cebu_City
northamerica/nicaragua/len,León,León (Nicaragua),12,79,see,Iglesia San Filipe,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.44212,-86.88066,Iglesia La Recolección,northamerica/nicaragua/len/iglesia_la_recoleccion,0.486,1.007,0.885,needs_external_source,,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
