world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/australia/tasmania/hobart,Hobart,Hobart,57,83,do,Coal Valley Vineyard,0.89,candidate,has coordinates; has description; high-value type; has external URL,-42.8183,147.4461,Cat and Fiddle Arcade,australiaandpacific/australia/tasmania/hobart/cat_and_fiddle_arcade,0.488,12.018,12.012,has_external_url,http://www.coalvalley.com.au,https://en.wikivoyage.org/wiki/Hobart
northamerica/unitedstates/missouri/stlouis,St. Louis,St. Louis,59,106,do,The Pageant,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.65559,-90.29795,Grant's Farm,northamerica/unitedstates/missouri/stlouis/grants_farm,0.421,12.915,9.131,has_external_url,http://www.thepageant.com/,https://en.wikivoyage.org/wiki/St._Louis
asia/china/shandong_province/qufu,Qufu,Qufu,9,14,see,Zhishenglin Archway,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.61146,116.99118,Temple of Yan Hui,asia/china/shandong_province/qufu/temple_of_yan_hui,0.278,1.208,1.859,has_external_url,https://w.wiki/GWjo,https://en.wikivoyage.org/wiki/Qufu
europe/france/aquitaine/bordeaux,Bordeaux,Bordeaux,50,52,see,Base sous-marine,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.8705,-0.5597,Basilique Saint-Michel,europe/france/aquitaine/bordeaux/basilique_saint_michel,0.526,3.96,3.948,has_external_url,https://www.bordeaux.fr/o271,https://en.wikivoyage.org/wiki/Bordeaux
northamerica/costarica/lafortuna,La Fortuna,La Fortuna,6,16,do,Arenal Butterfly Conservatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.42391,-84.75183,Arenal Volcano,northamerica/costarica/lafortuna/arenal_volcano,0.419,6.825,12.897,has_external_url,http://www.butterflyconservatory.org,https://en.wikivoyage.org/wiki/La_Fortuna
northamerica/unitedstates/newyorkstate/troy,Troy,Troy (New York),7,34,see,Oakwood Cemetery,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.764383,-73.666862,Uncle Sam Atrium,northamerica/unitedstates/newyorkstate/troy/uncle_sam_atrium,0.312,4.054,4.49,has_external_url,https://www.oakwoodcemetery.org,https://en.wikivoyage.org/wiki/Troy_%28New_York%29
australiaandpacific/australia/victoria/shepparton,Shepparton,Shepparton,8,8,do,Kids Town,0.89,candidate,has coordinates; has description; high-value type; has external URL,-36.3859,145.3813,Café Mon Ami,australiaandpacific/australia/victoria/shepparton/cafe_mon_ami,0.3,1.764,1.604,has_external_url,http://kidstown.org.au/aboutkidstown/,https://en.wikivoyage.org/wiki/Shepparton
northamerica/guatemala/antiguaguatemala,Antigua Guatemala,Antigua Guatemala,16,66,see,Centro Lingüístico La Unión,0.89,candidate,has coordinates; has description; high-value type; has external URL,14.554808,-90.729531,Palacio de los Capitanes Generales,northamerica/guatemala/antiguaguatemala/palacio_de_los_capitanes,0.519,0.481,0.504,has_external_url,http://www.launion.edu.gt,https://en.wikivoyage.org/wiki/Antigua_Guatemala
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Waldstraßenviertel,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.34571,12.36031,Spinnerei,europe/germany/saxony/leipzig/spinnerei,0.37,2.123,1.15,has_external_url,http://www.waldstrassenviertel.de/,https://en.wikivoyage.org/wiki/Leipzig
australiaandpacific/australia/tasmania/hobart,Hobart,Hobart,57,83,do,Moo Brew,0.89,candidate,has coordinates; has description; high-value type; has external URL,-42.73421,147.24741,Cascade Brewery,australiaandpacific/australia/tasmania/hobart/cascade_brewery,0.435,19.155,17.686,has_external_url,http://moobrew.com.au/,https://en.wikivoyage.org/wiki/Hobart
northamerica/unitedstates/washington/bellingham,Bellingham,Bellingham (Washington),17,65,see,St. Joseph Medical Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.7734,-122.4737,SPARK Museum of Electrical Invention,northamerica/unitedstates/washington/bellingham/spark_museum,0.433,2.488,2.146,has_external_url,https://www.peacehealth.org/hospitals/st-joseph-medical-center,https://en.wikivoyage.org/wiki/Bellingham_%28Washington%29
asia/malaysia/langkawi,Langkawi,Langkawi,4,57,see,Crocodile Adventureland,0.89,candidate,has coordinates; has description; high-value type; has external URL,6.4023432,99.712303,Dataran Lang (Eagle Square),asia/malaysia/langkawi/dataran_lang,0.4,18.553,9.6,has_external_url,http://www.porosus.com/croc/,https://en.wikivoyage.org/wiki/Langkawi
europe/unitedkingdom/england/south_east/canterbury,Canterbury,Canterbury (England),14,57,do,Kent CCC,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.2675,1.0917,Canterbury Castle,europe/unitedkingdom/england/south_east/canterbury/canterbury_castle,0.32,1.497,1.605,has_external_url,https://www.kentcricket.co.uk/,https://en.wikivoyage.org/wiki/Canterbury_%28England%29
europe/germany/northrhinewestphalia/bonn,Bonn,Bonn,19,96,see,Regierungsbunker,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.53922,7.08185,Bad Godesberg,europe/germany/northrhinewestphalia/bonn/bad_godesberg,0.414,17.511,22.067,has_external_url,https://www.regbu.de/Fremdsprachen/GB1.html,https://en.wikivoyage.org/wiki/Bonn
northamerica/unitedstates/california/northcoast/fortbragg,Fort Bragg,Fort Bragg,5,30,do,Symphony of the Redwoods,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.448083,-123.797994,North Coast Brewing Company,northamerica/unitedstates/california/northcoast/fortbragg/north_coast_brewing,0.298,0.726,0.681,has_external_url,https://www.symphonyoftheredwoods.org/,https://en.wikivoyage.org/wiki/Fort_Bragg
northamerica/unitedstates/missouri/springfield,Springfield,Springfield (Missouri),8,48,do,Craft Axe Throwing,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.20586,-93.29081,Farmer's Gastropub,northamerica/unitedstates/missouri/springfield/farmers_gastropub,0.389,,1.237,has_external_url,https://craftaxethrowing.com/us/mo/springfield,https://en.wikivoyage.org/wiki/Springfield_%28Missouri%29
europe/unitedkingdom/scotland/forres,Forres,Forres,0,16,see,House of Automata,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.6109,-3.6107,,,0.0,,0.748,has_external_url,https://thehouseofautomata.com/,https://en.wikivoyage.org/wiki/Forres
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Deutsches Kleingärtnermuseum,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.339,12.357,Egyptian Museum,europe/germany/saxony/leipzig/egyptianmuseum,0.465,1.687,1.245,has_external_url,http://www.kleingarten-museum.de/en/,https://en.wikivoyage.org/wiki/Leipzig
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,The Malay Cultural Village,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.510713,103.744002,Arulmigu Sri Rajakaliamman Glass Temple,asia/malaysia/johorbahru/arulmigu_sri_rajakaliamman,0.361,4.997,6.285,has_external_url,https://www.malaycv.com/,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,Rattray Marsh Conservation Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.517248,-79.607233,Mississauga Celebration Square,northamerica/canada/ontario/mississauga/celebration_square,0.492,8.432,8.441,has_external_url,https://cvc.ca/enjoy-the-outdoors/conservation-areas/rattray-marsh-conservation-area/,https://en.wikivoyage.org/wiki/Mississauga
northamerica/unitedstates/westvirginia/morgantown,Morgantown,Morgantown,10,63,do,West Virginia Black Bears,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.64473,-79.995838,WVU Football at Milan Puskar Stadium,northamerica/unitedstates/westvirginia/morgantown/wvu_football,0.328,3.621,3.806,has_external_url,http://www.westvirginiablackbears.com,https://en.wikivoyage.org/wiki/Morgantown
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Harrisburg Area Community College,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.29746,-76.88642,Pennsylvania State Capitol,northamerica/unitedstates/pennsylvania/harrisburg/state_capitol,0.305,3.684,3.464,has_external_url,https://www.hacc.edu/,https://en.wikivoyage.org/wiki/Harrisburg
northamerica/unitedstates/kentucky/hopkinsville,Hopkinsville,Hopkinsville,7,5,do,Jeffers Bend Recreation Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.8772,-87.4703,Trail of Tears Commemorative Park,northamerica/unitedstates/kentucky/hopkinsville/trail_of_tears_commemorative_park,0.426,3.298,2.091,has_external_url,http://www.jeffersbend.org/,https://en.wikivoyage.org/wiki/Hopkinsville
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Ottawa Redblacks,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.398178,-75.68365,The Glebe,northamerica/canada/ontario/ottawa/the_glebe,0.433,0.567,2.801,has_external_url,http://ottawaredblacks.com,https://en.wikivoyage.org/wiki/Ottawa
europe/hungary/sopron,Sopron,Sopron,9,234,see,Dwelling House,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.68763,16.59194,Corvinus Restaurant,europe/hungary/sopron/corvinus_restaurant,0.424,0.576,0.945,has_external_url,http://muemlekem.hu/muemlek?id=5041,https://en.wikivoyage.org/wiki/Sopron
