world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Bottom Bus,0.59,candidate,has description; high-value type; has external URL,,,Otago Museum,australiaandpacific/newzealand/south_island/otago/dunedin/otago_museum,0.545,,,missing_coordinates; has_external_url,http://www.bottombus.co.nz/,https://en.wikivoyage.org/wiki/Dunedin
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Clifton Hill,northamerica/canada/ontario/niagrafalls/clifton_hill,0.211,,,missing_coordinates; has_external_url,https://www.flixbus.ca/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,do,Zuni Festival of Arts and Culture,0.59,candidate,has description; high-value type; has external URL,,,Wupatki National Monument,northamerica/unitedstates/arizona/flagstaff/wupatki_national_monument,0.414,,,missing_coordinates; has_external_url,https://musnaz.org/heritage/zuni-festival/,https://en.wikivoyage.org/wiki/Flagstaff
europe/germany/hessen/wiesbaden,Wiesbaden,Wiesbaden,16,66,do,Wiesbaden English Language Theater (WELT),0.59,candidate,has description; high-value type; has external URL,,,Wiesbaden City Palace (Stadtschloss),europe/germany/hessen/wiesbaden/stadtschloss,0.545,,,missing_coordinates; has_external_url,http://www.wiesbaden-english-language-theater.de,https://en.wikivoyage.org/wiki/Wiesbaden
northamerica/unitedstates/oregon/lincolncity,Lincoln City,Lincoln City,5,35,do,Summer Kite Festival,0.59,candidate,has description; high-value type; has external URL,,,D River,northamerica/unitedstates/oregon/lincolncity/d_river,0.222,,,missing_coordinates; has_external_url,https://www.oregoncoast.org/events/annual/summer-kite-festival/,https://en.wikivoyage.org/wiki/Lincoln_City
northamerica/unitedstates/iowa/iowacity,Iowa City,Iowa City,16,48,do,Mission Creek Festival,0.59,candidate,has description; high-value type; has external URL,,,Kinnick Stadium,northamerica/unitedstates/iowa/iowacity/kinnick_stadium,0.432,,,missing_coordinates; has_external_url,https://missioncreekfestival.com/,https://en.wikivoyage.org/wiki/Iowa_City
northamerica/canada/nunavut/auyuittuq,Auyuittuq National Park,Auyuittuq National Park,10,12,see,Billy Arnaquq,0.59,candidate,has description; high-value type; has external URL,,,Qikiqtarjuaq,northamerica/canada/nunavut/auyuittuq/qikiqtarjuaq,0.4,,,missing_coordinates; has_external_url,https://www.facebook.com/billy.arnaquq,https://en.wikivoyage.org/wiki/Auyuittuq_National_Park
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,SPOT festival,0.59,candidate,has description; high-value type; has external URL,,,Aarhus Cathedral,europe/denmark/aarhus/aarhus_cathedral,0.345,,,missing_coordinates; has_external_url,https://spotfestival.dk/,https://en.wikivoyage.org/wiki/Aarhus
northamerica/unitedstates/ohio/lima,Lima,Lima (Ohio),4,17,see,Nickel Plate 779,0.59,candidate,has description; high-value type; has external URL,,,Lima Army Tank Plant,northamerica/unitedstates/ohio/lima/lima_tank_plant,0.333,,,missing_coordinates; has_external_url,https://www.cityhall.lima.oh.us/Facilities/Facility/Details/10,https://en.wikivoyage.org/wiki/Lima_%28Ohio%29
asia/southkorea/pusan,Busan,Busan,10,29,do,Busan International Rock Festival,0.59,candidate,has description; high-value type; has external URL,,,Busan Aquarium,asia/southkorea/pusan/busan_aquarium,0.426,,,missing_coordinates; has_external_url,https://www.busanrockfestival.com/,https://en.wikivoyage.org/wiki/Busan
