world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Ram Tirth,0.85,candidate,has coordinates; has description; high-value type,31.6857,74.7265,Akal Takht,asia/india/punjab/amritsar/akal_takht,0.421,15.967,14.949,needs_external_source,,https://en.wikivoyage.org/wiki/Amritsar
europe/sweden/falun,Falun,Falun,5,35,do,Lake Runn,0.85,candidate,has coordinates; has description; high-value type,60.588489,15.665304,Falun Mine (Falu Gruva),europe/sweden/falun/falun_mine,0.421,3.122,2.735,needs_external_source,,https://en.wikivoyage.org/wiki/Falun
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Hortobágy-mill,0.85,candidate,has coordinates; has description; high-value type,47.5351,21.6124,Roncsbár,europe/hungary/debrecen/roncsbar,0.364,1.632,1.101,needs_external_source,,https://en.wikivoyage.org/wiki/Debrecen
europe/macedonia/tetovo,Tetovo,Tetovo,4,37,see,Karanikola glacial lakes,0.85,candidate,has coordinates; has description; high-value type,42.073437,20.791528,Arabati Baba Tekke,europe/macedonia/tetovo/arabati_baba_tekke,0.381,15.731,16.706,needs_external_source,,https://en.wikivoyage.org/wiki/Tetovo
northamerica/thecaribbean/cuba/varadero,Varadero,Varadero,11,9,see,Old Tower,0.85,candidate,has coordinates; has description; high-value type,23.15909,-81.23684,La Arboleda,northamerica/thecaribbean/cuba/varadero/la_arboleda,0.353,1.47,1.48,needs_external_source,,https://en.wikivoyage.org/wiki/Varadero
asia/saudiarabia/mecca,Mecca,Mecca,4,30,see,Hill of Arafat,0.85,candidate,has coordinates; has description; high-value type,21.354831,39.983886,Masjid al-Haram (Grand Mosque),asia/saudiarabia/mecca/masjid_al_haram,0.414,17.986,17.838,needs_external_source,,https://en.wikivoyage.org/wiki/Mecca
europe/france/paris,Paris,Paris,82,90,see,Champs-Élysées,0.85,candidate,has coordinates; has description; high-value type,48.86967,2.30786,Les Halles,europe/france/paris/leshalles,0.526,2.963,3.554,needs_external_source,,https://en.wikivoyage.org/wiki/Paris
northamerica/unitedstates/maine/bar_harbor,Bar Harbor,Bar Harbor,17,78,see,Sieur de Monts Spring Nature Center,0.85,candidate,has coordinates; has description; high-value type,44.36211,-68.20788,Dorr Museum of Natural History,northamerica/unitedstates/maine/bar_harbor/dorr_museum,0.452,1.883,2.849,needs_external_source,,https://en.wikivoyage.org/wiki/Bar_Harbor
asia/indonesia/bali/ubud,Ubud,Ubud,21,95,see,Tirta Empul,0.85,candidate,has coordinates; has description; high-value type,-8.41639,115.315,Tegal,asia/indonesia/bali/ubud/tegal,0.375,12.689,11.67,needs_external_source,,https://en.wikivoyage.org/wiki/Ubud
northamerica/greenland/igaliku,Igaliku,Igaliku,3,6,do,Up a canyon,0.85,candidate,has coordinates; has description; high-value type,61.005435,-45.408956,Garðar Cathedral Ruins,northamerica/greenland/igaliku/gardar_cathedral_ruins,0.258,1.902,1.929,needs_external_source,,https://en.wikivoyage.org/wiki/Igaliku
asia/china/jiangxi/mount_longhu,Mount Longhu,Mount Longhu,5,11,do,Rafting,0.85,candidate,has coordinates; has description; high-value type,28.0693,116.9726,Shangqing Temple,asia/china/jiangxi/mount_longhu/shangqing_temple,0.348,3.209,5.122,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Longhu
